estonian_headword,german_equivalent,part_of_speech,estonian_declension,estonian_synonyms,german_synonyms,latin_explanation,estonian_mwu,translated_mwu,page_number
Adorit,laßt ma zur Ader lassen,,,,,,,,83
aas,die Schlinge,,"14,3",,,,,,83
aas,die Wiese am Bach gelegen,,"9,3",,,,,,83
aasta,das Jahr,,,,,,,,83
aastane,jährig,,,,,,,,83
abba-lu,das Schulterblatt,,,,,,,,83
abbi,die Hülffe,,"6,1",,,,,,83
appi hüüdma,zu Hülffe ruffen,,,,,,,,83
abbiello,die Ehe,,"11,5",,,,,,83
abbiello ärrarikkuma,Ehebrechen,,,,,,,,83
abbiello lahbutaminne,die Ehescheidung,,,,,,,,83
abbiello-rahwas,Eheleute,,"14,2",,,,,,83
abbiello-rikja,der Ehebrecher,,,,,,,,83
abbiellorikminne,der Ehebruch,,,,,,,,83
abbikasa,die Gehülfin,,"1,1",,,,,,83
abbilinne,behülflich,,,,,,,,83
abbimees,der Helffer,,,,,,,,83
abbi-waimud,Hülffs-Arbeiter,,,,,,,,83
ablas,begierig,,"14,2",,,,,,83
adder,der Pflug,,"13,2",,,,ta prugib sedda adra,"Er braucht den Pflug, das ist: dies ist so sein Amt",83
adra-ma,ein Hacken Landes,,"1,3",,,,,,83
adra-mees,ein Hackens-Bauer,,,,,,,,83
adrikid,Vögel denen Rebhünern ähnlich,,,,,,,,83
aed,"der Garten, Zaun",,"5,1, Acc. o",,,,,,83
aeg,die Zeit,,"5,1, acc. o",,,,,,83
kewwadene aeg,die Frühlings-Zeit,,,,,,,,83
temmal on üks aeg ikka,der hat immer Zeit gnug,,,,,,,,83
et anna aega,habe Geduld,,,,,,,,83
aega möda,mit der Zeit,,,,,,,,83
ilma aego,umsonst,,,,,,,,83
pitke aego,mit der Länge der Zeit,,,aiale pitkale,,,,,83
ta jäi kül übbe ku aego,er blieb einen Monath lang,,,,,,,,83
kui ello aeg on,läßt uns GOtt leben,,,,,,,,83
aegsaste,bey Zeiten,adv.,,,,,,,83
aelema,kriechen wie eine Schlange,,,,,,,,83
aer,das Ruderholz,,"11,5",,,,,,83
aewas,das Niesen,,,,,,,,83
aewastama,niesen,,,,,,,,83
äär,"der Rand, Ufer",,"13,3",,,,,,83
äre tassi,gestrichen voll,,,,,,,,83
äreto,überflüßig viel,,,,,,,siehe willi,83
äärne,nahe,,,,,vicinus,,,83
äästama,eggen,,,,,,,,83
äätsotama,schocken mit den Händen,,,,,,,,83
äbbarik,"ein Spätling (Schaaf oder Huhn, was im Herbst geworfen wird)",,"7,1",,,,,,83
ädikas,der Eßig,,"14,2",,,,,,83
äggama,"ächzen, stehnen",,,,,,,,83
äggaminne,das seufzen,,,,,,,,84
äbba,die Abend-Dämmerung,,,,,,,,84
äbba wallus,die Abend-Dämmerung,,,,,,,,84
