heerold on vanades sõnastikes kujul /heikaja/. Allikas:  d. Hupel, lk 153, real nr 26
hirsnik on vanades sõnastikes kujul /Laudamees/. Allikas: Ein unteutscher rechtsfinder, Vestring, lk 66, real nr 17
hoor on vanades sõnastikes kujul /Portt/. Allikas: Hure, Gutslaff, lk 220, real nr 5
järelevaataja on vanades sõnastikes kujul /kulaja/. Allikas: der Kundschaster, Helle, lk 123, real nr 20
jutlustaja on vanades sõnastikes kujul /jütleja/. Allikas: Prediger, Stahl, lk 98, real nr 2
käemees on vanades sõnastikes kujul /Kessineck/. Allikas: Bürge, Gutslaff, lk 210, real nr 7
kalamüüja on vanades sõnastikes kujul /kalla müja/. Allikas: Fischhändler         r. d., Hupel, lk 171, real nr 28
kandja on vanades sõnastikes kujul /kandijanne/. Allikas:  ein Tragender  poetl. r. d., Hupel, lk 172, real nr 27
kiviraidur on vanades sõnastikes kujul /Kiwwi Tackar/. Allikas: Stein Metzer    lapidicida, Göseken, lk 511S, real nr 13
kohtunik on vanades sõnastikes kujul /sundija/. Allikas: Richter, Stahl, lk 101, real nr 4
lambur on vanades sõnastikes kujul /lambrine/. Allikas: der Schäfer, Helle, lk 128, real nr 21
mündivermija on vanades sõnastikes kujul /Rahhajohataja/. Allikas: Münzmeister, Gutslaff, lk 227, real nr 9
narr on vanades sõnastikes kujul /Jeck/. Allikas: Hofnarr, Gutslaff, lk 219, real nr 8
õpetaja on vanades sõnastikes kujul /oppeja/. Allikas: Lehrer, Stahl, lk 85, real nr 3
õpilane on vanades sõnastikes kujul /kolimees/. Allikas: der Schüler, Helle, lk 118, real nr 23
raamatutrükkal on vanades sõnastikes kujul /Raamato Rutzoja/. Allikas: Buchdrucker, Göseken, lk 150, real nr 14
timukas on vanades sõnastikes kujul /Lämmia/. Allikas: Ein Zauberer, Vestring, lk 63, real nr 19
tisler on vanades sõnastikes kujul /nikker/. Allikas: der Tischler, Helle, lk 145, real nr 22
tolliametnik on vanades sõnastikes kujul /müütnik/. Allikas: der Zöllner, Hupel, lk 219, real nr 28
torupillimängija on vanades sõnastikes kujul /Pilli ajaja/. Allikas: Ein Sackpfeiffer, Vestring, lk 114, real nr 16
varas on vanades sõnastikes kujul /Kühna-Mees/. Allikas: Dieb, Göseken, lk 159, real nr 12
värval on vanades sõnastikes kujul /kachtja/. Allikas: Färber, Göseken, lk 184, real nr 11
