märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
meie küsimus: Millistes tekstides kasutatakse sisestatud eesti(keelset) sõna? Kui sul ei ole selle kohta informatsiooni, siis ütle, et sa ei oska öelda.;;;;;;;;;;;;;;;;;;;;;;;;;;
ilmama;"ÕS: maailmatu(ma), ilmatu(ma), tohutu
ÜS: väga, tohutu";"kasutatakse eesti keeles tavaliselt kõnekeeles ja rahvalikus stiilis, et rõhutada midagi suurt, olulist või erakordset. Näiteks võib seda kasutada väljendites nagu ""ilmama suur"" või ""ilmama tähtis"". Seda sõna võib kohata ka kirjanduses, eriti rahvajuttudes ja -luuletustes, kus püütakse edasi anda rahvalikku kõnepruuki ja stiili.";kõnekeel, rahvalik, kirjandus, rahvajutud, luule;kasutatakse ilukirjanduses, ajakirjanduses, igapäevakeeles;ilukirjandus, ajakirjandus, argikeel;registrita;20 (0,01 per mln);"NONE 16 (tüüpiline)
ülejäänud 1 (erinevad teemad; ei arvesta)";;;Paneks HARV, mitte KÕNEK;Erinevad. GPT-4(o) ei maini non-fictionit (mitteilukirjandus), aga mainib jällegi asju, mida ÜK ei maini: kõnekeel, rahvajutud, luule.;mis on kõnekeel? hetkel rahvajuttudega seoses;ÕS;argi;HARV;jah ;;nii ja naa;oli harv;jah;skm pakkus tekstianre, korpus pakkus ainult NONE;jah;mitte;mitte;jah
aeglus;"ÕS: (puudub)
ÜS: (väga) aeglane liikumine, tegutsemine või toimimine, (teadlik, sunnitud) mitte kiirustamine";kasutatakse eesti keeles erinevates kontekstides, sealhulgas: 1. Teaduslikud ja tehnilised tekstid: Näiteks füüsikas ja inseneriteadustes, kus arutatakse liikumise kiiruse või protsesside tempo üle. 2. Meditsiinilised ja psühholoogilised tekstid: Näiteks kirjeldamaks reaktsioonikiiruse või kognitiivsete protsesside aeglustumist. 3. Kirjandus ja ilukirjandus: Näiteks kirjeldamaks tegelaste tegevust või sündmuste kulgu. 4. Igapäevane kõne ja ajakirjandus: Näiteks liikluse või internetiühenduse kiiruse kirjeldamisel.;erinevad tekstid, FÜÜSIKA, INSENEERIA, MEDITSIIN, PSÜHHOLOOGIA;erinevates tekstides, kus kirjeldatakse midagi aeglast või viivitust;erinevad tekstid;registrita;5365 (1,42 per mln);"NONE 2817 (keskmine)
cult&entertainment 1210 (tüüpiline)
techn&IT 406 (pole tüüpiline)
sport 199 (pole tüüpiline)
science 157  (tüüpiline)";"periodics 2240 (pole tüüpiline)
blogid 946 (tüüpiline)
NONE 936 (pole tüüpiline)
forums 653 (pole tüüpiline)
fiction 746 (tüüpiline)";;registrita;kõik pakuvad, et eri tüüpi tekstid;;ÕS;registrita;registrita;jah   ;;jah;;jah;SKM pakkus täpsemaid valdkondi;ei;sama;sama;
ahter;"ÕS: laeva v paadi päraosa; nalj tagumik, taguots
""Pane oma ahter ankrusse"" ARGI (võta istet!)
ÜS 1 laeva või paadi tagaosa
ÜS 2 KÕNEKEELNE kehaosa, millel istutakse";kasutatakse eesti keeles peamiselt merendusega seotud tekstides. See tähendab laeva või paadi tagaosa. Näiteks võib seda sõna leida merendusalastes artiklites, laevanduse käsiraamatutes, navigatsioonijuhistes ja mereajaloo kirjeldustes.;MERENDUS, LAEVANDUS, MEREAJALUGU;merenduse ja laevaehitusega seotud tekstides, kuna see viitab laeva tagaosale;MERENDUS, LAEVAEHITUS;registrita;11320 (2.99 per mln);"NONE 6686 (pole tüüpiline)
cult&entertainm 803 (pole tüüpiline)
seadus&õigus 732 (tüüpiline)
other 577 (pole tüüpiline)
techn&IT 768 (pole tüüpiline)";"periodicals 4930 (keskmine)
NONE 1835 (pole tüüpiline)
forums 1790 (tüüpiline)
blogid 1023 (pole tüüpiline)
fiction 1321 (tüüpiline)";pms mereteema, väga üksikud istmikujuhtumid, esildub Ahtri tn;registrita;kõik sama: toovad välja ainult mereteema;;ÕS;argi (näitel);"1 registrita
2 kõnek";jah;oli informatiivne valdkondade mõttes, mitte kõnekeele aspektist;jah;;jah;skm-id tõid välja konkreetsemalt mereteema;ei saa vastata;mitte;mitte;jah
eelsool;"ÕS: verisool
ÜS: toiduaine kerge, vähene soolamine enne tarvitamist";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""eelsool"". Sõna võib esineda spetsiifilistes kontekstides, näiteks teaduslikes või tehnilistes tekstides, kuid ilma täiendava informatsioonita ei ole võimalik täpselt määrata, millistes tekstides seda kasutatakse.";teadustekstid, tehnilised tekstid;kasutatakse meditsiinilistes tekstides, toiduvalmistamise retseptides;MEDITSIIN, KOKANDUS;registrita;11 (0.01 per mln);"NONE 8 (tüüpiline)
food & drinks 3 (väga tüüpiline)";"NONE 6 (tüüpiline)
periodicals 5 (tüüpiline)";kokandus 3/4, 1/4 esineb ka anatoomiline täh;registrita (aga med täh puudu);"GPT-4o ei tea
GPT nimetab mõlemat (kok, med)
Gemini ei tea
Claude kobab (med paneb pihta)";"homonüümid
1. = eelsoolamine 
2. eelsoole (gen.)";ÕS;registrita;registrita;jah;;ei;madal sagedus;ei;;ei   ;sama;sama;
ekker;"ÕS: geodeesiariist täisnurga määramiseks maastikul
ÜS: geodeesiariist täisnurga määramiseks ja märkimiseks maastikul";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""ekker"". See võib olla spetsiifiline termin või nimi, mida kasutatakse teatud kontekstis, kuid ilma täiendava informatsioonita ei saa ma kindlalt öelda, kus ja kuidas seda sõna kasutatakse.";ei tea;kasutatakse ajaloolistes tekstides, maamõõtmise ja põllumajanduse kontekstis;AJALUGU, MAAMÕÕTMINE, PÕLLUMAJANDUS;registrita;154 (0.04 per mln);"NONE 111 (tüüpiline)
cult&entertainm 16 (pole tüüpiline)
ajalugu 7 (väga tüüpiline)
techn&IT 6 (pole tüüpiline)
politics&government 5 (pole tüüpiline)";"periodicals 101 (tüüpiline)
NONE 20 (pole tüüpiline)
forums 12 (pole tüüpiline)
ecyclopedia 10 (tüüpiline)
blogs 8 (pole tüüpiline)";esineb ka perekonnanimena;registrita;"GPT4 ja Gemini kõige lähemal
teised ei tea";;ÕS;registrita;registrita;jah;;jah;;jah;pakkusid erinevaid valdkondi;ei;sama;sama;
orgkomitee;"ÕS: (puudub)
ÜS: mingit üritust vms korraldav rühm inimesi";"kasutatakse tekstides, mis käsitlevad ürituste, konverentside, spordivõistluste, festivalide või muude suuremate sündmuste korraldamist ja planeerimist. ""Orgkomitee"" on lühend sõnast ""organiseerimiskomitee"" ja viitab rühmale inimesi, kes vastutavad sündmuse ettevalmistamise ja läbiviimise eest. Näiteks võib seda sõna leida ürituste kavades, ametlikes teadaannetes, pressiteadetes ja aruannetes.";ÜRITUSTE KORRALDAMINE;kasutatakse organisatsioonide ja ürituste korraldamisel, tähendab organiseerimiskomiteed;ÜRITUSTE KORRALDAMINE;registrita;901 (0.24 per mln);"NONE 476 (keskmine)
sports 231 (tüüpiline, eriti male)
techn&IT 56 (keskmine)
science 29 (tüüpiline)
pol&governm 19 (väga tüüpiline)";"periodicals 464 (tüüpiline)
NONE 210 (tüüpiline)
blogs 113 (pole tüüpiline)
forums 82 (pole tüüpiline)
encyclopedia 24 (tüüpiline)";;registrita;kõik sama: õige tulemus;;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
pasunapoiss;"ÕS: puhkpillimängija
ÜS: (noor) puhkpillimängija";kasutatakse eesti keeles tavaliselt kirjanduses, muusikaga seotud tekstides ja ajaloolistes kontekstides. Pasunapoiss viitab tavaliselt noorele inimesele, kes mängib pasunat, näiteks sõjaväes või orkestris. Seda sõna võib leida ka rahvajuttudes, lastekirjanduses ja muudes kultuurilistes tekstides, kus kirjeldatakse muusikalisi tegevusi või tegelasi.;MUUSIKA, AJALUGU, KULTUUR, kirjandus, rahvajutud, lastekirjandus;võib esineda ajaloolistes tekstides või näidendites;AJALUGU, näidendid;registrita;165 (0.04 per mln);"NONE 98 (tüüpiline)
cult&entertainm 55 (tüüpiline, eriti musics ja movies)
pets&animals 4 (tüüpiline)
techn&IT 8 (pole tüüpiline)
religion 4 (tüüpiline)";"periodicals 97 (tüüpiline)
blogs 21 (pole tüüpiline)
NONE 14 (pole tüüpiline)
forums 14 (pole tüüpiline)
fiction 14 (tüüpiline, eriti lühijutud)";esineb ka orkestrinimedes;registrita;kõik mudelid märgivad ajaloolist kasutust;;ÕS;argi;registrita;jah;;jah;;jah;pakkusid erinevaid anre;ei;sama;sama;
hoolik;"ÕS: +hoolik (puudub)
ÜS: inimene, kes kirglikult midagi armastab, on millestki sõltuvuses";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""hoolik"".";ei tea;kasutatakse ilukirjanduses, rahvaluuletekstides;ilukirjandus, rahvaluuletekstid;registrita;101 (0.03 per mln);"NONE 63 (tüüpiline)
cult&entertainm 23 (tüüpiline, eriti books&literature)
techn&IT 13 (tüüpiline)
science 3 (tüüpiline)
health 3 (tüüpiline)";"blogs 35 (tüüpiline)
periodicals 23 (pole tüüpiline)
forums 19 (tüüpiline)
NONE 13 (pole tüüpiline)
e-commerce 5 (tüüpiline)";;registrita;"GPT-4o ütleb et ei tea (on aus)
GPT pakub kirjanduse (ok)
Gemini ja Claude luuletavad täiega";sagedamini esineb liitsõna järelosana;ÕS;argi;registrita;jah;;jah;;jah;erinevad valdkonnad;ei;mitte;mitte;jah
aktsioon;"ÕS: (hoog)tegevus, toiming, üritus
ÜS: organiseeritud tegevus, ühiselt ette võetud, kampaanialik üritus";"kasutatakse eesti keeles tavaliselt järgmistes kontekstides: 1. Reklaam ja turundus: Näiteks kampaaniate ja eripakkumiste kirjeldamisel. ""Poel on käimas suur soodusmüügi aktsioon."" 2. Poliitika ja ühiskondlik tegevus: Näiteks protestide, demonstratsioonide või muude ühiskondlike algatuste kirjeldamisel. ""Aktivistid korraldasid keskkonnakaitse aktsiooni."" 3. Kunst ja kultuur: Näiteks performance'i või kunstiprojektide kirjeldamisel. ""Kunstnikud viisid läbi tänavakunsti aktsiooni."" 4. Finants ja majandus: Kuigi sõna ""aktsioon"" ei ole otseselt seotud finantsterminitega, võib see mõnikord esineda kontekstis, kus räägitakse investeerimisprojektidest või ettevõtete tegevustest. ""Ettevõte alustas uue tooteliini turule toomise aktsiooni.""";erinevad tekstid;majandus-, äri- ja finantstekstides, kuna see viitab ettevõtte välja antud osalusele.;MAJANDUS, ÄRINDUS, FINANTS;registrita;42530 (11.24 per mln);"NONE 25,463 (tüüpiline)
cult&entertainm 5561 (tüüpiline)
pol&governm (3371 (tüüpiline)
sports 1687 (pole tüüpiline)
techn&IT 2307 (pole tüüpiline)";"periodicals 29125 (tüüpiline, eriti newspapers)
NONE 5814 (pole tüüpiline)
blogs 4771 (pole tüüpiline)
forums 3011 (pole tüüpiline)
non-fiction 433 (tüüpiline)";;registrita;"GPT-4o eri tekstid (ok)
GPT, Gemini: ok (maj, finants, sõjandus)";;ÕS;argi;registrita;jah;;jah;;jah;erinevad valdkonnad;ei;mitte;mitte;jah
