Katsesõna	Tähendus
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema
kargama	suguakti sooritama (isasloomade, ka mehe kohta)
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab
paralleel	üks kooli sama astme klassidest
sisse ajama	palju või ahnelt sööma või jooma
kärakas	viin vm hrl kangem alkohoolne jook
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"
peale minema	meeldima, sobima
pooletoobine	väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus
sell	(mehe kohta)
sitt	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"
sott	(rahaline) arvestus, arvepidamine millegi kohta
suts	lühiajaline sooritus, eriti väike teatri- või filmiroll
vurts	hoog, energia
kah	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"
klaarima	probleeme, suhteid vms selgitama või lahendama
klappima	"(kokku) sobima	 kooskõlas olema"
kompu	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"
kõnetoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"
parkima	rohkesti ja aplalt sööma
pask	(vedel) väljaheide, roe
pipardama	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"
pirakas	kogult, mõõtmetelt hästi suur
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades
rokk	jahust ja veest segatud loomatoit
sitsima	(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides
sortsutama	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"
ära kukkuma	(nurisünnituse kohta)
diiler	narkootikumide vahendaja või edasimüüja
frukt	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"
frukt	(eriline, iseäralik, konfliktne) tüüp, tegelane
jurama	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"
kannikas	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku
kara	mehe suguliige
ketrama	millestki korduvalt, vahetpidamata rääkima
kiilakas	kiilasjää
klaaruma	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule
koperdama	vaevaliselt, komistades, aeglaselt käima
kräkk	eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast
kupatama	kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama
käkkima	"midagi kiiruga, kehvasti tegema	 midagi ära rikkuma"
leegionär	välismaalt palgatud, mitte oma maa klubis mängiv sportlane
libekala	osava jutuga silmakirjalik tüüp
luhvtitama	(raha raiskamise, hoogsa kulutamise kohta)
lutikas	väike pealtkuulamisseade
läbu	sisutühi, halvustav vm häiriv jutt internetifoorumis
läbu	joomapidu, kus enda järelt ei koristata
läbu	maha jäetud sodi, räpased jäägid
läbustama	(hoogsalt, kärarikkalt) pidutsema
läbustama	"endast rämpsu ja jäätmeid maha jätma	 midagi maha ajama või peale tilgutama"
läbustama	internetifoorumis sisutühja, halvustavat või roppu teksti kirjutama
lällama	joobnuna pehmel keelel rääkima, laulujoru ajama vms
lällutama	joobnuna pehmel keelel rääkima, laulujoru ajama vms
mats	heade kommeteta, labase käitumise ja rääkimisega inimene, ka sõimusõnana
mihkel	millegi peale hakkaja, milleski osav
moor	eakas naine
mutt	eakas, vana naine
möga	"jama, totrus, mõttetus	 segane, totter, sisuta ja mõtteta jutt"
mööbeldama	"kõvasti rahmeldama	 kärarikkalt toimetama"
naga	(hrl pahameelt väljendades poisikese, nooruki kohta)
nitro	kütus, mille üks komponent sisaldab nitrorühma
nõks	"kaval võte	 leidlik toimimisviis, (kaval) võte"
näitemäng	"hrl laval esitamiseks mõeldud dialoogivormis kirjandusteos	 kirjutatud teos, mis on mõeldud näitlejatele teatris esitamiseks	 selle ettekanne"
nöps	keegi või miski väike ja ümar (ning armas, kena)
odamees	odaviskega tegelev sportlane
pasundama	üliagaralt kuulutama, teatama või edasi rääkima
pehmik	leebe ja järeleandlik, abituna mõjuv, mittekarm inimene, hrl mehe kohta
perse	tagumik
pill	televiisor, muusikakeskus, auto, fotokaamera vms riist
pillitama	hellitama, poputama
pillitama	nututama
pillitama	(jahti pidades) vilega lindu või looma peibutama
pilves	narkootikumist tingitult joobeseisundis, narkouimas
pipstükk	mingi paremat, peenemat sorti toit või toidupala
pipstükk	peps (nõudlik ja valiv) inimene
plass	"(näovärvi kohta:) kahvatu, jumetu	 (värvide kohta:) ereduseta, erksuseta"
poppar	"popmuusik	 popmuusika fänn"
porte	mustriga ilustatud riba, lint või nöör rõivaste, tapeedi vm äärel
prahmakas	"ebaõnnestumine	 ekslik tegu, (suur) viga"
puukeel	purssiv võõrkeele kõnelemine
põrakas	"(tugev) hoop	 pauk või plahvatus"
pätakas	(väike) laps
reaktiiv	ühe või mitme reaktiivmootoriga lennuk
ropsima	"kui sa oksendad, siis tuleb toit su kõhust suu kaudu välja	 pooleldi seeditud toitu koos maomahlaga tahtele allumatult suu kaudu välja paiskama"
satikas	(parasiit)putukas
siiberdama	edasi-tagasi (logelevalt, lõdvalt) liikuma, sel viisil midagi tegema
sittama	mustaks, räpaseks tegema, jäätmetega saastama, reostama
soss	saamatu, käpardlik
suksutama	naisega armusuhtes olema, sellele ahvatlema
surmasõlm	(lennunduses:) vigurlennu element, mida sooritav lennuk teeb õhus vertikaalse ringi
sutsakas	lühiajaline sooritus, eriti väike teatri- või filmiroll
sürr	(sürrealistlikke) nägemusi, (veidraid) kujutluspilte sisaldav või muul moel uskumatu ja põnev
tatine	tatiga koos, tatiga määrdunud
tatt	(lapse, liiga noore inimese kohta, ka halvustavalt või sõimusõnana)
tatt	"ninast erituv lima, ninasekreet	 sülg"
tiiskant	"(kõrge kileda hääle kohta)	 kõrge lapse-, poisihääl koorilaulus"
tirts	(väike) tüdruk, tütarlaps
tohlakas	hoop, löök
trehvama	kellegagi kokku sattuma, kedagi (juhuslikult) kohtama
töss	jõuetu, energiata, saamatu, vilets
tümakas	monotoonse tugeva rütmiga muusika
vargapesa	pistik, mis võimaldab mitu elektririista vooluvõrku lülitada, harupistik
vibra	mehaaniline võnkumine
vitsutama	rohkesti ja aplalt sööma
volüüm	heli tugevus
värdjas	(vastumeelsust äratava inimese kohta, ka sõimusõnana)
aidaa	(lahkumisel öeldav sõna:) nägemiseni, kohtumiseni
alias	varjunimi
amarüll	Kesk- ja Lõuna-Ameerikast pärit suurte hrl punaste või valgete kellukjate õitega sibullill, Eestis toataim
ARK	"riiklik teenindusbüroo, kus korraldatakse sõiduki ostu- ja müügitoiminguid, juhilubade taotlemist vms	 sõidukite registreerimise büroo"
asjapulk	(tähtis) ametimees, (tähtsalt) milleski osalev inimene
baka	kõrghariduse madalaima astme õpe, mille kestel üliõpilane omandab eriala alusteadmised ja -oskused
baka	"inimene, kes on lõpetanud hrl kolmeaastase õppekava ja saanud bakalaureusekraadi	 vastav akadeemiline kraad"
debiilne	ülimalt totter, äärmiselt rumal
eba	"millegi poolest sobimatu, kohatu, mitte hea, meeldiv ega õige	 tobe, nõme"
ekstra	"erilisse, valitud klassi kuuluv	 eriti, eriliselt"
erakas	(omaette) korter, hrl vastandatuna ühiselamule või ametikorterile
flegma	(temperamenditüüp:) pikaldane, tasakaalukas, väliselt nõrgalt reageeriv inimene
frits	(Natsi-Saksamaa sõjaväelase kohta)
haltuura	rahateenimiseks tehtav (eraviisiline) kõrvaltöö
hiigla	tohutult, üliväga
hiiglama	tohutult, üliväga
hiinakas	Hiina toite pakkuv söögikoht
hilp	"hrl naiste kergem riietusese	 vähenõudlik, kehv riideese"
hullumaja	haigla, kus ravitakse psüühikahäireid
huulekas	"pulgalaadne kosmeetikavahend huulte värvimiseks või võidmiseks	 vahend, millega naised huuli värvivad"
hädapasun	alatasa hädaldav inimene
igatepidi	"igal moel, igas suhtes	 igas suhtes, igas mõttes	 igas suhtes, igas mõttes, igal moel"
jahvatama	millestki tüütuseni palju rääkima
jamama	mitteasjalikku, segast või tõele mittevastavat juttu ajama
jamps	totrus, rumal või segane jutt või tegu
jeekim	tont, kuradike, paha vaim, koll
jobutama	rumalusi, totrat juttu rääkima, jobujuttu ajama
jobutus	"miski totter, rumal	 rumal, totter jutt"
joomavend	"inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses	 inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses"
jubetu	väga kole, väga inetu
jumalavili	(teravilja, ka muude viljade või üldse toidu kohta)
jurakas	suur ja jäme (ning raske)
jõmmkärakas	jässakas tugev (jooma- ja lööma)mees
kabelimats	tappev või väga ränk löök
kaif	uimasti vm mõnuaine pruukimisel tekkiv joobe-, naudinguseisund
kanapea	"alkoholi talumise seisukohalt kehv, vilets pea	 vilets, halb mälu või taip"
kapo	asutus, mille ülesanne on tagada riiklik julgeolek, võidelda terrorismiga ja riigi vastu suunatud kuritegudega
karauul	"vahtkond	 valve"
