Katsesõna;Tähendus
resto;söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal
restoran;söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal
turva;töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm
turvamees;töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm
aastanumber;kalendriaastat märkiv arv
aastaarv;kalendriaastat märkiv arv
mokas;(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud
kööga;(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud
sablon;vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi
šabloon;vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi
ajaleht;lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)
seitung;lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)
moekas;"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv "
trendikas;"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv "
käkerdis;asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö
plätserdus;asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö
vaib;eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms
nett;"arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus "
pontšik;rõngakujuline või ümmargune õlis keedetud pirukas
sõõrik;rõngakujuline või ümmargune õlis keedetud pirukas
santehnik;torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
hinnakahvel;võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus
hinnavahemik;võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus
ökojalajälg;näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga
plagama;"põgenema, ära jooksma; kiiresti jooksma "
putket panema;põgenema, ära jooksma, jalga laskma
stepsel;paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada
igatemoodi;igas suhtes, igas mõttes, igal moel
poisiklutt;väike (vahva, tore) poiss, poisike või poisiohtu nooruk 
moor;"eakas naine; naissoost abielupool; ema või vanaema"
