Katsesõna;Tähendus;Hindaja_1;Hindaja_2;Hindaja_3;Koondarvamus;split
põrutama;löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima tugevasti lööma, tugevat hoopi andma;EI;EI;JAH;EI;eval
ribi;rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge;EI;EI;JAH;EI;eval
kargama;(riigist, vangistusest, kinnipidamisasutusest vm) põgenema;JAH;JAH;JAH;JAH;eval
kargama;suguakti sooritama (isasloomade, ka mehe kohta);JAH;JAH;JAH;JAH;eval
kits;inimene, kes teis(t)e peale kaebab või teise(d) üles annab;JAH;JAH;JAH;JAH;eval
paralleel;üks kooli sama astme klassidest;EI;EI;JAH;EI;eval
sisse ajama;palju või ahnelt sööma või jooma;JAH;JAH;JAH;JAH;eval
kärakas;viin vm hrl kangem alkohoolne jook;JAH;JAH;JAH;JAH;eval
luhvt;aine omadus, mida sa tunned nina kaudu paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna);EI;EI;JAH;EI;eval
luhvt;Maad ümbritsev gaaside segu, mida me hingame maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas;EI;EI;JAH;EI;eval
peale minema;meeldima, sobima;EI;JAH;JAH;JAH;eval
pooletoobine;väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel;JAH;JAH;JAH;JAH;eval
putk;karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus;EI;EI;JAH;EI;eval
sell;(mehe kohta);EI;JAH;JAH;JAH;eval
sitt;looma või inimese väljaheide, roe sõnnik (põllu väetisena);EI;EI;JAH;EI;eval
sott;(rahaline) arvestus, arvepidamine millegi kohta;EI;JAH;JAH;JAH;eval
suts;lühiajaline sooritus, eriti väike teatri- või filmiroll;EI;JAH;JAH;JAH;eval
vurts;hoog, energia;EI;JAH;JAH;JAH;eval
kah;peale selle, lisaks samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval;EI;JAH;JAH;JAH;eval
klaarima;probleeme, suhteid vms selgitama või lahendama;EI;EI;JAH;EI;eval
klappima;(kokku) sobima kooskõlas olema;EI;EI;JAH;EI;eval
kompu;suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist;JAH;JAH;JAH;JAH;eval
kõnetoru;(sõnumi edasiandmise abinõu, vahendi kohta) kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms;EI;JAH;JAH;JAH;eval
parkima;rohkesti ja aplalt sööma;JAH;JAH;JAH;JAH;eval
pask;(vedel) väljaheide, roe;EI;JAH;JAH;JAH;eval
pipardama;tujude järgi talitama, tujukas olema ülearu valiv olema;JAH;EI;JAH;JAH;eval
pirakas;kogult, mõõtmetelt hästi suur;JAH;EI;JAH;JAH;eval
