Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	Sõna 'resto' on lühendatud versioon sõnast 'restoran', mida kasutatakse peamiselt kõnekeeles ja informaalsemates suhtlussituatsioonides. See on lühike, mugav ja kergesti hääldatav variant, mis on eriti levinud noorema põlvkonna seas sotsiaalmeedia, vestluste ja igapäevase suhtluse kontekstis.	
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	võrdselt	Sõna 'restoran' on üldlevinud neutraalne termin, mida kasutatakse võrdselt nii informaalsetes kui ka neutraalsetes/formaalsetes tekstides. See on üldtunnustatud sõna, mis sobib nii argivestluses, ajakirjanduses, reklaamides kui ka ametlikes dokumentides.	
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turva' on pigem kõnekeelne ja lühendatud variant ametlikumast sõnast 'turvamees'. Seda kasutatakse sagedamini mitteametlikes vestlustes, sotsiaalmeedia suhtluses ja igapäevases kõnepruugis, kus eelistatakse lühemaid ja lihtsamaid väljendeid.	
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	võrdselt	Sõna 'turvamees' on neutraalne ametinimetus, mida kasutatakse nii ametlikes dokumentides, meediaväljaannetes kui ka igapäevases kõnekeeles. See on selge, täpne ja üheselt mõistetav termin, mis kirjeldab konkreetset ametit ja tööülesandeid.	
aastanumber	kalendriaastat märkiv arv	informaalsetes	Sõna 'aastanumber' on liitsõna, mis koosneb sõnadest 'aasta' ja 'number', ning seda kasutatakse pigem argikeeles ja mitteametlikes kontekstides. Ametlikes dokumentides, teadusartiklites ja formaalsetes tekstides eelistatakse täpsemaid väljendeid nagu 'aasta' või 'kalendriaasta'.	
aastaarv	kalendriaastat märkiv arv	võrdselt	Sõna 'aastaarv' on neutraalne termin, mida kasutatakse nii ametlikes dokumentides, teadusartiklites, ajakirjanduses kui ka igapäevases kõnekeeles. See on selge ja täpne termin, mis tähistab konkreetset mõistet ning ei ole liiga ametlik ega liiga argine.	
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'mokas' on slängiline väljend, mida kasutatakse peamiselt kõnekeeles ja mitteametlikes suhtlussituatsioonides. See on pigem noorte ja informaalses suhtluses osalejate seas levinud väljend, mida ei kasutata ametlikes dokumentides, teadusartiklites ega formaalsetes tekstides.	
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'kööga' on väga kolloquiaalne, argine väljend, mida kasutatakse peamiselt mitteametlikus suhtluses sõprade ja tuttavate vahel. See on pigem kõnekeelne väljend, mis väljendab midagi täielikult ebaõnnestunuks või rikutuks.	
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	võrdselt	Sõna 'sablon' on üldlevinud nii igapäevases kõnekeeles kui ka erialastes ning ametlikes tekstides. Seda kasutatakse nii tehnikas, disainis, käsitöös kui ka arvutitehnoloogias, mistõttu see sobib nii informaalsetesse kui ka formaalsetesse kontekstidesse.	
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	võrdselt	Sõna 'šabloon' on laenatud võõrkeelest (vene keelest šablon) ning kasutatakse nii informaalsetes kui ka neutraalsetes/formaalsetes tekstides. See on muutunud üldlevinud terminiks nii igapäevases kõnekeeles kui ka erialastes tekstides, näiteks disainis, tehnikas, arvutiteaduses.	
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	võrdselt	Sõna 'ajaleht' on üldlevinud neutraalne termin, mida kasutatakse nii ametlikes kui ka mitteametlikes kontekstides. See on üldtuntud mõiste, mis sobib nii formaalsetesse (nt teaduslik artikkel, ametlik aruanne) kui ka informaalsetesse (nt vestlus sõpradega, blogi) tekstidesse. Sõna on selge, täpne ja üldmõistetav kõigis suhtlusolukordades.	perioodika, väljaanne, publikatsioon, trükimeedia
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	Sõna 'seitung' on pigem slängiline ja ebaametlik väljend ajalehe/ajakirja tähistamiseks. See on tekkinud saksa keele sõnast 'Zeitung' ning on pigem kõnekeelne variant, mida kasutatakse mitteametlikus suhtluses.	
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	Sõna 'moekas' on pigem kõnekeelne ja kasutatakse eelkõige mitteametlikes suhtlussituatsioonides. See on emotsionaalsem ja vähem range variant ametlikumatest väljendustest, mida kasutatakse moega seotud kontekstides. Informaalsed vestlused sõprade, tuttavate ja pereliikmete vahel kasutavad sageli selliseid kõnekeelseid väljendeid.	
