Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	'Resto' on lühendatud, kõnekeelne vorm sõnast 'restoran'. Seda kasutatakse peamiselt mitteametlikus suhtluses, sotsiaalmeedias, blogides ja vestlustes. Ametlikes dokumentides, menüüdes või ärikirjades kasutatakse täispikka vormi 'restoran'.	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	Sõna 'restoran' on neutraalne ja ametlik termin, mida kasutatakse laialdaselt nii ametlikes dokumentides, ajakirjanduses kui ka igapäevases suhtluses. See on rahvusvaheliselt tuntud ja aktsepteeritud termin, mis esineb sageli ärinimedes, turismiinfos ja ametlikes tekstides. Sõna ei kanna endas informaalset või kõnekeelset varjundit.	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turva' on kõnekeelne lühend sõnast 'turvatöötaja'. Seda kasutatakse peamiselt suulises kõnes ja informaalsetes kirjalikes tekstides nagu sotsiaalmeedia postitused, foorumid ja kommentaariumid. Ametlikes dokumentides ja formaalsetes tekstides kasutatakse täispikka terminit 'turvatöötaja' või muid ametlikke nimetusi.	turvatöötaja, turvamees, valvur, julgestaja, korravalvur
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turvamees' on pigem kõnekeelne väljend, mida kasutatakse rohkem mitteametlikus suhtluses. See on liitsõna, mis on tekkinud lihtsustatud keelekasutuse tulemusena. Ametlikes dokumentides ja formaalsetes olukordades eelistatakse täpsemaid ja neutraalsemaid ametinimetusi.	turvatöötaja, valvur, julgestusteenistuja, turvavalvur, objektivalvur
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastanumber' on neutraalne ja täpne termin, mida kasutatakse laialdaselt ametlikes dokumentides, teadustekstides, ajakirjanduses ja muudes formaalsetes kontekstides. See on eelistatud termin, kui on vaja täpselt viidata konkreetsele kalendriaastale. Sõna on keeleliselt korrektne ja professionaalne, ilma kõnekeelsete või slängiliste konnotatsioonideta.	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastaarv' on neutraalne ja täpne termin, mida kasutatakse laialdaselt ametlikes dokumentides, õpikutes, teadusartiklites ja muudes formaalsetes kontekstides. See on standardne viis viidata konkreetsele kalendriaastale numbrilises vormis. Sõna on asjalik ja professionaalne, ilma kõnekeelsete või slängipäraste konnotatsioonideta.	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'mokas' on slängilik väljend, mida kasutatakse peamiselt kõnekeeles ja mitteametlikus suhtluses. Seda kohtab sageli sotsiaalmeedias, foorumites ja noorte omavahelises suhtluses. Formaalsetes tekstides (nt ametlikud dokumendid, uudised, teadusartiklid) seda väljendit ei kasutata.	ebaõnnestunud, nurjunud, läbi kukkunud, rikutud, untsu läinud, aia taha läinud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'kööga' on slängilik väljend, mida kasutatakse peamiselt kõnekeeles ja informaalses internetisuhtluses. Seda ei kohta ametlikes dokumentides, uudistes ega akadeemilistes tekstides. Sõna on levinud eriti noorte seas ning sotsiaalmeedia postitustes, foorumites ja igapäevases suhtluses.	läbi kukkunud, nurjunud, rikutud, untsu läinud, ebaõnnestunud, katki, raisku läinud
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	Sõna 'sablon' on tehniline termin, mida kasutatakse peamiselt erialases kontekstis (nt käsitöö, ehitus, disain) ning ametlikes või õppematerjalides. See on laensõna, mis on eesti keeles juurdunud just tehnilise terminina ning selle kasutus on neutraalne ja asjalik, mitte kõnekeelne või informaalne.	ei kohaldu
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	Sõna 'šabloon' on tehniline termin, mida kasutatakse peamiselt erialases kontekstis (nt ehitus, kunst, käsitöö, trükindus) ning ametlikes või õpetavates tekstides. See on laensõna, mis on eesti keeles juurdunud just erialakeelde ning selle kasutamine on neutraalne ja asjakohane formaalsetes situatsioonides.	ei kohaldu
