Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"Sõna ""resto"" on kõnekeelne lühend sõnast ""restoran"". Seda kasutatakse peamiselt informaalses keelekasutuses nagu sotsiaalmeedia postitustes, sõprade vahelises vestluses või muudes vabama keelekasutusega tekstides. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul sõna ""restoran"" täisvormi."	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on üldlevinud ja neutraalne termin, mida kasutatakse erinevat tüüpi söögikohtade tähistamiseks. See ei ole kõnekeelne ega informaalne sõna, vaid sobib kasutamiseks nii igapäevases suhtluses kui ka ametlikes tekstides. ""Restoran"" on piisavalt üldine mõiste, mis hõlmab erinevaid söögikohtasid sõltumata nende tasemest või stiilist."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	"Sõna ""turva"" kasutatakse pigem kõnekeelsetes ja informaalsetes tekstides, kui räägitakse turvameestest või turvateenistusest. Ametlikes ja formaalsetes tekstides eelistatakse kasutada täpsemaid ja neutraalsemaid väljendeid."	turvamees, turvatöötaja, valvur, ihukaitsjad
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	Sõna 'turvamees' on neutraalne ja ametlik termin, mida kasutatakse erinevates formaalsetes kontekstides nagu uudised, ametlikud dokumendid, tööpakkumised jms. See ei ole kõnekeelne ega informaalne sõna.	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastanumber' on neutraalne termin, mida kasutatakse ametlikes dokumentides, teadustekstides, ajakirjanduses jm formaalsetes tekstides kalendriaasta numbrilise tähistuse kohta. See ei ole kõnekeelne ega informaalne väljend.	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastaarv' on neutraalne termin, mida kasutatakse ametlikes ja formaalsetes tekstides nagu dokumendid, teadusartiklid, entsüklopeedia sissekanded jms. See on täpne ja konkreetne väljend kalendriaastat märkiva arvu kohta ning sobib hästi neutraalsetesse kontekstidesse.	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'mokas' tähenduses '(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud' on pigem kõnekeelne ja slängipärane väljend. Seda kasutatakse rohkem informaalses suhtluses nagu sõprade vestlustes, sotsiaalmeedias, foorumites ja blogides. Formaalsetes ja neutraalsetes tekstides eelistatakse üldjuhul ametlikumat sõnastust.	läbi kukkunud, ebaõnnestunud, nurjunud, untsu läinud, luhtunud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'kööga' on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, blogid jms. Sõna väljendab millegi lõplikku ebaõnnestumist või rikutust familiaarselt ja emotsionaalselt, mistõttu ei sobi see ametlikesse või formaalsetesse tekstidesse.	läbi, nurjunud, ebaõnnestunud, untsu läinud, aia taha läinud, viltu vedanud
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	Sõna 'sablon' on üldlevinud termin, mida kasutatakse erinevates valdkondades nagu tööstus, käsitöö, infotehnoloogia jm. See on neutraalne sõna, mis sobib hästi nii igapäevasesse kui ka erialasesse keelekasutusse. Sõnal puudub kõnekeelne või informaalne varjund.	ei kohaldu
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	Sõna 'šabloon' on laensõna vene keelest, kuid on eesti keeles laialt levinud ja aktsepteeritud termin, mida kasutatakse erinevates valdkondades (nt kunst, tööstus). See ei ole kõnekeelne ega informaalne sõna, vaid neutraalne ja kohati isegi formaalne termin, mida leiab sageli erialastest tekstidest, kasutusjuhenditest jms.	ei kohaldu
