Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"Sõna ""resto"" on lühend sõnast ""restoran"" ja seda kasutatakse eelkõige kõnekeeles ja mitteametlikes tekstides nagu blogid, foorumid ja sotsiaalmeedia. Formaalsemas keeles ja ametlikes dokumentides on eelistatum kasutada täisvormi ""restoran""."	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	võrdselt	"Sõna ""restoran"" on üldkasutatav ja neutraalne termin söögikoha kohta, kus pakutakse kohapeal valmistatud toite. See sobib nii igapäevasesse kõnekeelde kui ka ametlikku stiili. Seda võib kasutada nii blogipostituses kui ka ametlikus menüüs."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	"Sõna ""turva"" on lühend sõnast ""turvatöötaja"" ja seda kasutatakse peamiselt kõnekeeles ja mitteametlikes tekstides mugavuse ja lühiduse mõttes. Ametlikes dokumentides ja formaalsetes tekstides on eelistatud täisversioon ""turvatöötaja"" või muu täpsem ametinimetus olenevalt kontekstist (näiteks valveoperaator, korrapidaja)."	turvatöötaja, valvur, valveoperaator, korrapidaja, kaitsja
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	võrdselt	"Sõna ""turvamees"" on üldkasutatav ja sobib nii argiseenaseks kui ka ametlikuks suhtluseks. See on selge ja arusaadav termin, mida kasutatakse nii seadustes kui ka igapäevakõnes.  Näiteks võime seda kohata nii töökuulutustes (""Otsime turvameest"") kui ka uudistes (""Turvamees takistas vargust"")."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastanumber"" on täpne ja ametlik termin kalendriaastat tähistava arvu jaoks.  Seda kasutatakse sageli ametlikes dokumentides, statistikas, andmebaasides ja muudes formaalsetes kontekstides. Kuigi see pole informaalses keeles keelatud, eelistatakse seal sageli lühemaid ja lihtsamaid alternatiive."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastaarv"" on täpne ja ametlik termin kalendriaastat tähistava arvu jaoks.  Seda kasutatakse sageli ametlikes dokumentides, ajaloolistes tekstides, statistikas ja muudes formaalsetes kontekstides. Kuigi sõna sobib ka igapäevasesse kõnekeelde, on informaalsemas suhtluses tihtipeale loomulikum kasutada lühemaid ja lihtsamaid alternatiive nagu ""aasta"".  ""Aastaarv"" oma täpsuse tõttu sobib hästi olukordades, kus on vaja eristada aastaarvu muudest arvudest."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" kannab endas selgelt kõnekeelset ja emotsionaalset varjundit. See väljendab mitte ainult ebaõnnestumist, vaid ka sageli kerget ärritust või pettumust. Selline toon ei sobi ametlikesse või formaalsetesse tekstidesse, kus eelistatakse neutraalsemat ja objektiivsemat keelekasutust. ""Mokas"" on levinud igapäevases suhtluses, internetikommentaarides, blogides jms."	ebaõnnestus, nurjus, läks halvasti, rikkus ära, kukkus läbi
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" on kõnekeelne ja ekspressiivne.  Seda kasutatakse emotsionaalselt laetud situatsioonides ja see kannab endas tugevat negatiivset hinnangut.  Formaalsemas ja neutraalses keeles on tavaliselt eelistatud vähem dramaatilised ja objektiivsemad sõnavalikud. Seetõttu on ""kööga"" pigem iseloomulik just informaalsetele tekstidele, nagu blogid, foorumid ja vestlused sõpradega."	halvasti, läbi kukkunud, nurjunud, rikutud, untsu läinud, metsa läinud, ebaõnnestunult
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""sablon"" selles tähenduses on laen prantsuse keelest ja kannab endas teatavat tehnilist või spetsiifilist varjundit. See teeb selle sobivaks kasutamiseks näiteks ametialases suhtluses, õppematerjalides või ametlikes dokumentides.  Kuigi sõna ei ole rangelt formaalne, on see vähem levinud igapäevases kõnekeeles ja informaalsetes tekstides."	ei kohaldu
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""šabloon"" pärineb prantsuse keelest (gabariit) ja kannab endas teatavat ametlikkust.  Seda kasutatakse sageli tehnilises kirjanduses, õpetustes ja muudes kirjades, kus on vaja täpsust ja selgust. Kuigi sõna võib esineda ka informaalsetes tekstides, on selle põhitoon pigem neutraalne või formaalne."	ei kohaldu
