Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalses	"Sõna ""resto"" on lühend sõnast ""restoran"" ja seda kasutatakse pigem kõnekeeles või mitteametlikes tekstides. See on argisem ja mitte nii ametlik kui ""restoran"", seetõttu sobib see paremini blogidesse, sotsiaalmeediasse või vestlustesse, kus stiil on vabam. Ametlikes tekstides ja dokumentides on sobivam kasutada täispikka sõna ""restoran""."	söögikoht, restoran
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	võrdselt	"Sõna ""restoran"" on eesti keeles üsna tavaline ja üldlevinud termin, mida kasutatakse igapäevaselt nii ametlikes kui ka mitteametlikes kontekstides. See ei ole stiililt liiga ametlik ega ka liiga argine, mistõttu sobib hästi nii blogidesse, ametlikesse kirjutistesse kui ka vestlustesse."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	võrdselt	"Sõna ""turva"" kasutatakse nii argikeeles kui ka ametlikumates kontekstides. Näiteks võib seda kohata nii turvafirma kodulehel kui ka sõpradevahelises vestluses. Seega ei ole see piiratud ainult informaalsete või formaalsete tekstidega, vaid seda kasutatakse mõlemas stiilis."	ei kohaldu
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	võrdselt	"Sõna ""turvamees"" on laialt levinud ja arusaadav väljend, mida kasutatakse nii igapäevases kõnes kui ka ametlikumates tekstides. See ei ole släng ega ka liialt formaalne termin, mistõttu sobib see erinevates kontekstides. Kasutatakse nii ametlikes dokumentides, uudistes, kui ka vabamas suhtluses."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastanumber"" on üsna konkreetne ja tehniline termin, mida kasutatakse enamasti olukordades, kus on vaja täpselt viidata kalendriaastale kui arvule. See ei ole igapäevane kõnekeel, vaid pigem kirjalik väljendus, mis leiab kasutust dokumentides, aruannetes, teadusartiklites, ametlikes kirjutistes ja teistes sarnastes kontekstides. Informaalsetes vestlustes kasutatakse pigem sõna ""aasta"" või kontekstist tulenevalt midagi muud (näiteks ""2023"")."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastaarv"" on ametlik ja täpne termin, mida kasutatakse peamiselt formaalsetes ja neutraalsetes tekstides, kus on vaja täpselt viidata kalendriaastale. Informaalses keeles kasutatakse pigem lihtsalt sõna ""aasta"" või kontekstist arusaadavalt muud väljendit. Näiteks ametlikus dokumendis ""sündmuse aastaarv"" või ajalooõpikus ""ajaloolise sündmuse aastaarv""."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalselt	"Sõna ""mokas"" on slängisõna, mida kasutatakse igapäevases kõnepruugis, mitte formaalses keeles. See väljendab tugevat negatiivset hinnangut ja on seetõttu sobivam vabamas, mitte ametlikus kontekstis. Seda leiab tihti blogidest, foorumitest, kommentaaridest ja sotsiaalmeediast, aga mitte näiteks ametlikest dokumentidest või akadeemilistest tekstidest."	tuksis, untsus, pekki, läbi, aia taha, vussi
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" on selgelt släng, mis viitab ebaõnnestumisele või riknemisele väga otsekohesel ja kõnekeelsel viisil. Selliseid väljendeid kasutatakse pigem vabas ja isiklikus suhtluses, mitte formaalsetes või neutraalsetes tekstides, kus eelistatakse täpsemat ja vaoshoitumat keelt."	untsus, viltu, tuksis, perses, käest ära
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""sablon"" selles tähenduses on pigem tehniline termin, mida kasutatakse nii tehnilistes kirjutistes, juhendites kui ka ehitus- ja käsitööalases tekstis. See on neutraalne sõna, mida saab kasutada ka formaalsetes kontekstides. Informaalsetes tekstides võib küll samast tähendusest rääkida, kuid pigem kasutatakse siis muid sõnu (nt mall, vorm)."	ei kohaldu
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""šabloon"" on eesti keeles küllaltki tavaline ja laialt kasutusel, kuid pigem tehnilistes, ametlikes või neutraalsetes kontekstides. See ei ole argikeelne sõna, mida tihti kohtaks informaalsetes vestlustes, blogides või sotsiaalmeedias. Kui kontekst seda eeldab (nt käsitöö juhendid, ehitus, disain), võib sõna ka informaalsetes tekstides esineda, aga üldiselt on see pigem neutraalne või formaalne termin."	ei kohaldu
