"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Sõna 'resto' on lühend ja kõnekeelne variant sõnast 'restoran', mida kasutatakse sageli igapäevases kõnes ja mitteametlikes tekstides nagu sotsiaalmeedia postitused, blogid ja vestlused. See väljendub sageli nooremate inimeste keelekasutuses ja on vähem levinud ametlikes dokumentides või formaalsetes olukordades."	"restoran, söögikoht, toitlustusasutus"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"neutraalsetes/formaalsetes"	"Sõna ""restoran"" on standardne termin, mida kasutatakse laialdaselt nii igapäevases kõnes kui ka ametlikes ja neutraalsetes tekstides, nagu ajaleheartiklid, menüüd, turismimaterjalid ja äridokumendid. See on üldtunnustatud termin, mis ei kanna endas mingeid formaalsuse või informaaluse varjundeid."	"ei kohaldu"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna 'turva' kasutatakse sageli igapäevases kõnekeeles ja mitteametlikes kontekstides, nagu sotsiaalmeedia, vestlused ja mitteametlikud tekstid. See on lühendatud ja lihtsustatud vorm ametlikumast terminist, mida kasutatakse pigem formaalsetes olukordades."	"turvatöötaja, turvamees, turvateenistuja"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"võrdselt"	"Sõna ""turvamees"" kasutatakse laialdaselt nii igapäevases kõnepruugis kui ka ametlikes tekstides. See on üldtuntud ja neutraalne termin, mis viitab kindlale ametikohale ja ülesannetele, mistõttu sobib see kasutamiseks erinevates kontekstides, sealhulgas nii formaalsetes kui ka informaalsetes tekstides."	"ei kohaldu"
"aastanumber"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna 'aastanumber' on neutraalne termin, mida kasutatakse sageli ametlikes ja formaalsetes kontekstides, näiteks dokumentides, aruannetes ja ajakirjanduses, kus on vaja täpselt viidata konkreetsele kalendriaastale. See ei kanna endas mingit slängi ega mitteametlikku varjundit, mistõttu sobib hästi ka formaalsetesse tekstidesse."	"ei kohaldu"
"aastaarv"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna 'aastaarv' kasutatakse sageli ametlikes ja akadeemilistes kontekstides, kus on vaja täpselt viidata konkreetsele aastale. See on tavaline termin, mida kasutatakse ajaloolistes, teaduslikes ja statistilistes tekstides, samuti ametlikes dokumentides ja aruannetes. Sõna on neutraalne ja sobib hästi nii formaalsetesse kui ka neutraalsetesse tekstidesse."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna 'mokas' kasutatakse eesti keeles sageli igapäevases kõnekeeles ja mitteametlikes olukordades, et kirjeldada olukorda, mis on halvasti läinud või ebaõnnestunud. Seda sõna kohtab tihti vestlustes, sotsiaalmeedias ja muudes mitteametlikes tekstides, kuid see ei ole tavapärane ametlikes dokumentides või formaalsetes tekstides."	"ebaõnnestunud, nurjunud, rikutud, läbi kukkunud"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""kööga"" kasutatakse eesti keeles pigem kõnekeeles ja mitteametlikes olukordades, nagu sõpradevahelised vestlused, sotsiaalmeedia postitused või mitteametlikud kirjutised. See on slängisõna, mis ei sobi ametlikesse või formaalsetesse tekstidesse."	"ebaõnnestunud, nurjunud, rikutud, läbi kukkunud"
"sablon"	"vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi"	"informaalsetes"	"Sõna 'sablon' on laenatud vene keelest ja seda kasutatakse sageli kõnekeeles või mitteametlikes kontekstides. Eesti keeles on olemas neutraalsemad ja formaalsemad sünonüümid, mida eelistatakse ametlikes tekstides."	"šabloon, mall, muster"
"šabloon"	"vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi"	"neutraalsetes/formaalsetes"	"Sõna 'šabloon' kasutatakse sageli tehnilistes, kunstilistes ja käsitöö kontekstides, kus on vaja täpsust ja selgust. See on termin, mis on levinud nii professionaalsetes kui ka hariduslikes tekstides, kus kirjeldatakse tööriistu ja meetodeid. Seetõttu on see sobiv neutraalsetes ja formaalsetes tekstides."	"ei kohaldu"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna 'ajaleht' on standardne termin, mida kasutatakse üldiselt nii igapäevases kõnes kui ka ametlikes ja formaalsetes tekstides, et viidata regulaarselt ilmuvale väljaandele. See ei ole släng ega kõnekeelne väljend, mistõttu sobib see hästi ka ametlikesse dokumentidesse ja artiklitesse."	"ei kohaldu"
