"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Sõna „resto“ on lühendatud ja mitteametlik variant sõnast „restoran“, mida kasutatakse peamiselt igapäevastes ja mitteametlikes kontekstides, nagu vestluskeel, sotsiaalmeedia, blogid ning foorumid. See lühend muudab keele lihtsamaks ja sobib hästi kiiretele suhtlemisvormidele."	"restoran, söökkoht, söögi- ja joogikoht"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"neutraalsetes/formaalsetes"	"Sõna „restoran” kasutatakse peamiselt neutraalsetes ja formaalsetes kontekstides, nagu ametlikud tekstid, reklaamid, menüüd ja kirjanduslikud teosed. Informaalsetes kõnekohastes eelistatakse sagedamini sõnu nagu „söökla” või „söögikoht”."	"ei kohaldu"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna „turva“ kasutatakse eelistatult mitteametlikes ja kõnekeelsetes kontekstides, nagu blogid, foorumid, kommentaarid, chativestlused ja sotsiaalmeedia tekstid. Ametlikumates või neutraalsetes tekstides eelistatakse tavaliselt teisi termineid, näiteks „turvamees“ või „valvur“."	"turvamees, valvur"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna ""turvamees"" kasutatakse sagedamini igapäevastes ja vähem formaalsetes kontekstides, nagu vestlused, sotsiaalmeedia postitused ning blogid, kus eelistatakse lihtsamat ja otsesemat väljendust. Formaalsetes tekstides eelistatakse sageli neutraalsemaid termineid."	"kaitsevalvur, valvur"
"aastanumber"	"kalendriaastat märkiv arv"	"informaalsetes"	"Sõna „aastanumber” kasutatakse peamiselt igapäevases ja mitteametlikes tekstides, nagu blogid, foorumid, kommentaarid, vestlused, sotsiaalmeedia postitused ning kõnekeeles. Ametlikumas või neutraalsemas kontekstis eelistatakse tavaliselt teisi termineid, mis on levinumad ja formaalsemad."	"aastaarv, kalendriaast number"
"aastaarv"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna ""aastaarv"" kasutatakse peamiselt ametlikes ja neutraalsetes kontekstides, nagu dokumentides, kalendrites ning formaalses kõnes. Informaalsetes tekstides eelistatakse sageli teisi väljendeid või lihtsustatud terminit."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna „mokas” kasutatakse eelkõige mitteametlikes ja kõnekeelsetes tekstides, nagu blogid, foorumid, sotsiaalmeedia postitused ja otsekõnes. See väljendab halvasti toimimist või ebaõnnestumist mitteametlikus kontekstis."	"ebaõnnestunud, nurjunud, rikutud, defektne"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""kööga"" on slängiline väljend, mida kasutatakse peamiselt kõnes ja mitteametlikes tekstides, nagu blogid, foorumid, sotsiaalmeedia ning igapäevased vestlused. See annab halvavale hinnangule vähem formaalse tonaalsuse."	"halb, ebaõnnestunud, nurjunud, rikutud"
"sablon"	"vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi"	"neutraalsetes/formaalsetes"	"Sõna ""sablon"" kasutatakse peamiselt ametlikes ja tehnilistes kontekstides, näiteks disainis, trükitööstuses ning kunstitöödes, kus on vajalik täpne vormi või malli kasutamine. Selle kasutus on seotud professionaalsete ja formaalsete protsessidega, mitte informaalsete suhtlusvormidega nagu blogid või sotsiaalmeedia."	"ei kohaldu"
"šabloon"	"vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi"	"neutraalsetes/formaalsetes"	"Sõna 'šabloon' kasutatakse peamiselt neutraalsetes ja ametlikes tekstides, kus viidatakse vahenditele või vormidele, mida kasutatakse piirjoonte kandmiseks või kujunduste loomiseks materjalidele."	"muster, mall"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"""Ajaleht"" on ametlik termin, mida kasutatakse tavaliselt neutraalsetes või formaalsetes tekstides ajalehtede tähenduses. Sõna sobib hästi ametlikes kirjutistes, uudistes ja muudes kontekstides, kus on oluline kasutada korrektset ja standardset keelt."	"ei kohaldu"
"seitung"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"informaalsetes"	"Sõna ""seitung"" kasutatakse rohkem informaalsetes tekstides, nagu blogid, foorumid, sotsiaalmeedia postitused ja vestlused, et viidata lühikese ajavahemiku järel ilmuvatele, meelelahutuslikele ja igapäevasündmusi käsitlevatele väljaannetele."	"ajaleht, väljaanne, ajakiri"
"moekas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"võrdselt"	"Sõna ""moekas"" kasutatakse nii formaalsetes kui mitteformaalsetes tekstides, olles iseloomulik ja sobiv vastavalt aja ning moesuundumuste muutustele."	"ei kohaldu"
