Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	Sõna 'resto' on kõnekeelne lühend sõnast 'restoran'. Seda kasutatakse pigem informaalses kontekstis nagu igapäevane suhtlus, sotsiaalmeedia postitused, blogid jms. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul sõna täisvormi 'restoran'.	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	Sõna 'restoran' on eesti keeles üldlevinud ja neutraalse stiiliga sõna, mida kasutatakse nii igapäevases kõnes kui ka formaalsetes tekstides. See ei kanna endas mingit informaalset või kõnekeelset varjundit. Restoranid on üldtuntud asutused ning sõna 'restoran' on nende kohta käibel olev tavapärane nimetus.	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turva' kasutatakse antud tähenduses pigem kõnekeelsetes ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, kommentaariumid. Formaalsetes ja ametlikes tekstides eelistatakse pikemaid ja täpsemaid ametinimetusi.	turvamees, turvatöötaja, valvur
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	Sõna 'turvamees' on eesti keeles üldlevinud ja neutraalse tooniga sõna, mida kasutatakse ametlikes ja formaalsetes kontekstides, näiteks tööpakkumistes, uudistes ja ametlikes dokumentides. See ei ole kõnekeelne, slängipärane ega informaalne sõna. 'Turvamees' on ametinimetus, mis viitab konkreetsele ametile ja tööülesannetele.	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastanumber' on neutraalne termin, mida kasutatakse ametlikes dokumentides, teaduskirjanduses ja ajakirjanduses kalendriaastat märkiva arvu tähenduses. See ei ole kõnekeelne ega informaalne väljend.	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastaarv' on neutraalne termin kalendriaastat märkiva arvu kohta. Seda kasutatakse ametlikes dokumentides, teadustekstides, ajakirjanduses jm neutraalsetes või formaalsetes tekstides. Sõna ei kanna endas mingit hinnangulist või stiililist varjundit, mis viitaks selle informaalsele kasutusele.	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'mokas' tähenduses '(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud' on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, blogid jms. Sõna on väga kõnekeelne ja ei sobi ametlikku või formaalset stiili.	läbi kukkunud, ebaõnnestunud, nurjunud, untsu läinud, aia taha läinud, luhta läinud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'kööga' on slängisõna, mida kasutatakse pigem kõnekeeles ja informaalsetes tekstides nagu sotsiaalmeedia postitused, foorumid, kommentaariumid jms. Sõna ei sobi ametlikesse ja formaalsetesse tekstidesse.	läbi, nurjunud, ebaõnnestunud, untsu läinud, aia taha läinud, luhta läinud
sämplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	Sõna 'sämplima' on pigem kõnekeelne ja tehniline termin, mida kasutatakse eelkõige muusika ja helitöötlusega seotud kontekstides. Tõenäoliselt esineb see rohkem informaalsetes tekstides nagu foorumid, blogid ja sotsiaalmeedia, kus arutatakse muusika loomise ja produtseermise teemadel. Formaalsetes ja neutraalsetes tekstides eelistatakse ilmselt eestikeelseid või üldtuntumaid võõrkeelseid vasteid.	helilõiku digitaalselt töötlema, helilõiku digitaalselt salvestama
samplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	Sõna 'samplima' on inglise keelest laenatud tehniline termin, mida kasutatakse eelkõige muusika ja helitöötluse valdkonnas. Kuna tegemist on kitsalt erialase terminiga, esineb see tõenäolisemalt just informaalsetes tekstides nagu foorumid, blogid ja sotsiaalmeedia, kus arutatakse muusika ja helitöötluse teemadel vabamas keeles. Ametlikes ja toimetatud tekstides eelistatakse ilmselt eestikeelseid vasteid.	digitaliseerima, digitaalselt salvestama, sämplimaajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on eesti keeles üldlevinud neutraalne sõna, mida kasutatakse nii igapäevases kõnekeeles kui ka ametlikus ja formaalses kontekstis. See ei kanna endas mingit informaalset või kõnekeelset varjundit. Sõna ""ajaleht"" esineb sageli neutraalsetes uudistekstides, ametlikes teadaannetes ja formaalsetes kirjutistes."	ei kohaldu
