Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"""Resto"" on lühike ja mugav vorm sõnast ""restoran"", mida kasutatakse eelkõige kõnekeeles ja mitteformaalsetes tekstides. See on sarnane lühenditega nagu ""telekas"" (teler) või ""kino"" (kinosaal). Formaalsemas keelekasutuses eelistatakse täisvormi ""restoran""."	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on üldkasutatav ja sobilik nii igapäevasesse kui ka ametlikku kõnekeelde.  See ei ole spetsiifiliselt informaalsele stiilile omane ega kanna endas mingit erilist emotsionaalset või slängilist varjundit."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	"""Turva"" on lühend sõnast ""turvatöötaja"" ja seda kasutatakse peamiselt kõnekeeles ja mitteametlikes tekstides.  See on lühike ja mugav viis viidata turvatöötajale, aga ametlikes dokumentides ja formaalsetes tekstides eelistatakse täisversiooni."	turvatöötaja, valvur, kaitsja, korrakaitsja
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turvamees"" on üldkasutatav ja sobib nii ametlikesse kui ka mitteametlikesse tekstidesse.  Seda kasutatakse  nii uudisteartiklites kui ka igapäevakõnes."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastanumber"" on täpne ja ametlik termin kalendriaastat tähistava arvu jaoks.  Seda kasutatakse sageli ametlikes dokumentides, andmebaasides ja muudes formaalsetes kontekstides.  Kuigi see ei ole spetsiifiline ainult formaalsele keelele, ei tundu see ka informaalse kõnepruugi tunnusmärk."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastaarv"" on täpne ja ametlik termin kalendriaastat märkiva arvu kohta.  Seda kasutatakse ajaloos, dokumentides, ametlikes teadaannetes jne.  Minu treeningandmetes ei seostu see sõna spetsiifiliselt informaalse keelekasutusega."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" kannab endas selgelt kõnekeelset ja emotsionaalset varjundit.  See viitab millegi ebaõnnestumisele sageli humoorikas või iroonilises toonis.  Seda kasutatakse pigem argisuhtluses ja mitteametlikes olukordades.  Formaalsemates tekstides eelistatakse  täpsemaid ja neutraalsemaid väljendeid."	ebaõnnestumine, äpardumine, läbikukkumine, vigane, rikutud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"""Kööga"" on kõnekeelne ja emotsionaalselt laetud sõna, mis sobib hästi argisesse suhtlusse ja mitteametlikesse tekstidesse.  See kannab endas tugevat negatiivset hinnangut ja kõlab dramaatiliselt. Formaalsemas ja neutraalsemas keeles kasutatakse teisi, vähem ekspressiivseid väljendeid."	halvasti, ebaõnnestunult, nurjunult, rikutud, läbikukkunud, untsu läinud, vilkalt läinud
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on üldkasutatav ja sobilik igapäevasesse kõnepruuki, ametlikesse teadaannetesse, uudistesse jne. See ei ole spetsiifiliselt informaalse keele tunnus."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" kannab endas halvustavat ja iroonilist varjundit, mis sobib pigem arguskeelde ja mitteametlikku suhtlusse. See viitab sageli sensatsioonilisele ja pealiskaudsele ajakirjandusele."	ajaleht, päevaleht, leht, väljaanne
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"""Moekas"" kõlab kõnekeeles loomulikult ja sagedamini kasutatakse seda just argisemas suhtluses. Kirjakeeles, eriti ametlikes tekstides, eelistatakse sageli täpsemaid ja vähem subjektiivseid sõnu."	kaasaegne, nüüdisaegne, ajakohane, trendikas, aktuaalne
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"""Trendikas"" on suhteliselt uus laensõna, mis on oma olemuselt kõnekeelne ja emotsionaalselt laetud.  See seostub pigem ajakirjandusliku stiili, reklaamide ja argikäibega. Teaduslikes või ametlikes tekstides seda tavaliselt ei kohta."	kaasaegne, moodne, ajakohane, nüüdisaegne, tänapäevane
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""käkerdis"" kannab endas negatiivset ja halvustavat varjundit ning viitab millegi oskamatule ja lohakale tegemisele. Seega sobib see pigem argiseen kõnepruuki ja mitteametlikku suhtlusse. Formaalsemas või neutraalsemas tekstis eelistatakse tavaliselt pehmemaid ja objektiivsemaid väljendeid."	praak, ebaõnnestumine, soperdis, apsakas, vigane töö, halvasti tehtud töö
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""plätserdus"" kõlab kõnekeelselt ja ebaviisakalt. See viitab millegi oskamatule ja hooletult tehtule, mis tekitab negatiivse varjundi. Seega sobib see pigem informaalsesse suhtlusse, kus selline toon on aktsepteeritav.  Formaalsetes või ametlikes tekstides kasutataks pigem pehmemaid ja neutraalsemaid väljendeid."	praak, ebaõnnestumine, vilets töö, puudulik töö, lohakas töö, käkerdis
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	"Sõna ""vaib"" selles tähenduses (""eriline meeleolu või tunne"") on suhteliselt uus ja laenuline (inglise keelest ""vibe"").  Seda kasutatakse peamiselt noorte kõnekeeles ja internetisuhtluses, mis viitab informaalsele stiilile.  Formaalsemates tekstides ja ametlikus suhtluses seda tavaliselt ei kohta."	õhkkond, atmosfäär, meeleolu, tunne
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	"""Nett"" on lühike ja mugav vorm, mida kasutatakse sageli igapäevases suhtluses ja internetis. See on levinud kõnekeeles ja mitteametlikes tekstides. Kuigi sõna mõistetakse ka ametlikumas kontekstis, eelistatakse seal tavaliselt täpsemaid ja kirjakeelsemaid vasteid."	internet, arvutivõrk, võrk, küberruum
