"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Sõna ""resto"" on lühend sõnast ""restoran"" ja seda kasutatakse sageli igapäevases kõnepruugis, näiteks sõprade vahelises vestluses või sotsiaalmeedias. See on vähem formaalne kui ""restoran"" ja seetõttu sobib pigem mitteametlikesse kontekstidesse."	"restoran"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"neutraalsetes/formaalsetes"	"Sõna ""restoran"" on üldkasutatav termin, mida kasutatakse laialdaselt nii igapäevases kõnes kui ka ametlikes tekstides, et viidata söögi-, joogi- ja ajaviitekohale. See ei ole släng ega kõnekeelne väljend, mistõttu sobib see nii neutraalsetesse kui ka formaalsetesse kontekstidesse."	"ei kohaldu"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna ""turva"" on lühend ja kõnekeelne väljend, mida kasutatakse sageli igapäevases kõnes, näiteks vestlustes, blogides või sotsiaalmeedias. See on lihtsustatud ja mitteametlik viis viidata turvatöötajale."	"turvatöötaja, turvamees, valvur"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"neutraalsetes/formaalsetes"	"Sõna ""turvamees"" on üldiselt kasutatav ametinimetus, mida kasutatakse laialdaselt nii igapäevases kõnes kui ka ametlikes dokumentides ja tekstides. See ei ole släng ega kõnekeelne väljend, mistõttu sobib see hästi neutraalsetesse ja formaalsetesse kontekstidesse."	"ei kohaldu"
"aastanumber"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna ""aastanumber"" on neutraalne termin, mida kasutatakse sageli ametlikes ja formaalsetes kontekstides, näiteks dokumentides, aruannetes ja akadeemilistes tekstides, et viidata konkreetsele kalendriaastale. See ei sisalda slängi ega kõnekeelseid elemente, mis viitaksid informaalsetele kasutusvaldkondadele."	"ei kohaldu"
"aastaarv"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna ""aastaarv"" on neutraalne termin, mida kasutatakse laialdaselt nii igapäevases kõnes kui ka ametlikes dokumentides, teaduslikes tekstides ja ajaloolistes kirjeldustes. See on üldtunnustatud termin, mis ei kanna endas mingeid informaalsetele tekstidele omaseid jooni."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""mokas"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada olukorda, mis on halvasti läinud või ebaõnnestunud. See on levinud slängis ja mitteametlikes vestlustes, näiteks sõprade vahelises suhtluses või sotsiaalmeedias."	"ebaõnnestunud, nurjunud, rikutud"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""kööga"" kasutatakse sageli kõnekeeles ja slängis, et kirjeldada olukordi, mis on lõplikult ebaõnnestunud või rikutud. Selline väljend on omane mitteametlikule suhtlusele, nagu vestlused sõprade vahel, sotsiaalmeedia postitused või kommentaarid."	"ebaõnnestunud, nurjunud, rikutud, läbi kukkunud"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna ""ajaleht"" on üldiselt kasutusel neutraalses või formaalses kontekstis, kuna see viitab kindlale meediaväljaandele, mis on osa igapäevasest elust ja suhtlusest. Seda kasutatakse nii ametlikes dokumentides kui ka igapäevases kõnes, kui räägitakse meediast või uudistest."	"ei kohaldu"
"seitung"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna ""seitung"" on saksa päritolu ja seda kasutatakse eesti keeles pigem neutraalsetes või formaalsetes kontekstides, viidates ajalehtedele või perioodikaväljaannetele. Sellised terminid on tavaliselt seotud ametlike väljaannete ja ajakirjandusega, mitte igapäevase kõnepruugiga."	"ajaleht, perioodika"
"moekas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"neutraalsetes/formaalsetes"	"Sõna ""moekas"" kasutatakse sageli kirjeldamaks midagi, mis on ajakohane või vastab praegustele moesuundadele. Seda terminit võib leida nii ajakirjanduses, moeajakirjades kui ka üldises vestluses, kus arutletakse stiili ja trendide üle. Seetõttu sobib see hästi nii neutraalsetesse kui ka formaalsetesse tekstidesse."	"ei kohaldu"
