"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Sõna ""resto"" on slängiline või lühendatud vorm sõnast ""restoran"", mida kasutatakse peamiselt mitteametlikes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused ja kõnes."	"restoran"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"**ei kohaldu**"	"Sõna ""restoran"" kasutatakse eesti keeles nii neutraalsetes kui ka formaalsetes tekstides. See on standardne termin, mis sobib mitmesugustesse kontekstidesse, mistõttu eraldi registreerimärgend ei ole vajalik."	"**ei kohaldu**"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna „turva“ kasutatakse peamiselt mitteametlikes tekstides nagu blogid, foorumid, sotsiaalmeedia postitused ja kõnekeel. Ametlikumas kontekstis eelistatakse tihti teisi termineid."	"valvur, turvatöötaja, kaitseametnik"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"neutraalsetes/formaalsetes"	"Sõna „turvamees“ kasutatakse ametlikes ja neutraalsetes kontekstides, nagu töökuulutused, ametlikud dokumendid ning turvateenuste kirjeldused, et viidata isikutele, kes vastutavad turvalisuse tagamise eest objektidel või üritustel."	"ei kohaldu"
"aastanumber"	"kalendriaastat märkiv arv"	"ei kohaldu"	"Sõna ""aastanumber"" kasutatakse peamiselt neutraalsetes või formaalsetes tekstides."	"ei kohaldu"
"aastaarv"	"kalendriaastat märkiv arv"	"ei kohaldu"	"Sõna ""aastaarv"" kasutatakse nii informaalsetes, neutraalsetes kui ka formaalsetes tekstides, mistõttu ei ole sellel selget registrimärgendit."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna **'mokas'** kasutatakse eesti keeles peamiselt kõnekeelses ja ebamõõdukates kontekstides, nagu blogid, foorumid, chativestlused, sotsiaalmeedia tekstid ning raamatutegelaste otsekõne. See väljend kannab endas mitteametlikku ja sageli negatiivset varjundit, mistõttu ei sobi formaalsetesse või neutraalsetesse tekstidesse."	"ebaõnnestunud, nurjunud, riknenud"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna „kööga” kasutatakse eesti keeles peamiselt kõnekeelses ja mitteterminoloogilises kontekstis, et kirjeldada midagi, mis on halvasti, ebaõnnestunud või rikutud. See väljend on lähedasem igapäevasele kõnele ning vähem sobiv ametlikesse või formaalsetesse tekste."	"katki, rikutud, ebaõnnestunud, halvenenud"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"ei kohaldu"	"Sõna „ajaleht” kasutatakse peamiselt neutraalsetes ja formaalsetes tekstides, näiteks uudised, ametlikud väljaanded ning teaduskirjandus."	"ei kohaldu"
"seitung"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"informaalsetes"	"Sõna „seitung“ on sageli kasutusel informaalsetes kontekstides, nagu blogid, foorumid, kommentaariumid ning sotsiaalmeedia tekstid. See kannab mitteametlikku varjundit ja viitab kergemini ligipääsetavatele, meelelahutuslikele väljaannetele."	"ajaleht, väljaanne"
