Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"Sõna ""resto"" on lühend sõnast ""restoran"" ja seda kasutatakse sageli argikeeles ja mitteametlikes kontekstides. See esineb sagedamini sotsiaalmeedias, blogides ja vestlustes, kui ametlikus kirjasõnas või ametlikes dokumentides."	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on üldkasutatav ja esineb nii ametlikus kirjas kui ka igapäevakõnes, kuid omab teatud ametlikkuse ja neutraalsuse varjundit, mistõttu see sobib pigem neutraalsetesse ja formaalsetesse registritesse."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turva"" kasutatakse antud tähenduses peamiselt ametlikes kontekstides, näiteks ettevõtete kirjeldustes, töökuulutustes, seadusandluses ja muudes dokumentides, kus on vaja viidata turvatöötajale. See ei ole iseenesest släng ega argikeel."	ei kohaldu
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turvamees"" on ametlik nimetus ametikohale ja seetõttu kasutatakse seda peamiselt neutraalsetes või formaalsetes kontekstides, näiteks töökuulutustes, ametlikes dokumentides, uudistes ja muudes sarnastes tekstides."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastanumber' on neutraalne ja seda kasutatakse sageli ametlikes kontekstides, näiteks dokumentides, aruannetes ja infomaterjalides, kus on vaja viidata konkreetsele aastale. See ei ole spetsiifiliselt formaalne, kuid sobib ka formaalsetesse kontekstidesse.	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastaarv' on minu treeningandmete põhjal neutraalne või pigem formaalne, kuna seda kasutatakse sageli kirjeldustes, aruannetes, dokumentides ja muudes ametlikes või poolametlikes tekstides, kus on vaja täpselt märkida kalendriaastat. Informaalsetes registrites kasutatakse tihti lihtsalt 'aasta' või 'see aasta'.	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" on oma olemuselt släng või argikeelne väljend, mida kasutatakse igapäevases, mitteametlikus kõnes ja kirjas. See viitab olukorrale, kus midagi on väga halvasti läinud või täielikult ebaõnnestunud. Sellised väljendid on tüüpiliselt omased informaalsetele registritele."	läbi kukkunud, nurjunud, rikutud, untsus
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" seostub minu treeningandmete põhjal pigem argikeelega ja väljendab ebaõnnestumist või riknemist mitteformaalsel viisil. See viitab sellele, et seda kasutatakse sagedamini mitteametlikes kontekstides."	untsus, tuksis, läbi kukkunud, ebaõnnestunud
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on tavakeelne ja laialdaselt kasutatav nii ametlikes tekstides (uudised, analüüsid) kui ka neutraalsetes vestlustes. See ei ole släng ega argikeel ning sobib seetõttu pigem neutraalsetesse ja formaalsetesse registritesse."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Minu treeningandmete põhjal esineb sõna ""seitung"" pigem mitteametlikes kontekstides, näiteks jututoas, blogides või muudes sotsiaalmeedia vormides. See on argikeelne sõna, mis kannab endas teatud vanamoelisust või humoorikat varjundit."	ajaleht, väljaanne
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"Sõna ""moekas"" on minu treeningandmete põhjal pigem argikeelne ja seda kasutatakse tihti kirjeldamaks midagi, mis on hetkel populaarne või ""in"". Seega esineb see tõenäolisemalt informaalsetes kontekstides, nagu blogid, sotsiaalmeedia ja vestlused."	trendikas, moodne, ajakohane
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"Sõna ""trendikas"" on minu treeningandmete põhjal pigem argikeelne ja moega seotud kontekstides kasutatav. Kuigi seda võib esineda ka neutraalsetes tekstides, on selle kasutus sagedasem just mitteametlikes, vabamas stiilis vestlustes ja kirjutistes."	moes, uudne, populaarne, aktuaalne
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""käkerdis"" on minu treeningandmete põhjal pigem emotsionaalne ja hinnanguline, viidates negatiivsele suhtumisele tehtud töösse. See omadus sobib paremini argikeelele ja mitteametlikele kontekstidele."	praak, vilets töö, kehvasti tehtud asi
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""plätserdus"" kõlab subjektiivselt ja hinnanguliselt ning viitab pigem hooletusele ja oskamatusele, mida üldiselt ei kasutata ametlikes või neutraalsetes kontekstides. See sobib paremini kõnekeelde või olukordadesse, kus on lubatud vabam ja isikupärasem väljendusviis."	praak, soperdis, käkerdis, lohakas töö
