Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	neutraalsetes	"Sõna ""põrutama"" antud tähenduses esineb nii ajakirjanduses, ilukirjanduses kui ka igapäevases keelekasutuses ilma selge registripiiranguta. Eesti Keele Instituudi sõnaraamatud (nt EKSS) ei märgi seda sõna stiilimärgendiga. Sõna kasutatakse neutraalselt näiteks spordireportaažides (""palli väravasse põrutama""), uudistes ja tavalises kirjakeeles. Kuigi sõna võib esineda ka informaalsetes kontekstides, ei ole see piiratud ainult informaalse kasutusega ning sobib ka neutraalsesse keelekasutusse."	
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	Sõna 'ribi' on anatoomia põhitermin, mida kasutatakse laialdaselt nii meditsiinilises kirjanduses, õpikutes kui ka üldises tervishoiuga seotud tekstides. See esineb sageli teaduslikes ja haridusalastes materjalides ning meditsiinilistes dokumentides. Eesti Keele Instituudi andmebaasides on see märgitud neutraalse terminina. Sõna kasutatakse ka igapäevases kõnes, kuid selle põhitähendus ja kasutuskontekst on enamasti neutraalne või formaalne, eriti kui räägitakse inimese või looma anatoomiast.	
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema	informaalsetes	"Sõna ""kargama"" tähenduses ""põgenema"" on selgelt informaalse registri märk. Seda kinnitavad mitmed allikad:"	
kargama	suguakti sooritama (isasloomade, ka mehe kohta)	informaalsetes	"Sõna ""kargama"" selles tähenduses on selgelt informaalse registri sõna, mida kasutatakse peamiselt kõnekeeles ja vabamas suhtluses. Seda kinnitavad mitmed allikad:"	
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab	informaalsetes	Sõna 'kits' selles tähenduses on selgelt slängilik väljend, mida kasutatakse peamiselt informaalses suhtluses. Seda kinnitavad Eesti Keele Instituudi slängisõnaraamat ja erinevad internetiallikad, kus see esineb peamiselt foorumites, kommentaariumides ja sotsiaalmeedia postitustes. Formaalsetes tekstides (nt ametlikud dokumendid, uudised) kasutatakse selle asemel neutraalsemaid väljendeid nagu 'pealekaebaja' või 'ülesandja'. Sõna emotsionaalne ja halvustav varjund viitab samuti selle informaalsele kasutusele.	
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Sõna ""paralleel"" selles tähenduses esineb peamiselt haridusasutuste ametlikes dokumentides, koolide kodulehtedel, õppekorraldust puudutavates tekstides ja ajakirjanduses. Näiteks: ""Koolis on kaks 7. klassi paralleeli"" või ""Paralleelklassid teevad koostööd"". See on neutraalne, ametlik termin, mida kasutatakse hariduskontekstis. Informaalses kõnes või sotsiaalmeedia postitustes kasutatakse pigem väljendeid nagu ""paralleelklass"" või lihtsalt tähistusi ""A-klass"", ""B-klass"" jne."	
sisse ajama	palju või ahnelt sööma või jooma	informaalsetes	"Väljend ""sisse ajama"" tähenduses ""palju või ahnelt sööma või jooma"" on selgelt argikeelne väljend. Seda kinnitavad näited eesti keele korpustest, kus see väljend esineb peamiselt informaalsetes kontekstides nagu foorumid, blogid ja vabamas vormis kirjutatud tekstid. Eesti Keele Instituudi sõnaveebis on see märgitud kõnekeelseks väljendiks. Formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid) kasutatakse selle asemel neutraalsemaid väljendeid nagu ""liigselt sööma"" või ""ahnelt sööma""."	
kärakas	viin vm hrl kangem alkohoolne jook	informaalsetes	"Sõna ""kärakas"" tähenduses ""alkohoolne jook"" on selgelt informaalse registri sõna. Seda kinnitavad mitmed allikad: 1) EKSS märgib selle kõnekeelseks, 2) sõna esineb sagedamini just informaalsetes keskkondades nagu foorumid, blogid ja sotsiaalmeedia postitused, 3) ilukirjanduses kasutatakse seda peamiselt tegelaste kõnekeelses otsekõnes. Formaalsetes tekstides (nt ametlikud dokumendid, uudised) kasutatakse selle asemel neutraalseid vasteid nagu ""alkohol"", ""viin"" või ""alkohoolne jook""."	
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	informaalsetes	"Sõna ""luhvt"" on saksa laensõna (Luft - õhk) ning on eesti keeles kasutusel argikõnelise, kõnekeelse variandina sõnadest ""lõhn"" või ""hais"". Seda kinnitab ka sõna esinemine peamiselt informaalsetes kontekstides nagu foorumid, kommentaariumid ja argivestlused. Eesti Keele Instituudi sõnaveeb märgib seda kui kõnekeelset sõna. Neutraalsetes või formaalsetes tekstides kasutatakse selle asemel tavaliselt sõnu ""lõhn"", ""hais"" või ""aroom""."	
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	informaalsetes	"""Luhvt"" on saksa laensõna ""Luft"" eestipärane variant, mida kasutatakse kõnekeelse sünonüümina sõnale ""õhk"". Sõna esineb sageli just informaalsetes kontekstides nagu foorumid, kommentaariumid ja argivestlused. Eesti Keele Instituudi andmetel on tegemist kõnekeelse sõnaga. Neutraalsetes ja formaalsetes kontekstides (nt teadusartiklid, ametlikud dokumendid) kasutatakse selle asemel sõna ""õhk"". Sõna ""luhvt"" kasutus viitab sageli ka vanemale või murdekeelsele kõnepruugile."	
