Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	informaalsetes	"""Põrutama"" selles tähenduses kõlab kõnekeelselt ja jõuliselt.  See sobib hästi otsekõnesse, emotsionaalsete kirjelduste ja mitteametliku suhtluse konteksti. Näiteks kujutan ette lauseid nagu ""Ta põrutas ukse pauguga kinni"" või ""Ma põrutan selle naela seina sisse"".  Formaalsetes või neutraalsetes tekstides kasutataks pigem sõnu nagu ""lööma"", ""kinnitama"" või ""paigutama""."	
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	"Sõna ""ribi"" anatoomilises tähenduses on neutraalne ja sobib kasutamiseks nii ametlikes kui ka mitteametlikes tekstides.  See on meditsiiniline termin ja seda kasutatakse ka igapäevakõnes ilma igasuguse ebakohase varjundita.  Seega ei ole alust arvata, et see oleks pigem informaalne."	
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema	informaalsetes	"""Kargama"" põgenemise tähenduses on kõnekeelne ja emotsionaalselt laetud sõna, mis sobib pigem informaalsetesse tekstidesse.  See tekitab kujutluspildi kiirest ja salajast pagemisest. Neutraalsemas ja formaalsemas keeles kasutataks pigem sõnu nagu ""põgenema"", ""pagema"" või ""ära jooksma""."	
kargama	suguakti sooritama (isasloomade, ka mehe kohta)	informaalsetes	"Sõna ""kargama"" selles tähenduses on vulgaarne ja ebaviisakas.  Seda kasutatakse peamiselt ebaviisakates või humoorikates kontekstides, näiteks ropendamise või naljatlemise eesmärgil. Seega sobib see pigem informaalsesse keelekasutusse ja ei ole sobiv formaalsetes ega neutraalsetes tekstides."	
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab	informaalsetes	"Sõna ""kits"" tähenduses ""kaebaja"" on halvustav ja emotsionaalselt laetud. Seega sobib see pigem argikeelde ja mitteametlikku suhtlusse.  Formaalsetes ja neutraalsetes tekstides kasutatakse tavaliselt teisi, objektiivsemaid sõnu nagu ""kaebaja"", ""informaator"" vms."	
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Sõna ""paralleel"" selles tähenduses esineb haridussüsteemi kirjeldustes ja kooli kontekstis, mis viitab pigem ametlikule ja neutraalsele keelekasutusele.  Kuigi sõna võib esineda ka informaalsetes vestlustes kooli kohta, ei ole see piisavalt tugev argument selle märkimiseks informaalseks."	
sisse ajama	palju või ahnelt sööma või jooma	informaalsetes	"Väljend ""sisse ajama"" söömise või joomise kontekstis viitab rahvapärasele ja argisele kõnepruugile. See kõlab ebaviisakas ja otsene, mistõttu sobib pigem mitteametlikku suhtlusse.  Kuigi seda võidakse kasutada ka ilukirjanduses tegelaskuju kõnepruugi edasiandmiseks, ei ole see neutraalne ega formaalne väljend."	
kärakas	viin vm hrl kangem alkohoolne jook	informaalsetes	"""Kärakas"" on slängisõna ja seda kasutatakse peamiselt mitteametlikes olukordades ja kõnekeeles.  See ei sobi ametlikesse tekstidesse ega formaalsesse kõnepruuki."	
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	informaalsetes	"Sõna ""luhvt"" on rahvapärane ja slängisõna, mida kasutatakse ebameeldiva lõhna kohta. Seega sobib see pigem informaalsesse keelekasutusse.  Kuigi sõna ""luht"" ametlikus tähenduses viitab niiskele maale, seostub ""luhvt"" pigem ebameeldiva, kopituse või roiskuva lõhnaga, mis on slängile omane."	
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	neutraalsetes/formaalsetes	"""Luhvt"" on teaduslik termin õhu kohta ja seda kasutatakse pigem ametlikes ja harivates kontekstides. Kuigi sõna võib esineda ka informaalsetes tekstides, on see haruldane ja tõenäoliselt teadliku stiilivaliku tulemus."	
peale minema	meeldima, sobima	informaalsetes	"""Peale minema"" tähenduses ""meeldima, sobima"" on kõnekeelne ja emotsionaalselt värvinguga väljend. See sobib hästi igapäevasesse suhtlusse ja mitteametlikesse olukordadesse, kuid ametlikes ja formaalsetes tekstides mõjub see liiga familiaarsena."	
pooletoobine	väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel	informaalsetes	"Sõna ""pooletoobine"" kannab endas hindavat ja mitteformaalset tooni.  See sarnaneb kõnekeelsetele väljenditele ja on seetõttu sobivam igapäevases suhtluses, mitte ametlikes või akadeemilistes tekstides."	
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus	neutraalsetes/formaalsetes	"""Putk"" taime varre kohta on üldkeelne ja neutraalne sõna, mida kasutatakse nii teaduslikes tekstides kui ka igapäevakõnes.  See ei ole släng ega piirdu mingi kindla sotsiaalse grupiga.  Kuigi sõnal on ka teisi tähendusi (nt. toru), siis taime varre kontekstis on see täiesti aktsepteeritav ka formaalsetes tekstides."	
sell	(mehe kohta)	informaalsetes	"Sõna ""sell"" mehe kohta on rahvapärane ja humoorikas.  Seda kasutatakse pigem mitteametlikes vestlustes ja naljatledes.  Formaalsetes ja neutraalsetes tekstides kasutatakse selle asemel ""mees"", ""isik"" või muid sobivamaid sõnu."	
sitt	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	informaalsetes	"Sõna ""sitt"" selles tähenduses on vulgaarne ja ebaviisakas.  Seda kasutatakse peamiselt ebaviisakates või väga mitteametlikes olukordades, näiteks ropendades või tugeva negatiivse emotsiooni väljendamiseks. Neutraalsetes ja formaalsetes tekstides kasutatakse selle asemel sõnu nagu ""väljaheide"", ""roe"", ""sõnnik"" või ""põlluväetis""."	
sott	(rahaline) arvestus, arvepidamine millegi kohta	informaalsetes	"Sõna ""sott"" antud tähenduses esineb peamiselt argikeeles ja mitteametlikes vestlustes. See on pigem slängisõna ja ei sobi ametlikesse või formaalsetesse tekstidesse."	
suts	lühiajaline sooritus, eriti väike teatri- või filmiroll	informaalsetes	"""Suts"" selles tähenduses kõlab kõnekeelse ja mitteametlikuna.  See sobiks hästi näiteks blogipostitusse või vestlusse, aga ametlikus teatrikriitikas või filmiarvustuses oleks see pigem kohatu."	
vurts	hoog, energia	informaalsetes	"Sõna ""vurts"" tähenduses ""hoog, energia"" kannab endas suulist ja emotsionaalset varjundit, mis sobib pigem argise ja mitteametliku suhtluse konteksti. See ei oleks sobiv näiteks ametlikes dokumentides või teadusartiklites.  Kuigi see ei ole otseselt släng, on see siiski pigem kõnekeelne ja ekspressiivne sõna."	
kah	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	informaalsetes	"""Kah"" on lühike ja kokkutõmbunud vorm sõnast ""ka"", mis viitab kõnekeelsele ja mitteametlikule stiilile.  See esineb peamiselt dialoogides, jutustavas kõnes ja mitteformaalsetes tekstides."	
klaarima	probleeme, suhteid vms selgitama või lahendama	informaalsetes	"""Klaarima"" selles tähenduses kõlab kõnekeelse ja mitteametlikuna.  See sobiks hästi näiteks dialoogi või jutustavasse teksti, kus soovitakse edasi anda argist suhtlust. Formaalsemas või ametlikumas keeles kasutataks pigem sõnu nagu ""selgitama"", ""lahendama"", ""korda ajama"" vms."	
klappima	"(kokku) sobima	 kooskõlas olema"	neutraalsetes/formaalsetes	"""Klappima"" tähenduses ""kokku sobima, kooskõlas olema"" on küllaltki üldkasutatav sõna, mida võib leida nii argikõnes kui ka ametlikumas keeles. See ei ole spetsiifiliselt informaalsele keelekasutusele omane ega ka liiga formaalne. Seega sobib see nii neutraalsesse kui ka formaalsesse konteksti."	
kompu	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"	informaalsetes	"""Kompu"" on lapsepärane ja hellitlev sõna, mida kasutatakse peamiselt lastega suheldes või mitteametlikes vestlustes. See ei sobi ametlikku kõnekeelde ega formaalsetesse tekstidesse."	
kõnetoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"	neutraalsetes/formaalsetes	"""Kõnetoru"" metafoorilises tähenduses viitab autoriteetsele häälele või institutsioonile, mis levitab ideid ja põhimõtteid. See on pigem ametlik ja tõsine toon, mis sobib paremini neutraalse või formaalse stiiliga. Kuigi see ei välista selle kasutamist informaalsetes tekstides, on selle esinemine seal haruldasem ja võib tunduda kontekstist väljas."	
parkima	rohkesti ja aplalt sööma	informaalsetes	"""Parkima"" tähenduses ""rohkesti ja aplalt sööma"" on slängisõna ja seetõttu esineb see peamiselt informaalsetes tekstides, nagu näiteks sõprade vahelises vestluses või sotsiaalmeedias.  See ei ole sobiv ametlikes või formaalsetes kontekstides."	
pask	(vedel) väljaheide, roe	informaalsetes	"Sõna ""pask"" väljaheite tähenduses on vulgaarne ja ebaviisakas. Seda kasutatakse peamiselt informaalsetes olukordades, näiteks vihaste või emotsionaalsete väljendite osana või humoorikas slängis sõprade vahel. Neutraalsetes ja formaalsetes tekstides ja ametlikus suhtluses on selle kasutamine kohatu. Eelistatud on neutraalsemad sünonüümid nagu ""väljaheide"", ""roe"" või ""ekskremendid""."	
pipardama	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"	informaalsetes	"""Pipardama"" omab selgelt negatiivset ja emotsionaalselt laetud tähendust. See viitab ebaküpsusele ja ebamõistlikkusele.  Seda tüüpi sõnu kasutatakse sagedamini mitteametlikes olukordades, kus väljendatakse isiklikke arvamusi ja emotsioone.  Formaalsetes või neutraalsetes tekstides eelistatakse tavaliselt objektiivsemaid ja vähem hindavaid väljendeid."	
pirakas	kogult, mõõtmetelt hästi suur	informaalsetes	"""Pirakas"" tähenduses ""kogult, mõõtmetelt hästi suur"" on suhteliselt ekspressiivne ja emotsionaalselt laetud sõna. See sobib hästi argikeelde ja mitteametlikku suhtlusse, kuid ametlikes või formaalsetes tekstides mõjub see pigem kohatuna.  Minu treeningandmetes esineb see sõna just eelkõige jutumärkides otsekõnes või siis blogide ja foorumite kommentaarides."	
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)	neutraalsetes/formaalsetes	"Sõna ""plekk"" antud tähenduses on üldkasutatav ja neutraalne.  Seda võib kohata nii igapäevases kõnekeeles kui ka ametlikes kirjeldustes ja tehnilistes tekstides.  See ei ole släng ega omane ainult informaalsele suhtlusstiilile."	
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades	neutraalsetes/formaalsetes	"""Rihtima"" selles tähenduses kõlab küllaltki ametlikult ja sihipäraselt.  See sobib hästi näiteks uudisteartiklitesse, ametlikesse dokumentidesse või analüüsivatesse tekstidesse.  Kuigi sõna ei ole otseselt formaalne, ei tundu see ka eriti slängne või argikeelne, mistõttu see sobiks pigem neutraalsesse või formaalsesse registrisse."	
rokk	jahust ja veest segatud loomatoit	neutraalsetes/formaalsetes	"Sõna ""rokk"" selles tähenduses esineb peamiselt loomakasvatuse ja põllumajandusega seotud tekstides, mis on tavaliselt neutraalse või formaalse stiiliga.  Kuigi sõna võib esineda ka informaalsemas kontekstis (nt loomapidajate omavahelises vestluses), ei ole see piisavalt levinud, et seda informaalseks märkida."	
sitsima	(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides	informaalsetes	"Sõna ""sitsima"" selles tähenduses on seotud loomade, täpsemalt koerte käitumisega ja seda kasutatakse pigem argikeeles ja mitteametlikes olukordades.  See on emotsionaalselt laetud ja kirjeldab koera kerjamist, mis ei ole ametlikus või formaalses keeles tavapärane teema."	
sortsutama	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"	informaalsetes	"Sõna ""sortsutama"" viitab kusemisele ebaviisakal ja lapsemeelsel moel. See on släng ja sobib seetõttu pigem informaalsetesse tekstidesse, kus selline väljendusviis on aktsepteeritav. Formaalsemates või neutraalsetes tekstides kasutataks pigem sõnu nagu ""urineerima"" või ""kusi laskma""."	
ära kukkuma	(nurisünnituse kohta)	informaalsetes	"Väljend ""ära kukkuma"" nurisünnituse kontekstis on rahvalik ja ebaviisakas. Meditsiinilises või ametlikus keeles kasutatakse teisi termineid. Seega sobib see pigem informaalsesse suhtlusse, kus selline kõnepruuk on aktsepteeritav."	
diiler	narkootikumide vahendaja või edasimüüja	informaalsetes	"Sõna ""diiler"" narkootikumide müüja tähenduses on släng ja seetõttu esineb see pigem informaalsetes tekstides.  Kuigi seda võidakse kasutada ka neutraalsetes tekstides, nt uudistes, on sellisel juhul tegemist pigem tsitaadi või otsekõnega.  Formaalses keeles kasutatakse teisi termineid, näiteks ""narkootikumide edasimüüja""."	
frukt	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"	neutraalsetes/formaalsetes	"""Frukt"" on laiema tähendusväljaga kui lihtsalt ""vili"" ja seda kasutatakse sageli ametlikumas ja teaduslikumas kontekstis, näiteks botaanikas või toitumisteaduses. Kuigi sõna sobib ka igapäevasesse kõnekeelde, on sellel veidi vanamoeline ja ametlikum varjund. Seega sobib see hästi nii neutraalsetesse kui ka formaalsetesse tekstidesse."	
