"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"põrutama"	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	"informaalsetes"	"Sõna ""põrutama"" kasutatakse sageli kõnekeeles ja mitteametlikes olukordades, et kirjeldada tugevat lööki või hoopi. See väljend on levinud igapäevases vestluses ja võib esineda ka kirjanduses tegelaste otsekõnes, kuid ametlikes või formaalsetes tekstides kasutatakse tõenäoliselt täpsemaid ja neutraalsemaid väljendeid."	""
"ribi"	"rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge"	"neutraalsetes/formaalsetes"	"Sõna ""ribi"" kasutatakse anatoomilises kontekstis, viidates konkreetsele kehaosale. Selline terminoloogia on tavaliselt seotud meditsiiniliste, teaduslike või hariduslike tekstidega, mis on neutraalsed või formaalsed. Seetõttu sobib see pigem neutraalsetesse või formaalsetesse tekstidesse."	""
"kargama"	"(riigist, vangistusest, kinnipidamisasutusest vm) põgenema"	"informaalsetes"	"Sõna ""kargama"" kasutatakse sageli kõnekeeles ja slängis, eriti kui räägitakse põgenemisest või kiirest lahkumisest. Selline väljend on tavaliselt levinud mitteametlikes vestlustes, nagu sõpradevahelised jutud, sotsiaalmeedia postitused või noortekeel. Formaalsetes või ametlikes tekstides kasutatakse tõenäoliselt teisi väljendeid, nagu ""põgenema"" või ""lahkuma""."	""
"kargama"	"suguakti sooritama (isasloomade, ka mehe kohta)"	"informaalsetes"	"Sõna ""kargama"" kasutamine suguakti sooritamise kontekstis on slängiline ja kõnekeelne väljend, mis sobib pigem mitteametlikesse olukordadesse. Sellised väljendid on tavaliselt levinud igapäevases kõnes, sotsiaalmeedias ja muudes mitteametlikes tekstides, kuid neid ei peeta sobivaks ametlikesse või formaalsetesse tekstidesse."	""
"kits"	"inimene, kes teis(t)e peale kaebab või teise(d) üles annab"	"informaalsetes"	"Sõna ""kits"" tähenduses ""inimene, kes teisi peale kaebab või teised üles annab"" on slängi väljend, mida kasutatakse pigem mitteametlikes olukordades. Seda tüüpi väljendid on tavaliselt levinud noorte seas, sõprade vahelises suhtluses või mitteametlikes kirjutistes nagu foorumid ja sotsiaalmeedia postitused. Formaalsetes või neutraalsetes tekstides kasutatakse tõenäolisemalt ametlikumaid väljendeid nagu ""kaebaja"" või ""informeerija""."	""
"paralleel"	"üks kooli sama astme klassidest"	"neutraalsetes/formaalsetes"	"Sõna ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" on haridusvaldkonnas kasutatav termin. Seda kasutatakse sageli ametlikes dokumentides, koolide õppekavades ja aruteludes, kus räägitakse klasside jaotustest ja struktuurist. Seetõttu on selle kasutus pigem neutraalne või formaalne."	""
"sisse ajama"	"palju või ahnelt sööma või jooma"	"informaalsetes"	"Väljend ""sisse ajama"" viitab tegevusele, mis on seotud palju või ahnelt sööma või jooma, ning see on pigem kõnekeelne ja mitteametlik. Sellist väljendit kasutatakse tõenäoliselt igapäevastes vestlustes, sõprade vahelises suhtluses või mitteametlikes kirjutistes, nagu blogid või sotsiaalmeedia postitused. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt teistsuguseid, neutraalsemaid väljendeid."	""
"kärakas"	"viin vm hrl kangem alkohoolne jook"	"informaalsetes"	"Sõna ""kärakas"" on slängi kuuluv väljend, mida kasutatakse sageli mitteametlikes olukordades, et viidata kangematele alkohoolsetele jookidele nagu viin. Selliseid väljendeid kasutatakse tavaliselt sõprade vahelises vestluses, sotsiaalmeedias või muudes mitteametlikes kontekstides, mitte ametlikes või formaalsetes tekstides."	""
"luhvt"	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	"informaalsetes"	"Sõna ""luhvt"" tundub olevat släng või kõnekeelne väljend, mida kasutatakse pigem igapäevases ja mitteametlikus suhtluses. Sellised sõnad on tavaliselt levinud suulises kõnes, sotsiaalmeedias või muudes mitteametlikes kontekstides, mitte ametlikes dokumentides või teaduslikes tekstides."	""
"luhvt"	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	"informaalsetes"	"Sõna ""luhvt"" on slängi või kõnekeele väljend, mida kasutatakse õhu tähistamiseks. Sellised sõnad on tavaliselt levinud mitteametlikes vestlustes, nagu sõpradevahelised jutud, sotsiaalmeedia postitused või chativestlused. Neutraalsetes või formaalsetes tekstides kasutatakse tõenäolisemalt sõna ""õhk""."	""
"peale minema"	"meeldima, sobima"	"informaalsetes"	"Väljend ""peale minema"" tähenduses ""meeldima"" või ""sobima"" on kõnekeelne ja seda kasutatakse pigem igapäevases vestluses või mitteametlikes tekstides. Selline väljend on tüüpiline slängile või argikeelele, mida kohtab tihti sotsiaalmeedias, foorumites või sõpradevahelises suhtluses. Formaalsetes või ametlikes tekstides eelistatakse tavaliselt neutraalsemaid ja täpsemaid väljendeid."	""
"pooletoobine"	"väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel"	"informaalsetes"	"Sõna ""pooletoobine"" on halvustav ja slängilik väljend, mida kasutatakse sageli mitteametlikes olukordades, et kirjeldada kedagi, kes ei vasta teatud ootustele või standarditele. Sellised väljendid on tavaliselt levinud kõnekeeles ja mitteametlikes tekstides, nagu vestlused, kommentaarid ja sotsiaalmeedia postitused. Formaalsetes või neutraalsetes tekstides eelistatakse tavaliselt neutraalsemaid ja vähem hinnangulisi väljendeid."	""
"putk"	"karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus"	"informaalsetes"	"Sõna ""putk"" on üldkeelne ja kõnekeelne nimetus, mida kasutatakse tihti igapäevases vestluses või mitteametlikes kontekstides, et viidata karuputkele ja teistele sarnastele taimedele. See ei ole teaduslik ega ametlik termin, mistõttu sobib pigem informaalsetesse tekstidesse."	""
"sell"	"(mehe kohta)"	"informaalsetes"	"Sõna ""sell"" kasutatakse sageli kõnekeeles ja mitteametlikes kontekstides, et viidata mehele. See on levinud näiteks sõpradevahelistes vestlustes, sotsiaalmeedias ja muudes mitteametlikes olukordades. Formaalsetes tekstides eelistatakse tavaliselt neutraalsemaid termineid nagu ""mees""."	""
"sitt"	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	"informaalsetes"	"Sõna ""sitt"" on vulgaarne ja slängiline väljend, mida kasutatakse peamiselt kõnekeeles ja mitteametlikes olukordades. Seda sõna võib kohata näiteks vestlustes, blogides või sotsiaalmeedias, kuid see ei sobi ametlikesse ega formaalsetesse tekstidesse, kus eelistatakse neutraalsemaid termineid nagu ""väljaheide"" või ""sõnnik""."	""
"sott"	"(rahaline) arvestus, arvepidamine millegi kohta"	"informaalsetes"	"Sõna ""sott"" kasutatakse sageli kõnekeeles ja mitteametlikes olukordades, et viidata rahalisele arvestusele või arvepidamisele. See on pigem slängi või argikeele väljend, mida võib kohata vestlustes, blogides või sotsiaalmeedias, kuid mitte ametlikes dokumentides või formaalsetes tekstides."	""
"suts"	"lühiajaline sooritus, eriti väike teatri- või filmiroll"	"informaalsetes"	"Sõna ""suts"" on kõnekeelne väljend, mida kasutatakse sageli mitteametlikes kontekstides, nagu sõpradevahelised vestlused või sotsiaalmeedia postitused. See on lühike ja mitteametlik viis viidata millelegi väikesele või lühiajalisele, mistõttu ei ole see tavaliselt sobiv formaalsetes või ametlikes tekstides."	""
"vurts"	"hoog, energia"	"informaalsetes"	"Sõna ""vurts"" kasutatakse sageli kõnekeeles, et kirjeldada midagi energilist või hoogsat. See on pigem slängilaadne väljend, mida kohtab tihti mitteametlikes vestlustes, nagu sõpradevahelised jutud või sotsiaalmeedia postitused. Formaalsetes tekstides kasutatakse tavaliselt täpsemaid ja neutraalsemaid väljendeid, nagu ""energia"" või ""hoog""."	""
"kah"	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	"informaalsetes"	"Sõna ""kah"" kasutatakse sageli kõnekeeles ja mitteametlikes tekstides, nagu vestlused, sotsiaalmeedia postitused ja kommentaarid. See on lühendatud vorm sõnast ""ka"", mis on tavaliselt levinud igapäevases suhtluses, kuid mitte ametlikes või akadeemilistes tekstides."	""
"klaarima"	"probleeme, suhteid vms selgitama või lahendama"	"informaalsetes"	"Sõna ""klaarima"" kasutatakse sageli igapäevases kõnekeeles, et viidata probleemide või suhete lahendamisele. See on levinud sõna vestlustes, kus inimesed räägivad oma isiklikest kogemustest või suhetest, ning see ei ole tavaliselt ametlikus või akadeemilises kontekstis kasutatav termin. Seetõttu on selle kasutus pigem informaalne."	""
