Katsesõna	Tähendus	vastus	põhjendus
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	neutraalsetes	"Sõna ""põrutama"" antud tähenduses on üsna neutraalne tegusõna, mida kasutatakse nii igapäevases kõnes kui ka kirjalikes tekstides ilma märgatava stiilivarjundita. See ei ole eriti kõnekeelne ega ka liiga formaalne. Seda kasutatakse näiteks spordireportaažides (""palli väravasse põrutama""), uudistes (""auto põrutas vastu posti"") või tavalistes olukordades (""põrutas ukse kinni""). Sõna ei kanna endas tugevat emotsionaalset laengut ega stiililist markeeritust, mis viitaks selgelt kas informaalsele või formaalsele kasutusele."
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	See on anatoomia valdkonna terminoloogiline sõna, mida kasutatakse neutraalses ja formaalses kontekstis, näiteks meditsiinitekstides, anatoomiaõpikutes ja teaduslikes kirjeldustes. Kuigi sõna 'ribi' on üldtuntud ja tavaline, siis selles konkreetses anatoomilises tähenduses on see neutraalne termin, mida kasutatakse ka ametlikus keelekasutuses. Sõnal puuduvad selles tähenduses slängilikud või informaalsed konnotatsioonid.
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema	informaalsetes	"Sõna ""kargama"" tähenduses ""põgenema"" on kõnekeelne, argine väljend, mida kasutatakse enamasti mitteametlikes olukordades ja tekstides. See on emotsionaalselt laetud ja vähem neutraalne kui näiteks ""põgenema"" või ""lahkuma"". Seda kohtab sageli just informaalsetes kontekstides nagu sotsiaalmeedia postitused, foorumid ja igapäevane suhtlus (nt ""Vang kargas vanglast"" vs neutraalsem ""Vang põgenes vanglast""). Ametlikes dokumentides või uudistekstides kasutatakse tavaliselt neutraalsemaid sünonüüme."
kargama	suguakti sooritama (isasloomade, ka mehe kohta)	informaalsetes	"See tähendus sõnast 'kargama' on selgelt kõnekeelne ja vulgaarne väljend, mida kasutatakse peamiselt informaalses suhtluses. Seda tüüpi seksuaaltegevusele viitavad ülekantud tähendused on tavaliselt just informaalse registri tunnuseks. Neutraalses või formaalses kontekstis (nt teadusartiklid, ametlikud dokumendid) kasutatakse selle asemel neutraalsemaid väljendeid nagu ""paarituma"" või ""kopuleeruma"". 'Kargama' selles tähenduses võib esineda näiteks internetifoorumites, slängis või argises suulises kõnes."
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab	informaalsetes	See 'kits' tähendus on selgelt slängilik ja halvustav väljend, mida kasutatakse eelkõige kõnekeeles ja informaalsetes situatsioonides. Seda tüüpi metafoorset loomanimede kasutamist inimeste iseloomustamiseks (eriti negatiivses võtmes) kohtab sageli just informaalses keelekasutuses, näiteks koolilaste omavahelises suhtluses, foorumites või sotsiaalmeedia postitustes. Formaalsetes tekstides või ametlikus suhtluses kasutataks selle asemel neutraalsemaid väljendeid nagu 'pealekaebaja' või 'ülesandja'.
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Sõna 'paralleel' selles tähenduses on levinud haridusasutuste ametlikus keelekasutuses, koolidokumentides ja õpetajate ning haridustöötajate professionaalses suhtluses. See on neutraalne terminoloogiline väljend, mida kasutatakse koolikorralduse kontekstis (nt ""8.a ja 8.b on paralleelklassid"" või ""meie koolis on kolm paralleeli""). Sõnal puuduvad informaalsele keelekasutusele omased tunnused nagu slängilisus või emotsionaalne varjund."
sisse ajama	palju või ahnelt sööma või jooma	informaalsetes	"Väljend ""sisse ajama"" tähenduses ""palju või ahnelt sööma/jooma"" on oma olemuselt kõnekeelne ja argine. See on pigem piltlik ja emotsionaalne väljend, mida kasutatakse vabamas suhtluses. Seda tüüpi väljendeid kohtab tihemini informaalsetes keskkondades nagu foorumid, sotsiaalmeedia postitused või mitteametlikud vestlused. Formaalsetes või neutraalsetes tekstides (nt uudised, ametlikud dokumendid) kasutataks pigem neutraalsemaid väljendeid nagu ""palju sööma"" või ""liigselt tarbima""."
kärakas	viin vm hrl kangem alkohoolne jook	informaalsetes	"Sõna 'kärakas' selles tähenduses on selgelt kõnekeelne ja slängilik väljend alkohoolse joogi kohta. See on mitteametlik sünonüüm viinale või muule kangemale alkoholile, mida kasutatakse peamiselt vabamas suhtluses, sotsiaalmeedia postitustes, foorumites või mitteametlikes vestlustes. Ametlikes dokumentides või formaalses kirjakeeles kasutatakse neutraalsemaid väljendeid nagu ""alkohoolne jook"" või ""viin"". Sõna emotsionaalne varjund ja kasutuskontekst viitavad selgelt informaalsele registrile."
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	informaalsetes	Sõna 'luhvt' on saksa laensõna (Luft), millel on eesti keeles olemas neutraalne vaste 'lõhn'. 'Luhvt' on kõnekeelne variant, mida kohtab peamiselt informaalsetes kontekstides nagu argivestlused, foorumid ja sotsiaalmeedia. See on pigem vanamoeline ja murdelise varjundiga sõna, mida tänapäeval kasutatakse tihti just kõnekeelsuse või huumori rõhutamiseks. Neutraalses või formaalses kontekstis kasutatakse selle asemel sõna 'lõhn'.
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	informaalsetes	Sõna 'luhvt' on selgelt kõnekeelne variant sõnast 'õhk'. See on laensõna saksa keelest (Luft) ja seda kasutatakse peamiselt argises kõnepruugis ning informaalsetes kirjalikes tekstides. Neutraalses või formaalses kontekstis kasutatakse selle asemel sõna 'õhk'. 'Luhvt' esineb tihti just vabamas suhtluses, blogides, foorumites ja tegelaskõnes, kus soovitakse väljenduda argisemalt või luua familiaarsem toon.
peale minema	meeldima, sobima	informaalsetes	"Väljend ""peale minema"" tähenduses ""meeldima, sobima"" on pigem kõnekeelne ja informaalne väljend. Seda kohtab sagedamini vabamas suhtluses, näiteks lausetes nagu ""See muusika ei lähe mulle üldse peale"" või ""See toit läks talle väga peale"". Neutraalsemas või formaalses kontekstis kasutatakse tavaliselt otsesõnu ""meeldima"" või ""sobima"". Väljendi kõnekeelsusele viitab ka selle idiomatiseerunud olemus, kus sõnade otsene tähendus on asendunud ülekantud tähendusega."
pooletoobine	väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel	informaalsetes	Sõna 'pooletoobine' on oma olemuselt halvustav, kõnekeelne väljend, mida kasutatakse kellegi või millegi mõnitamiseks või naeruvääristamiseks. See on pigem slängilik sõna, mida kohtab sagedamini vabamas suhtluses, foorumites, kommentaariumides ja sotsiaalmeedia postitustes. Ametlikus või formaalses kontekstis (nt ametikirjad, teadusartiklid, ametlikud dokumendid) oleks selle kasutamine sobimatu ja ebaprofessionaalne. Sõna päritolu (pool toopi kui mõõtühik) ja selle ülekantud tähenduse kasutamine viitab samuti pigem rahvakeelsele ja informaalsele kasutusele.
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus	neutraalsetes/formaalsetes	See on taimeteaduslik üldnimetus, mida kasutatakse neutraalses kontekstis, eriti botaanika-alastes tekstides, aiandusjuhendites ja teaduslikes kirjeldustes. Sõna 'putk' selles tähenduses on tavaline ka aiandusalastes õpetustes ja taimede kirjeldustes, kus on vaja täpselt ja neutraalselt viidata nendele taimeliikidele. See ei ole slängilik ega eriti informaalne väljend, vaid pigem neutraalne botaaniline termin, mis on kasutusel ka ametlikes tekstides.
sell	(mehe kohta)	informaalsetes	"Sõna 'sell' tähenduses '(mehe kohta)' on pigem kõnekeelne ja informaalne väljend. Seda kasutatakse tihti vabamas suhtluses, foorumites, sotsiaalmeedias ja mitteametlikus kõnepruugis. Näiteks väljendites nagu ""tubli sell"", ""kena sell"", ""mis sell see veel on"". Ametlikes dokumentides või formaalsetes tekstides kasutatakse pigem neutraalsemaid sõnu nagu ""mees"" või ""isik"". Sõnal on teatav familiaarne või sõbralik alatoon, mis viitab selgelt informaalsele kasutusele."
sitt	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	informaalsetes	"Kuigi sõna 'sitt' on kasutusel ka neutraalses tähenduses sõnniku või väetisena, on see siiski pigem informaalse registri sõna. Seda asendatakse formaalsetes või neutraalsetes tekstides tavaliselt sõnadega nagu ""väljaheide"", ""roe"" või ""sõnnik"". Sõna ""sitt"" kasutatakse sagedamini kõnekeeles, blogides, foorumites ja muudes informaalsetes suhtluskeskkondades. Formaalsetes tekstides (nt teadusartiklid, ametlikud dokumendid) välditakse seda sõna selle robustse kõnekeelse varjundi tõttu."
sott	(rahaline) arvestus, arvepidamine millegi kohta	informaalsetes	"Sõna 'sott' selles tähenduses on argikeel, mida kasutatakse peamiselt mitteametlikus suhtluses. See on kõnekeelne variant sõnadest ""arvestus"" või ""arvepidamine"". Seda kohtab sageli informaalsetes kontekstides nagu ""sotti pidama"" (arvet pidama) või ""sotti tegema"" (arvestust tegema). Ametlikes dokumentides või formaalses kirjakeeles kasutatakse selle asemel neutraalseid vasteid nagu ""arvestus"", ""arvepidamine"" või ""kalkulatsioon""."
