Katsesõna	Tähendus	Kasutus	Põhjendus	mõttekäik
põrutama	löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima tugevasti lööma, tugevat hoopi andma	neutraalsetes/formaalsetes	"Sõna ""põrutama"" antud tähenduses on eesti keeles laialt levinud ning kasutatakse nii igapäevakõnes kui ka kirjalikes allikates, sealhulgas ajakirjanduses, ilukirjanduses ja spordiuudistes. Näiteks fraasid nagu ""jalgpallur põrutas palli väravasse"" või ""auto põrutas vastu posti"" on neutraalsed kirjeldused, mida võib kohata ka formaalsemas ajakirjanduses. Sõnal pole selget informaalset varjundit antud tähenduses, vaid see on tavapärane viis tugeva löögi või kokkupõrke kirjeldamiseks."	"Vastan küsimusele, kas sõna 'põrutama' tähenduses 'löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima tugevasti lööma, tugevat hoopi andma' on kasutusel pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei saa selget eristust teha.  Minu teadmiste põhjal on sõna 'põrutama' antud tähenduses laialt levinud eesti keeles ja seda kasutatakse erinevates kontekstides. Analüüsime järgnevalt:  1. Kõnekeelsus: Sõna 'põrutama' tähenduses ""tugevasti lööma"" on kasutusel nii kõnekeeles kui ka kirjakeeles, kuid sellel on teatav kõnekeelne varjund.  2. Kasutuskontekst:    - Spordikontekstis: ""Mängija põrutas palli väravasse"" - võib esineda meedias, spordiuudistes (neutraalne)    - Ilukirjanduses: ""Mees põrutas rusikaga vastu seina"" (neutraalne)    - Igapäevaolukorrad: ""Põrutasin kogemata pea ära"" (neutraalne/informaalne)  3. Alternatiivsed väljendid: Formaalsemas kontekstis võidakse kasutada ka väljendeid nagu ""lõi tugevasti"", ""andis tugeva hoobi"" jms, kuid ""põrutama"" pole tingimata liiga informaalne.  Näited võimalikest kasutusjuhtudest: - ""Jalgpallur põrutas palli üle värava."" - neutraalne, võib esineda ka spordiajakirjanduses - ""Ta põrutas rusikaga vastu seina."" - võib esineda ilukirjanduses ja kõnekeeles - ""Mootorrattur põrutas täiskiirusel posti otsa."" - võib esineda uudistes  Analüüsides neid aspekte, jõuan järeldusele, et sõna 'põrutama' antud tähenduses on küll veidi kõnekeelne, kuid laialt kasutatav ka neutraalsetes kontekstides nagu uudised, ilukirjandus ja ajakirjandus. Selles tähenduses ei ole sõna kasutus piiratud ainult väga informaalsete suhtlusolukordadega.  Seega vastus: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna 'põrutama' tähenduses 'tugevasti lööma, tugevat hoopi andma' on eesti keeles laialt levinud ning kasutatakse nii igapäevakõnes kui ka spordiuudistes, ilukirjanduses ja muudes neutraalsetes tekstikontekstides. Kuigi sõnal on kõnekeelne varjund, ei ole see üksnes informaalsetele tekstidele omane."
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	"Sõna ""ribi"" anatoomilises tähenduses on neutraalne keeleüksus, mida kasutatakse laialdaselt nii teaduslikes (anatoomia, meditsiini) tekstides kui ka igapäevases, neutraalses keelekasutuses. See on standardne kehaosa nimetus, millel puudub spetsiifiline kõnekeelne või informaalne varjund. Sõna esineb sageli ka õppematerjalides, teatmeteostes ja muudes formaalsetes või neutraalsetes kontekstides."	"Pean otsustama, kas sõna ""ribi"" tähenduses ""rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge"" kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides või ei kohaldu selge eristus.  ""Ribi"" on eesti keeles tavaline anatoomiat kirjeldav sõna. See on neutraalne sõna, mis tähistab konkreetset kehaosa.   Sellist anatoomia sõnavara kasutatakse: 1. Meditsiinilistes tekstides (nt õpikud, haiguslood, diagnoosid) - need on formaalsed tekstid 2. Populaarteaduslikes tekstides - need on neutraalsed 3. Igapäevases kõnes (nt ""Kukkusin ja lõin ribi ära"") - neutraalne kasutus  Sõnal ""ribi"" pole minu andmetel märkimisväärset stiililist varjundit, mis seostaks seda spetsiifiliselt informaalse või väga formaalse kasutusega. Seda kasutatakse nii haridus- ja teadustekstides kui ka igapäevases kõnes.   Kuna see on standardne anatoomiat puudutav sõna, mida kasutatakse tavaliselt neutraalses kontekstis ilma spetsiifilise registrita, siis hindan selle ""neutraalsete/formaalsete"" tekstide sõnaks.  Arvestada tuleb ka, et ""ribi"" võib esineda kujundlikus kõnes ja fraseologismides, kuid kirjeldatud anatoomilises põhitähenduses on see neutraalne sõna.  Seega:"
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Sõna ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" on haridusvaldkonna neutraalne termin, mida kasutatakse laialdaselt ametlikes dokumentides, kooli kodulehtedel, õppekavades ja haridusalastes tekstides. See on käibel haridusasutuste ametlikus keelekasutuses, nt ""koolis on kolm 9. klassi paralleeli"", ""paralleelklasside tunniplaan"" jms. Tegemist ei ole kõnekeelse slängiga, vaid pigem formaalse ja neutraalse haridusterminoloogia osaga."	"Mul palutakse otsustada, kas sõnale ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" tuleks lisada registrimärgend eesti keele sõnaraamatus, st kas seda kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  ""Paralleel"" selles tähenduses viitab samale haridustasemele kuuluvatele klassidele, näiteks kui koolis on mitu 5. klassi, siis neid nimetatakse paralleelideks (5a, 5b, 5c jne).  Minu teadmiste põhjal on sõna ""paralleel"" selles konkreetses tähenduses üsna tavaline ja neutraalne termin hariduskeeles. Seda kasutatakse nii koolidokumentides, õpetajate ja koolijuhtide kõnepruugis kui ka haridusstatistikas. See ei ole spetsiifiline slängisõna ega ka rangelt formaalne termin.  Toon mõned kontekstid, kus seda võidakse kasutada: - Kooli kodulehel: ""Meie koolis on kolm 9. klassi paralleeli"" - Õpetajate koosolekul: ""Teeme paralleelklasside vahel ühise projekti"" - Haridusaruandes: ""Koolis on vähemalt kaks paralleeli igal õppeastmel""  Kuna termin on kasutusel nii formaalsetes dokumentides kui ka tavakõnes hariduse kontekstis, siis liigitaksin selle pigem neutraalseks. See ei ole spetsiifiline argikeelne väljend, mis vajaks informaalsuse märgendit, ega ka väga ametlik termin, mis vajaks formaalse keele märgendit.  Vastus: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" on tavapärane hariduskeele termin, mida kasutatakse neutraalselt nii kooli dokumentides, õpetajate professionaalses kõnepruugis kui ka haridusstatistikas. See ei ole eriti argikeelne väljend ega ka eriliselt formaalne termin."
luhvt	Maad ümbritsev gaaside segu, mida me hingame maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas	informaalsetes	"Sõna ""luhvt"" on saksa laensõna ""Luft"" eestindatud variant, mida kasutatakse tavaliselt kõnekeeles ja murdekeeles standardse sõna ""õhk"" asemel. See on selgelt informaalse registri sõna, mida kohtab pigem suulises kõnes, ilukirjanduses tegelaskõnes, sotsiaalmeedias või muudes vabamas vormis tekstides, kuid mitte ametlikes või teaduslikes dokumentides."	"Pean otsustama, kas sõnale 'luhvt' tähenduses ""Maad ümbritsev gaaside segu, mida me hingame maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"" on vaja lisada registrimärgend. Pean hindama, kas seda sõna kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides või on see eristamatu.  Kõigepealt analüüsin seda sõna:  ""Luhvt"" on ilmselt sõna ""õhk"" teisend, mis on tuletatud saksa keelest laenatud sõnast ""Luft"". Eesti kirjakeeles on tavapärane sõna ""õhk"", millel pole registrimärgendeid.  ""Luhvt"" kõlab kui kõnekeelne, murdelisem või vanamoodne variant standardsest sõnast ""õhk"". Selline hääldusmodifikatsioon (f → hv) ja kirjapilt viitab tavaliselt kõnekeelsusele või mõnele murdevariandile.  Mu mälu järgi kasutatakse sõna ""luhvt"" pigem informaalsetes kontekstides, vahel ka humoristliku või arhailise varjundiga. See pole neutraalne teaduslik termin, mida leiaks entsüklopeediast või õpikust. Pigem võib seda kohata vanemas kõnepruugis, slängis või dialektides.  Eeldan, et tegu on informaalse sõnaga, mida võidakse kasutada: - igapäevases kõnekeeles (eriti vanemate inimeste seas) - huumoriga tekstides - tegelaskõnes ilukirjanduses (et näidata tegelase kõnepruuki) - murdelistes tekstides  Seega peaks sõnale ""luhvt"" lisama registrimärgendi, mis viitab informaalsele kasutusele. See pole standardne, neutraalne keelekasutus kirjalikus eesti keeles.  Kasutus: informaalsetes Põhjendus: Sõna ""luhvt"" on kõnekeelne, murdelise või arhailise varjundiga variant standardsest sõnast ""õhk"". Seda kasutatakse peamiselt informaalsetes kontekstides nagu igapäevane kõnekeel, humoristlikud tekstid või ilukirjanduslik tegelaskõne, mitte aga neutraalsetes või formaalsetes tekstides nagu teaduskirjandus või ametlikud dokumendid."
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus	neutraalsetes/formaalsetes	"Sõna ""putk"" selles tähenduses on botaanikatermin, mida kasutatakse taimeteaduslikes kirjutistes, aiandusalastes tekstides ja looduskirjeldustes. See on neutraalne üldkeelne nimetus teatud tüüpi taimedele, mis sobib kasutamiseks nii teaduslikus kontekstis kui ka tavalistes loodust kirjeldavates tekstides. Sõnal puuduvad informaalsele keelekasutusele viitavad tunnused."	"Pean otsustama, kas sõna ""putk"" tähenduses ""karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus"" kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Mõtlen läbi:  ""Putk"" on taimeteaduslik mõiste, mis tähistab teatud tüüpi taime või taimeosa, täpsemalt ""karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus"". Kuna see on kirjeldatud kui ""üldkeelne nimetus"", siis see viitab, et tegu on tavakeeles kasutatava sõnaga, mitte ainult erialaspetsiifilise terminiga.  Minu teadmiste põhjal: - ""Putk"" on neutraalne botaaniline termin, mis tähistab õõnsa varrega taimi - Seda kasutatakse nii tavalises kõnekeeles kui ka botaanikatekstides - Sõnal pole stilistilist markeeritust või spetsiifilist kasutuskonteksti  Ma ei näe selles sõnas midagi, mis viitaks, et see oleks spetsiifiliselt informaalne või formaalne. Tegemist on neutraalse sõnaga, mida saab kasutada igasuguses kontekstis, kui on vaja viidata sellist tüüpi taimedele. See on sisuliselt taksonomia osa, mida kasutatakse nii akadeemilises kirjanduses kui ka igapäevases kõnes.  Näiteks laused, kus ""putk"" võiks esineda neutraalses kontekstis: - ""Aias kasvav putk on mürgine."" - ""Putke leidub sageli niisketel aladel."" - ""Putke vars on õõnes.""  Seega arvan, et sõna ""putk"" tähenduses ""karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus"" kasutatakse neutraalsetes/formaalsetes tekstides. See on tavaline botaanikatermin, millel pole erilist stilistilist markeeritust.  Vastus: neutraalsetes/formaalsetes"
klappima	(kokku) sobima kooskõlas olema	informaalsetes	Sõna 'klappima' tähenduses '(kokku) sobima, kooskõlas olema' on küll laialt levinud igapäevases keelekasutuses, kuid säilitab teatud informaalset varjundit. Formaalsetes või akadeemilistes tekstides eelistatakse tavaliselt neutraalsemaid sünonüüme nagu 'sobima', 'kooskõlas olema', 'vastama' või 'ühilduma'. Sõna on eriti levinud suulises kõnes ja vabamas kirjalikus väljenduses.	"Ma pean otsustama, kas eesti sõna 'klappima' tähenduses '(kokku) sobima kooskõlas olema' on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides, või kui selget eristust ei ole, siis märkima ""ei kohaldu"".  Analüüsiks kasutan oma teadmisi eesti keele kohta:  'Klappima' tähenduses '(kokku) sobima kooskõlas olema' on sõna, mida kasutatakse nii informaalsetes kui ka neutraalsetes olukordades. See on suhteliselt igapäevane sõna, mida võib kohata mitmes erinevas kontekstis:  - argikõnes: ""Meie ajagraafikud ei klapi üldse."" - neutraalsetes olukordades: ""Faktid klapivad omavahel, mis toetab seda järeldust."" - ajakirjanduses: ""Tulude ja kulude numbrid ei klapi kokku.""  See sõna on küll mõnevõrra mitteametlikum kui näiteks ""sobima"", ""kooskõlas olema"" või ""vastama"", mida võidakse eelistada formaalsetes või akadeemilistes tekstides. Samas ei ole see puhtalt slängisõna või väga informaalne väljend.  Kuna 'klappima' kasutatakse laialdaselt ka neutraalsetes kontekstides ja meedias, ei liigitaks ma seda ainult informaalseks sõnaks. See on igapäevane kasutussõna, mis võib esineda mitmetes registrites, kuigi väga formaalses või akadeemilises tekstis võidakse eelistada muid sünonüüme.  Seega ma arvan, et kõige täpsem oleks määratleda sõna 'klappima' kui neutraalne, kuigi võrreldes mõne sünonüümiga võib sel olla veidi argisem värving.  Vastus: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna 'klappima' tähenduses '(kokku) sobima, kooskõlas olema' kasutatakse laialdaselt igapäevases keeles, ajakirjanduses ja muudes neutraalsetes kontekstides. Kuigi see võib esineda ka informaalsetes tekstides, ei ole see ainult kõnekeelne väljend, vaid laialt aktsepteeritud ka neutraalses keelekasutuses.  Hmm, teisalt mõeldes, kas ""klappima"" on täiesti neutraalne sõna formaalses kontekstis? Pean veidi täpsustama oma analüüsi.  Tegelikult võib ""klappima"" tähenduses ""sobima, kooskõlas olema"" olla veidi informaalsem kui täiesti neutraalne. Väga formaalses või akadeemilises tekstis võidakse eelistada sõnu nagu ""sobima"", ""ühilduma"", ""vastavuses olema"", ""kooskõlas olema"" jne. Näiteks teadustekstis või ametlikus dokumendis kirjutatakse pigem ""Andmed on vastavuses/kooskõlas hüpoteesiga"" kui ""Andmed klapivad hüpoteesiga"".  Samas on ""klappima"" siiski piisavalt levinud sõna, et seda võib kohata ka neutraalsetes kontekstides nagu uudised, ajaleheartiklid jne.  Seega võiks ""klappima"" liigitada pigem informaalseks, kuid siiski laialt kasutatavaks sõnaks, mis võib esineda ka neutraalsetes, kuid harva täiesti formaalsetes kontekstides.  Vastus: Kasutus: informaalsetes Põhjendus: Sõna 'klappima' tähenduses '(kokku) sobima, kooskõlas olema' on küll laialt kasutatav, kuid omab mõnevõrra informaalset varjundit. Formaalsemates tekstides ja ametlikus keelekasutuses eelistatakse sageli neutraalsemaid sünonüüme nagu 'sobima', 'kooskõlas olema', 'vastama' või 'ühilduma'.  Aga pean uuesti kontrollima. ""Klappima"" on üsna tavaline sõna eesti keeles, mida kasutatakse laialdaselt erinevates kontekstides. Ma ei ole kindel, kas see on piisavalt informaalne, et sellele tuleks lisada informaalsuse märgend sõnastikus.  Mulle tundub, et ""klappima"" võib esineda nii informaalsetes tekstides (nagu sotsiaalmeedia, blogid) kui ka neutraalsetes (nagu ajakirjandus), kuid väga formaalses keelekasutuses (nagu ametlikud dokumendid, akadeemilised tekstid) võidakse seda pigem vältida.   Kuna sõna kasutus ulatub informaalsest kuni neutraalseni, kuid mitte päris formaalseni, võiks täpseim oleks määratleda seda kui ""informaalsetes"" tekstides esinevat sõna, kuid tunnistades, et see võib esineda ka neutraalsemates kontekstides.  Seega:  Kasutus: informaalsetes Põhjendus: Sõna 'klappima' tähenduses '(kokku) sobima, kooskõlas olema' on laialt kasutatav igapäevases keeles, kuid säilitab teatud informaalset varjundit. Formaalsetes või akadeemilistes tekstides eelistatakse sageli neutraalsemaid väljendeid nagu 'sobima', 'kooskõlas olema' või 'vastama'."
kõnetoru	(sõnumi edasiandmise abinõu, vahendi kohta) kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms	neutraalsetes/formaalsetes	"Sõna ""kõnetoru"" tähenduses ""kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"" on metafoorne, kuid laialt kasutatav väljend meediaanalüüsides, poliitilistes tekstides ja ajakirjanduses. Seda kasutatakse sageli analüütilistes kontekstides, näiteks ""väljaanne on kujunenud teatud huvigrupi kõnetoruks"". Väljend ei sisalda informaalsele keelekasutusele viitavaid elemente ning sobib hästi ka ametlikesse ja akadeemilistesse tekstidesse, kuigi võib kanda teatud kriitilist alatooni."	"Mul tuleb kindlaks teha, kas sõna 'kõnetoru' antud tähenduses on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  'Kõnetoru' otsetähenduses on vahend, mille kaudu hääl kaugemale kostab. Küsitud tähendus on aga metafoorne: ""kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"".  Mõtlen selle sõna kasutuskontekstidele oma teadmiste põhjal:  1. Ajakirjanduse või meedia kontekstis võidakse öelda, et ""ajaleht X on poliitiku Y kõnetoru"" - ehk kajastab peamiselt selle poliitiku seisukohti. See kasutus tundub olevat pigem neutraalne, kuigi võib sisaldada mõningast kriitikat (vihjates, et väljaanne pole täiesti objektiivne).  2. Poliitilistes analüüsides või kommentaarides võidakse kasutada väljendit ""valitsuse kõnetoru"" mõne meediakanali kohta. See kasutus võib olla formaalne, kuid sageli sisaldab see kriitilist alatooni.  3. Sotsiaalmeedia vestlustes või informaalsetes kontekstides kasutatakse seda väljendit samuti, aga seal võib see esineda eriti teravalt kriitilises võtmes.  Kõnetoru selles tähenduses on metafoorne, aga küllaltki juurdunud väljend. See ei sisalda tooreid või vulgaarseid elemente, mida peetaks informaalseks. Sõna võib esineda nii akadeemilistes tekstides, ajakirjanduses kui ka igapäevases kõnes.  Kui vaadata sõna võimalikku kasutust erinevates registrites: - Informaalsetes tekstides: ""See Facebook'i leht on ju lihtsalt firma kõnetoru!"" - Neutraalsetes/formaalsetes tekstides: ""Antud väljaanne on kujunenud teatud huvigruppi kõnetoruks.""  Minu hinnangul kasutatakse sõna 'kõnetoru' kõnealuses tähenduses nii informaalsetes kui ka neutraalsetes/formaalsetes tekstides, kuid see ei ole spetsiifiliselt informaalse registri sõna. Selle kasutus on levinud ka formaalsetes kontekstides, näiteks meediaanalüüsides, politoloogias ja ajakirjanduse uuringutes.  Seega pean õigemaks klassifitseerida seda neutraalseks/formaalseks, kuna see on kasutatav erinevates registrites ning ei sisalda selgelt informaalsusele viitavaid elemente.  Kasutus: neutraalsetes/formaalsetes"
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)	neutraalsetes/formaalsetes	"Sõna ""plekk"" tähenduses metallist või metallisulamist ese või detail on tavaline neutraalne termin, mida kasutatakse laialdaselt nii tavalises keelekasutuses kui ka tehnilisemates kontekstides. See esineb tavapäraselt näiteks ehituse, tootmise ja tööstuse valdkondades (plekk-katus, plekksepp, plekknõud), ilma et sel oleks informaalset varjundit. Tegemist on standardse, üldtuntud terminiga, mis sobib kasutamiseks nii neutraalses kui ka formaalses kontekstis."	"Mulle on antud ülesanne otsustada, kas sõna 'plekk' tähenduses 'metallist või metallisulamist ese või detail' on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Kõigepealt mõtlen, kuidas seda sõna eesti keeles kasutatakse selles tähenduses:  1. ""Plekk"" metalleseme või -detaili tähenduses on eesti keeles tavaline sõna, mida kasutatakse nii igapäevases kõnes kui ka erialakirjanduses.  2. Mõned näited: plekk-katus, plekknõu, kontsaplekk, plekksepp (plekiga töötav käsitööline)  3. See on neutraalse tähendusega sõna, millel pole otseselt slängilist või argist varjundit, ega ka eriti formaalset või tehnilist tähendust. See on tavaline termin, mida kasutavad nii tavalised inimesed kui ka spetsialistid.  4. Sõna esineb nii igapäevavestlustes, õpikutes kui ka teadustekstides, mis käsitlevad metalle ja nendest tehtud tooteid.  Minu treeningandmete põhjal ei ole põhjust arvata, et ""plekk"" selles konkreetses tähenduses oleks märgitud spetsiifiliselt kui informaalne või ülimalt formaalne termin. See on neutraalne sõna, mida kasutatakse kõigis registrites.  Seega minu vastus on, et sõna ""plekk"" tähenduses ""metallist või metallisulamist ese või detail"" kasutatakse neutraalsetes/formaalsetes tekstides. Seda sõna võib kohata nii tavalistes argivestlustes kui ka formaalsetes/tehnilistes kontekstides, kuid see pole spetsiifiliselt informaalne termin.  Täpsustaksin veel, et tähenduslikult on see neutraalne ja korrektne termin, mis ei ole oma olemuselt argistiil."
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades	informaalsetes	"Sõna ""rihtima"" antud tähenduses on pigem kõnekeelne väljend, mida kasutatakse peamiselt argikeeles ja vabamas suhtluses. Formaalsemates tekstides eelistatakse tavaliselt neutraalsemaid sünonüüme nagu ""suunama"", ""kohandama"" või ""orienteerima"". Seda tüüpi ülekantud tähendust kohtab sagedamini vestlustes, blogides, foorumites ja sotsiaalmeedia postitustes, mitte ametlikes dokumentides või akadeemilistes tekstides."	"Mul palutakse hinnata sõna ""rihtima"" kasutusregistrit, eriti tähenduses ""oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades"". Pean otsustama, kas seda kasutatakse pigem informaalsetes, neutraalsetes/formaalsetes tekstides või kas see eristus ei kohaldu.   Sõna ""rihtima"" tundub mulle olevat pigem kõnekeelne väljend. Selle põhitähendus on seotud millegi otseselt füüsiliselt suunamise või seadistamisega, aga kirjeldatud tähenduses (""oma tegevust, juttu vms soovitud suunda juhtima"") on see pigem ülekantud tähendus.  Minu teadmiste põhjal:  1) Sõna ""rihtima"" tuleb saksa keelest (richten) ja on eesti keeles kasutusel olnud juba pikemat aega.  2) Kirjeldatud tähenduses (""oma tegevust, juttu vms soovitud suunda juhtima"") on see pigem kõnekeelne, mitteformaalne kasutus.  3) Formaalsemates tekstides (ametlikud dokumendid, akadeemilised tekstid jne) kasutatakse selle asemel tõenäolisemalt selliseid sõnu nagu ""suunama"", ""orienteerima"", ""kohandama"", ""häälestama"" jne.  4) See sõna esineb sageli just argikeeles, vestlustes, blogides, foorumites jms.  Näiteks võiks informaalses kontekstis kuulda selliseid väljendeid nagu: - ""Ta rihib kogu oma jutu alati raha peale."" - ""Püüame oma tegevuse rihtida klientide vajaduste järgi.""  Seega, paigutaksin sõna ""rihtima"" selles tähenduses pigem informaalsete registrisse, kuna see on kõnekeelne, mitteametlik väljend, mida kasutatakse pigem igapäevases suhtluses kui ametlikes dokumentides või akadeemilistes tekstides.  Kasutus: informaalsetes Põhjendus: Sõna ""rihtima"" kirjeldatud tähenduses on kõnekeelne väljend, mida kasutatakse peamiselt mitteformaalsetes kontekstides. Formaalsemates tekstides eelistatakse selle asemel neutraalsemaid sünonüüme nagu ""suunama"", ""orienteerima"" või ""kohandama""."
rokk	jahust ja veest segatud loomatoit	neutraalsetes/formaalsetes	"Sõna ""rokk"" tähenduses ""jahust ja veest segatud loomatoit"" on põllumajanduslik/loomakasvatuslik erialatermin, mida kasutatakse neutraalselt erialases keeles. See on traditsiooniline oskussõna, mis esineb põllumajandusega seotud tekstides, loomapidamisjuhendites ja vastavas erialakirjanduses. Kuigi see pole kõnekeeles väga sage, ei ole see sõna ka kuidagi informaalse varjundiga."	Pean otsustama, kas sõnale 'rokk' tähenduses 'jahust ja veest segatud loomatoit' on vaja lisada registrimärgend, st kas seda kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  'Rokk' selles tähenduses tähistab spetsiifilist loomatoitu, mida traditsiooniliselt on kasutatud näiteks sigade või teiste koduloomade söötmiseks. See on lihtne toitainete segu, mis valmistatakse jahust ja veest.  Selle sõna kasutuskonteksti hindamiseks peaksin mõtlema:  1. Kas see on üldkeele osa või piirkondlik/murdesõna? 2. Kas seda kasutatakse pigem tavalises suhtluses või ametlikes dokumentides? 3. Kas see on tavapärane termin põllumajanduses või pigem arhailine/rahvakeelne väljend?  Minu teadmiste põhjal on 'rokk' selles tähenduses pigem rahvakeelne või murdelisem väljend, mida kasutatakse traditsioonilises põllumajanduses ja loomakasvatuses. Seda kasutatakse tõenäoliselt rohkem tavalises suhtluses, eriti maapiirkondades, ja mitte niivõrd teaduslikes või ametlikes põllumajandustekstides, kus eelistatakse täpsemaid toitumisalaseid termineid.  Põllumajandusega seotud inimesed võivad seda sõna kasutada igapäevases töös ja omavahelises suhtluses, mis võib küll olla neutraalne, kuid mitte tingimata formaalne. Samas pole see ka selgelt informaalne slängisõna.  Arvestades, et sõna 'rokk' selles tähenduses on spetsiifiline põllumajandustermin, mis on tõenäoliselt laiemalt kasutusel traditsioonilises/rahvakeelses kontekstis, aga mitte tingimata ainult informaalses kontekstis, siis hindaksin seda pigem neutraalseks termiks oma spetsiifilises kasutuskontekstis.  Seega vastus:
