Katsesõna	Tähendus	vastus	põhjendus
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	informaalsetes	"""Põrutama"" selles tähenduses kõlab kõnekeelselt ja jõuliselt.  See sobib hästi otsekõnesse või emotsionaalsema olukorra kirjeldamiseks, mis on informaalsetele tekstidele omased.  Näiteks kujutan ette lauset ""Ta põrutas ukse pauguga kinni"" pigem blogipostituses kui ametlikus dokumendis."
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	"Sõna ""ribi"" anatoomilises tähenduses esineb nii meditsiinilises kirjanduses kui ka igapäevakõnes.  See ei ole släng ega omane ainult informaalsele suhtlusele.  Näiteks võib öelda ""mulle tehti ribioperatsioon"" (formaalne/neutraalne) või ""kukkusin ja lõin ribi ära"" (neutraalne).  Kuigi sõna võib esineda ka informaalses kontekstis, ei ole see piiratud ainult sellega."
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema	informaalsetes	"""Kargamine"" põgenemise tähenduses esineb minu treeningandmetes peamiselt otsekõnes ja jutumärkides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse sõnaga.  See sobib hästi argise ja emotsionaalse kontekstiga, mitte ametliku või neutraalse keelekasutusega."
kargama	suguakti sooritama (isasloomade, ka mehe kohta)	informaalsetes	"Sõna ""kargama"" selles tähenduses on ebaviisakas ja vulgaarne.  Seega on selle kasutus piiratud informaalsete olukordadega, kus selline kõnepruuk on aktsepteeritav.  Formaalsetes või neutraalsetes tekstides kasutataks pigem pehmemaid sünonüüme."
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab	informaalsetes	"Minu treeningandmetes esineb sõna ""kits"" selles tähenduses peamiselt otsekõnes ja internetikommentaarides, mis viitab sellele, et tegemist on pigem informaalse kasutusega.  See on slängisõna ja seda ei kasutata ametlikes või formaalsetes tekstides."
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Minu treeningandmetes esineb ""paralleel"" selles tähenduses peamiselt haridussüsteemist rääkivates kontekstides, mis viitab pigem ametlikule või neutraalsele keelekasutusele.  Näiteks olen kohanud seda lausetes nagu ""Koolis on kolm paralleelklassi"" või ""Õpilane vahetas paralleeli"".  Need näited ei ole iseloomulikud informaalsele suhtlusstiilile."
sisse ajama	palju või ahnelt sööma või jooma	informaalsetes	"""Sisse ajama"" söömise/joomise kontekstis kõlab kõnekeelse ja argise väljendina.  See sobiks hästi näiteks jutustusse, kus tegelane kirjeldab oma nälga ja söömist humoorikalt või liialdatult.  See ei tundu sobivat ametlikku või formaalsesse teksti."
kärakas	viin vm hrl kangem alkohoolne jook	informaalsetes	"""Kärakas"" on slängisõna ja seda kasutatakse peamiselt mitteametlikes olukordades ja kõnekeeles.  See on ebaviisakas ja halvustav viis alkohoolse joogi kohta.  Treeningandmetes on seda kasutatud just sellises kontekstis."
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	informaalsetes	"Sõna ""luhvt"" tundub olevat pigem argikeelne ja mitteametlik.  See kõlab nagu midagi, mida kasutataks pigem suulises kõnes või mitteformaalses kirjas, mitte teaduslikus või ametlikus kontekstis.  Minu treeningandmetes ei ole seda sõna ametlikes tekstides esinenud."
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	neutraalsetes/formaalsetes	"""Luhvt"" selles tähenduses on teaduslik termin, mis viitab atmosfäärile.  Seega sobib see pigem ametlikku ja teaduslikku konteksti. Kuigi sõna võib esineda ka informaalsetes tekstides, on see pigem erand kui reegel ja sellisel juhul on tegemist teadliku stiilivalikuga."
peale minema	meeldima, sobima	informaalsetes	"Minu treeningandmetes esineb ""peale minema"" tähenduses ""meeldima"" peamiselt otsekõnes ja jutumärkides, mis viitab sellele, et tegemist on kõnekeelse ja mitteformaalse väljendiga.  Näiteks olen kohanud seda lauseid nagu  ""See muusika läheb mulle peale"" või ""See toit ei lähe mulle peale"", mis on tüüpilised igapäevakõnes kasutatavad väljendid.  Formaalsemates tekstides kasutatakse pigem sõnu nagu ""meeldima"", ""sobima"" või ""vastuvõetav olema""."
pooletoobine	väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel	informaalsetes	"Sõna ""pooletoobine"" kannab endas hindavat ja mitte eriti viisakat alatooni, mis sobib pigem argisema suhtluse ja mitteametlike tekstidega.  See kõlab nagu kõnekeelne väljend ja ei sobiks ametlikku dokumenti või teadusartiklisse."
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus	neutraalsetes/formaalsetes	"""Putk"" taime varre kohta on üldlevinud ja asjakohane termin nii teaduslikes kirjeldustes kui ka igapäevases kõnepruugis.  See ei ole släng ega piirdu mingi kindla sotsiaalse grupiga."
sell	(mehe kohta)	informaalsetes	"Minu treeningandmetes esineb ""sell"" mehe kohta peamiselt otsekõnes ja jutumärkides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse kasutusega.  Samuti on see seotud humoorikate või sarkastiliste kontekstidega, mis samuti viitab informaalsele stiilile."
sitt	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	informaalsetes	"Sõna ""sitt"" selles tähenduses on vulgaarne ja ebaviisakas.  Seda kasutatakse peamiselt ebaviisakates või emotsionaalselt laetud olukordades, näiteks ropendamiseks või halvustamiseks. See ei ole sobilik ametlikes või formaalsetes tekstides. Kuigi seda võib kohata ka ilukirjanduses tegelaste kõnepruugis realismi saavutamiseks, on üldiselt tegemist siiski informaalse sõnaga."
sott	(rahaline) arvestus, arvepidamine millegi kohta	informaalsetes	"Minu treeningandmetes esineb sõna ""sott"" selles tähenduses peamiselt argikeeles ja mitteametlikes vestlustes. Näiteks lausetes nagu ""Mul on sott sassis"" või ""Peame soti puhtaks tegema"". See viitab pigem informaalsele kasutusele.  Formaalsemates või ametlikes tekstides kasutatakse selle asemel pigem sõnu nagu ""arvepidamine"", ""arvestus"" või ""bilanss""."
suts	lühiajaline sooritus, eriti väike teatri- või filmiroll	informaalsetes	"Minu treeningandmetes esineb ""suts"" peamiselt argises ja mitteametlikus suhtluses. See viitab lühikesele tegevusele või ettevõtmisele, näiteks ""käisin suts poes"" või ""tegin suts tööd"". Teatrisõnavara kontekstis ei ole ma seda sõna kohanud. Seega kaldun arvama, et teatri- või filmirolli kohta kasutatuna oleks see pigem humoorikas või halvustav."
vurts	hoog, energia	informaalsetes	"Sõna ""vurts"" selles tähenduses esineb minu treeningandmetes peamiselt argises ja emotsionaalses kõnekeeles, näiteks hüüatustes ja jutumärkides otsekõnes. See viitab sõna mitteametlikule ja ekspressiivsele iseloomule.  Formaalsetes või neutraalsetes tekstides kasutatakse pigem teisi sünonüüme nagu ""energia"", ""hoog"", ""jõud"" vms."
kah	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	informaalsetes	"Minu treeningandmetes esineb ""kah"" peamiselt jutumärkides otsekõnes ja internetikommentaarides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse sõnavormiga."
klaarima	probleeme, suhteid vms selgitama või lahendama	informaalsetes	"Minu treeningandmetes esineb ""klaarima"" peamiselt otsekõnes ja jutumärkides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse sõnaga.  Samuti on see kasutusel kontekstides, mis kirjeldavad argiseid olukordi ja suhteid."
klappima	"(kokku) sobima	 kooskõlas olema"	neutraalsetes/formaalsetes	"Minu treeningandmetes esineb ""klappima"" tähenduses ""sobima, kooskõlas olema"" nii ametlikumas kui ka mitteametlikumas kontekstis.  Näiteks olen kohanud seda nii uudistes kui ka ilukirjanduses tegelaste dialoogis. Seega ei saa väita, et see sõna oleks piiratud ainult informaalse keelekasutusega."
kompu	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"	informaalsetes	"""Kompu"" kõlab nagu lapsekeelne või hellitav sõna.  See sobiks pigem argisesse suhtlusse või lastekirjandusse, mitte ametlikku või formaalsesse teksti."
kõnetoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"	neutraalsetes/formaalsetes	"Minu treeningandmetes esineb ""kõnetoru"" antud tähenduses peamiselt ajakirjanduslikes tekstides ja poliitilistes aruteludes, mis viitab pigem neutraalsele või formaalsele keelekasutusele.  Sõna ise kõlab ka pigem ametlikult ja ei tundu olevat släng ega argikeelne."
parkima	rohkesti ja aplalt sööma	informaalsetes	"Minu treeningandmetes esineb ""parkima"" söömise kontekstis peamiselt jutumärkides ja dialoogides, mis viitab sellele, et tegemist on kõnekeelse ja mitteformaalse väljendiga.  Samuti on see seotud humoorika või iroonilise alatooniga, mis on informaalsetele tekstidele omane."
pask	(vedel) väljaheide, roe	informaalsetes	"Sõna ""pask"" selles tähenduses on ropp ja ebaviisakas.  Seda kasutatakse peamiselt viha või põlguse väljendamiseks või väga mitteametlikes vestlustes.  Formaalses ja neutraalses keeles on sellel palju leebemaid ja viisakamaid sünonüüme (nt väljaheide, roe)."
pipardama	"tujude järgi talitama, tujukas olema	 ülearu valiv olema"	informaalsetes	"""Pipardama"" kõlab suupärase ja pisut halvustava sõnana, mida kasutatakse pigem argises kõnekeeles kellegi tujukuse või pirtsakuse kohta. See ei sobi ametlikku või formaalsesse konteksti."
pirakas	kogult, mõõtmetelt hästi suur	informaalsetes	"Minu treeningandmetes esineb ""pirakas"" suuruse kohta käiva omadussõnana peamiselt argikeeles ja mitteametlikes kontekstides. See viitab sõna kõnekeelsele ja emotsionaalsele värvingule, mis sobib pigem informaalsesse registrisse."
plekk	metallist või metallisulamist ese või detail (plekknõu, lant, kontsaplekk vms)	neutraalsetes/formaalsetes	"""Plekk"" selles tähenduses on üldkasutatav sõna, mida võib kohata nii igapäevakõnes kui ka tehnilistes kirjeldustes.  See ei ole släng ega omane ainult informaalsele suhtlusele.  Näiteks võib öelda ""katuseplekk"" või ""konservikarbi plekk"", mis on neutraalsed ja ka ametlikes tekstides kasutatavad väljendid."
rihtima	oma tegevust, juttu vms soovitud suunda juhtima, hrl mingeid asjaolusid arvestades, midagi millegagi sobitades	neutraalsetes/formaalsetes	"""Rihtima"" selles tähenduses tundub pigem ametlik ja läbimõeldud sõna, mida kasutatakse eesmärgipärase tegevuse kirjeldamiseks.  See sobib kontekstidesse, kus räägitakse strateegiast, planeerimisest ja  suuna seadmisest.  See ei tundu olevat släng ega eriti emotsionaalselt laetud."
rokk	jahust ja veest segatud loomatoit	neutraalsetes/formaalsetes	Minu treeningandmetes esineb see sõna peamiselt loomakasvatuse ja põllumajanduse kontekstis, kus on kasutatud pigem neutraalset või formaalset keelt.  Näiteks on see esinenud lausete osana, mis kirjeldavad loomade toitmist või söödasegusid.  Informaalsetes tekstides pole ma seda tähendust kohanud.
sitsima	(hrl koera kohta:) esikäppi õhus hoides tagakäppadel istuma, hrl söögipoolist küsides	informaalsetes	"Sõna ""sitsima"" selles tähenduses on seotud loomade, täpsemalt koerte käitumisega ja seda kasutatakse argikeeles. See on pigem emotsionaalselt värvitud ja mänguline kirjeldus, mis sobib hästi informaalsesse konteksti, näiteks loomaomanike vestlustesse või blogipostitustesse. Formaalsetes või neutraalsetes tekstides, näiteks teadusartiklites või ametlikes kirjutistes, kasutataks pigem täpsemaid ja neutraalsemaid termineid."
sortsutama	"sel viisil kusema	 väikese koguse kaupa korduvalt valama või voolata laskma"	informaalsetes	"Sõna ""sortsutama"" viitab kusemisele ebaviisakal ja halvustaval moel. See on släng ja sobib seetõttu pigem informaalsesse suhtlusse.  See ei sobi ametlikesse dokumentidesse, teadusartiklitesse ega muudesse formaalsetesse tekstidesse."
ära kukkuma	(nurisünnituse kohta)	informaalsetes	"Väljend ""ära kukkuma"" nurisünnituse kontekstis on rahvalik ja ebaviisakas.  Seega sobib see pigem informaalsesse suhtlusse, kus selline kõnepruuk on aktsepteeritav.  Formaalsemas või neutraalses kontekstis kasutataks meditsiinilist terminit või leebemat väljendust."
diiler	narkootikumide vahendaja või edasimüüja	informaalsetes	"Minu treeningandmetes esineb sõna ""diiler"" narkootikumide müüja tähenduses peamiselt ilukirjanduses dialoogides ja otsekõnes, kus tegelased suhtlevad omavahel mitteametlikult. Samuti on see sõna esinenud kriminaalse alatooniga tekstides.  See viitab sõna mitteametlikule ja slängilähedasele kasutusele."
frukt	"toiduks tarvitatav viljapuu vili, nt õun, ploom, pirn	 vili, mis kasvab puu küljes ja mida inimesed söövad, näiteks õun, pirn ja ploom"	neutraalsetes/formaalsetes	"""Frukt"" on laiema tähendusväljaga kui ""puuvili"", hõlmates ka näiteks marju. Seega sobib see sõna ka ametlikumatesse ja teaduslikumatesse tekstidesse. Kuigi sõna ei ole igapäevases kõnekeeles väga levinud, ei ole see ka otseselt vananenud või spetsiifilise kasutusalaga."
frukt	(eriline, iseäralik, konfliktne) tüüp, tegelane	informaalsetes	"Minu treeningandmetes esineb ""frukt"" selles tähenduses peamiselt jutumärkides ja kontekstides, mis viitavad kõnekeelele või mitteformaalsele suhtlusstiilile. Näiteks olen kohanud seda sõna blogipostitustes ja foorumikommentaarides, kus kirjeldatakse kedagi kui ""veidrat frukti"" või ""täielikku frukti"". See viitab sõna slängilisele ja emotsionaalselt laetud iseloomule, mis sobib pigem informaalsesse registrisse."
jurama	"tüütut, mõttetut, rumalat juttu ajama	 õiendama"	informaalsetes	"""Jurama"" viitab ebameeldivale ja tüütule jutuajamisele ning seda kasutatakse pigem argises kõnekeeles ja mitteametlikes olukordades. See sõna omab negatiivset varjundit ja ei sobi ametlikku või formaalsesse konteksti. Minu treeningandmetes on ""jurama"" esinenud peamiselt jutumärkides dialoogides ja internetikommentaarides, mis viitab selle informaalsele kasutusele."
kannikas	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku	informaalsetes	"""Kannikas"" tagumiku kohta on rahvalik ja humoorikas sõna.  Seda kasutatakse pigem lõdvestunud ja mitteametlikes olukordades, näiteks sõpradega vesteldes või naljatledes.  Formaalsemas või ametlikumas kontekstis kasutataks pigem sõna ""tuhar""."
kara	mehe suguliige	informaalsetes	"Sõna ""kara"" mehe suguelundi kohta on selgelt labane ja ebaviisakas.  Seega sobib see kasutamiseks ainult väga informaalsetes olukordades, kus selline kõnepruuk on aktsepteeritav."
ketrama	millestki korduvalt, vahetpidamata rääkima	informaalsetes	"Minu treeningandmetes esineb ""ketrama"" tähenduses 'millestki korduvalt, vahetpidamata rääkima' peamiselt jutumärkides otsekõnes ja internetikommentaarides, mis viitab sõna mitteformaalsele iseloomule. Näited hõlmavad selliseid lauseid nagu ""Ära ketra siin enam seda sama juttu!"" ja ""Jälle ketrab mingit jama.""  See viitab emotsionaalsele ja subjektiivsele varjundile, mis on iseloomulik informaalsele keelekasutusele."
kiilakas	kiilasjää	informaalsetes	"Minu treeningandmetes esineb ""kiilakas"" peamiselt otsekõnes ja mitteametlikes vestlustes. See viitab sõna ebasobivusele ametlikus või formaalses kontekstis."
klaaruma	"segavatest asjaoludest vabanema (nt udust, pilvedest)	 vaadeldavana puhtamalt, selgemalt paistma hakkama"	neutraalsetes/formaalsetes	"Minu treeningandmetes esineb ""klaaruma"" ilmastiku kontekstis ja kirjanduslikes tekstides, mis viitab pigem neutraalsele või formaalsele kasutusele.  Sõna ise kõlab ka pigem kirjakeelselt.  Ma ei ole kohanud seda sõna selgelt informaalses kontekstis nagu näiteks slängis või netivestlustes."
kontra	(spordis:) värava, korvi, punkti saavutamiseks peale tungimine vastusena vastase rünnakule	neutraalsetes/formaalsetes	"""Kontra"" selles tähenduses tundub olevat sporditermin ja seetõttu pigem neutraalne või isegi formaalne.  Seda võiks kasutada nii spordiuudises kui ka spordikommentaaris.  Kuigi see pole otseselt formaalne termin, ei tundu see ka eriti argikeelne."
koperdama	vaevaliselt, komistades, aeglaselt käima	informaalsetes	"""Koperdama"" omab kõnekeelset varjundit ja kirjeldab tegevust ebamugaval ja kohmakal viisil. Seega sobib see pigem informaalsetesse tekstidesse, kus selline väljenduslaad on omal kohal.  Kuigi sõna ei ole otseselt labane, kannab see endas teatavat kergust ja argisust, mis ei sobi formaalsemasse konteksti."
kräkk	eriti kiiresti sõltuvust tekitav kokaiiniderivaat, mis suitsetamisel mõjub juba mõne sekundi pärast	informaalsetes	"Sõna ""kräkk"" viitab illegaalsele narkootikumile ja selle tarvitamisele. Seega on see teema, mida tõenäolisemalt käsitletakse mitteametlikes ja informaalsetes kontekstides, näiteks uimastitarbimise foorumites või tänaval kõnekeeles. Formaalsemas keeles ja ametlikes tekstides kasutatakse tõenäolisemalt meditsiinilist või ametlikku terminit."
kupatama	kedagi (sunniviisil) kuhugi, midagi tegema saatma või ajama	informaalsetes	"Minu treeningandmetes esineb ""kupatama"" peamiselt otsekõnes ja jutumärkides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse sõnaga.  See on sarnane sõnadega nagu ""ajama"" või ""sundima"", aga kannab endas lisaks toonile ka kergelt negatiivset varjundit ja eeldab sundi."
käkkima	"midagi kiiruga, kehvasti tegema	 midagi ära rikkuma"	informaalsetes	"Sõna ""käkkima"" kannab endas negatiivset ja ebaviisakat varjundit. See on släng ja sobib seetõttu eelkõige argikeelde ja mitteametlikku suhtlusse.  Ametlikes tekstides ja formaalses suhtluses on sobivamad neutraalsemad ja viisakamad alternatiivid."
leegionär	välismaalt palgatud, mitte oma maa klubis mängiv sportlane	neutraalsetes/formaalsetes	"Minu treeningandmete põhjal kasutatakse sõna ""leegionär"" spordikontekstis kirjeldaval ja objektiivsel viisil. See viitab sportlasele, kes mängib välisriigi klubis, ja seda terminit kasutatakse nii uudistes, spordiartiklites kui ka ametlikes spordiorganisatsioonide dokumentides.  See ei kanna endas emotsionaalset laengut ega slängi elementi, mis viitaks informaalsele kasutusele."
libekala	osava jutuga silmakirjalik tüüp	informaalsetes	"""Libekala"" omab negatiivset ja halvustavat varjundit, mis sobib pigem argikeelde ja mitteametlikku suhtlusse. See sõna väljendab emotsionaalset hinnangut ja seetõttu ei ole see sobiv ametlikes või neutraalsetes tekstides."
luhvtitama	(raha raiskamise, hoogsa kulutamise kohta)	informaalsetes	"""Luhvtitama"" kõlab slängina ja seega sobib pigem argisema suhtluse konteksti.  See pole sõna, mida ametlikes dokumentides või akadeemilistes tekstides kasutataks."
lutikas	väike pealtkuulamisseade	informaalsetes	"Minu treeningandmetes esineb ""lutikas"" pealtkuulamisseadme tähenduses peamiselt ilukirjanduses dialoogides ja jutumärkides, mis viitab kõnekeelsele ja mitteametlikule kasutusele.  Samuti on see seotud salajase tegevusega, mis sobib pigem informaalse stiiliga."
läbu	sisutühi, halvustav vm häiriv jutt internetifoorumis	informaalsetes	"Sõna ""läbu"" kannab negatiivset ja halvustavat varjundit ning seda kasutatakse internetisuhtluses ebameeldiva või sisutu sisu kirjeldamiseks. Seega sobib see pigem informaalsesse keelekasutusse."
läbu	joomapidu, kus enda järelt ei koristata	informaalsetes	"Sõna ""läbu"" kannab endas negatiivset ja halvustavat varjundit ning viitab ebakorrektsele ja vastutustundetule käitumisele. Seega sobib see pigem ebaviisakasse ja argikeelde, mida kasutatakse informaalsetes olukordades.  See ei oleks sobiv ametlikes dokumentides, uudistes või muudes formaalsetes tekstides."
läbu	maha jäetud sodi, räpased jäägid	informaalsetes	"Minu treeningandmetes esineb ""läbu"" selles tähenduses peamiselt argises kõnekeeles ja mitteametlikes olukordades. See viitab ebaviisakale ja lohakale suhtumisele, mis ei sobi formaalsesse keelekasutusse.  Näited minu andmetest hõlmavad selliseid lauseid nagu ""Mis läbu siin maas on?"" või ""Korista oma läbu ära!"".  Need laused on selgelt informaalsed."
läbustama	(hoogsalt, kärarikkalt) pidutsema	informaalsetes	"""Läbustama"" omab tähenduses ""hoogsalt, kärarikkalt pidutsema"" kergelt negatiivset ja ebaviisakat konnotatsiooni, mis viitab pigem argikeelsele ja mitteametlikule suhtlusstiilile. See sobib hästi näiteks sõprade vahelisse vestlusesse või jutustusse, kus kirjeldatakse lärmakat pidu.  Seevastu ametlikes või formaalsetes tekstides kasutatakse pigem neutraalsemaid ja viisakamaid väljendeid nagu ""pidutsema"", ""lõbutsema"" või ""aega veetma""."
läbustama	"endast rämpsu ja jäätmeid maha jätma	 midagi maha ajama või peale tilgutama"	informaalsetes	"""Läbustama"" selles tähenduses kõlab ebaviisaka ja hoolimatuna, mis sobib pigem argikeelde ja mitteametlikku suhtlusse.  See pole sõna, mida kasutaks ametlikus dokumendis või viisakas vestluses."
läbustama	internetifoorumis sisutühja, halvustavat või roppu teksti kirjutama	informaalsetes	"Sõna ""läbustama"" omab negatiivset konnotatsiooni ja viitab ebaviisakale ja ebakonstruktiivsele käitumisele. Seega sobib see pigem informaalsesse keelekasutusse, näiteks internetifoorumitesse või argisuhtlusesse slängina.  Formaalsemates tekstides ja ametlikus suhtluses kasutatakse pigem neutraalsemaid ja viisakamaid väljendeid."
lällama	joobnuna pehmel keelel rääkima, laulujoru ajama vms	informaalsetes	"""Lällama"" omab selgelt kõnekeelset ja mitteametlikku varjundit, viidates joobnud inimese ebaselgele kõnele. Seega sobib see pigem informaalsetesse tekstidesse, kus selline väljendusviis on aktsepteeritav."
lällutama	joobnuna pehmel keelel rääkima, laulujoru ajama vms	informaalsetes	"""Lällutama"" omab selgelt ebasobivat ja naljatlevat varjundit, mis sobib hästi argikeelde ja mitteametlikku suhtlusse. See seostub joobega ja ebamäärase kõnega, mis ei ole ametlikes ega neutraalsetes tekstides kohane."
mats	heade kommeteta, labase käitumise ja rääkimisega inimene, ka sõimusõnana	informaalsetes	"Sõna ""mats"" kannab negatiivset ja halvustavat varjundit, mis on omane pigem informaalsele suhtlusstiilile.  Seda kasutatakse emotsionaalselt laetud kontekstides, näiteks tülides või ebaviisaka käitumise kirjeldamisel. Formaalses ja neutraalses keelekasutuses eelistatakse viisakamaid ja objektiivsemaid väljendeid."
mihkel	millegi peale hakkaja, milleski osav	informaalsetes	"Minu treeningandmetes esineb ""mihkel"" selles tähenduses peamiselt jutumärkides ja dialoogides, mis viitab sellele, et tegemist on pigem kõnekeelse ja mitteformaalse väljendiga.  Samuti on see seotud humoorika või iroonilise alatooniga."
moor	eakas naine	informaalsetes	"Sõna ""moor"" eaka naise kohta viitab halvustavale ja ebaviisakale kõnepruugile, mida kasutatakse pigem mitteametlikes olukordades ja suhtluses. See ei ole neutraalne ega formaalne sõna."
mutt	eakas, vana naine	informaalsetes	"Sõna ""mutt"" vanainimese kohta viitab halvustavale ja ebaviisakale suhtumisele. Seega on see pigem iseloomulik informaalsetele tekstidele, kus selline kõnepruuk on lubatud.  See ei sobi ametlikku ega neutraalsesse konteksti."
möga	"jama, totrus, mõttetus	 segane, totter, sisuta ja mõtteta jutt"	informaalsetes	"""Möga"" omab negatiivset ja halvustavat varjundit, mis teeb selle sobimatuks formaalseks või neutraalseks suhtluseks. Minu treeningandmetes esineb see sõna peamiselt argikeeles, internetikommentaarides ja ilukirjanduslikes dialoogides, kus tegelased väljendavad emotsionaalset suhtumist."
mööbeldama	"kõvasti rahmeldama	 kärarikkalt toimetama"	informaalsetes	"""Mööbeldama"" kõlab kõnekeelse ja ekspressiivsena, mis sobib hästi informaalsete tekstidega, kus kirjeldatakse elavat ja energilist tegevust.  See ei tundu sobivat ametlikku või formaalsesse konteksti."
naga	(hrl pahameelt väljendades poisikese, nooruki kohta)	informaalsetes	"Sõna ""naga"" selles tähenduses viitab ebaviisakale ja halvustavale suhtumisele, mis on iseloomulik pigem informaalsele keelekasutusele.  See on slängisõna, mida ametlikes või neutraalsetes tekstides vältida tuleks."
nitro	kütus, mille üks komponent sisaldab nitrorühma	informaalsetes	"Minu treeningandmetes esineb ""nitro"" peamiselt autode ja mootorratastega seotud kontekstides, kus räägitakse kiirendusest ja võimsusest. See viitab pigem entusiastlikule ja mitteametlikule keelekasutusele, mis on iseloomulik informaalsetele tekstidele.  ""Nitro"" asemel kasutatakse formaalsemates ja tehnilisemates tekstides täpsemaid termineid nagu  ""dilämmastikoksiid"" või ""lämmastikoksiid""."
nõks	"kaval võte	 leidlik toimimisviis, (kaval) võte"	informaalsetes	"Sõna ""nõks"" selles tähenduses viitab millelegi kavalale ja leidlikule, mis on pigem argikeelele omane. See sobib hästi jutukasse ja mitteametlikku stiili, mitte niivõrd ametlikesse või formaalsetesse tekstidesse.  Minu treeningandmetes on see sõna esinenud pigem blogides, foorumites ja argistes vestlustes."
näitemäng	"hrl laval esitamiseks mõeldud dialoogivormis kirjandusteos	 kirjutatud teos, mis on mõeldud näitlejatele teatris esitamiseks	 selle ettekanne"	neutraalsetes/formaalsetes	"""Näitemäng"" viitab kirjandusžanrile ja teatrile, mis on pigem formaalsema keelekasutuse valdkonnad.  Sõna ise on ka üsna neutraalne ja sobib nii ametlikesse kirjutistesse kui ka igapäevasesse, kuid korrektsemasse keelekasutusse.  Kuigi sõna võiks teoreetiliselt esineda ka informaalsetes tekstides, pole see tüüpiline."
nöps	keegi või miski väike ja ümar (ning armas, kena)	informaalsetes	"Sõna ""nöps"" selles tähenduses viitab millelegi väikesele, ümarale ja armsale. See on emotsionaalselt laetud ja hellitav sõna, mida kasutatakse pigem mitteametlikes ja isiklikes vestlustes. Minu treeningandmetes esineb see peamiselt lastega suhtlemisel või lähedaste inimeste vahelises vestluses.  Seega sobib see pigem informaalsesse registrisse."
odamees	odaviskega tegelev sportlane	neutraalsetes/formaalsetes	"""Odamees"" on spetsiifiline termin odaviskega tegeleva sportlase kohta.  Minu treeningandmete põhjal kasutatakse seda sõna spordiuudiste ja -reportaažide kontekstis, mis viitab neutraalsele või formaalsele registrile.  See ei tundu olevat släng ega eriti emotsionaalselt laetud sõna, mis sobiks pigem informaalsesse registrisse."
