"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"
"põrutama"	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	"informaalsetes"	"Sõna ""põrutama"" tähenduses ""löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima, tugevasti lööma, tugevat hoopi andma"" kannab endas tugevat ja otsest tegevust, mis on sageli seotud kõnekeelse ja mitteametliku suhtlusega. Sellised väljendid on tavaliselt levinud igapäevases kõnes, vestlustes ja mitteametlikes tekstides, nagu blogid, foorumid ja sotsiaalmeedia postitused, kus kasutatakse elavat ja kujundlikku keelt. Formaalsetes tekstides eelistatakse sageli neutraalsemaid ja täpsemaid väljendeid."
"ribi"	"rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge"	"neutraalsetes/formaalsetes"	"Sõna ""ribi"" kasutatakse anatoomilises kontekstis, viidates konkreetsele kehaosale. Sellised terminid on tavaliselt levinud neutraalsetes ja formaalsetes tekstides, nagu meditsiinilised artiklid, õpikute tekstid ja teaduslikud arutelud, kus täpsus ja selgus on olulised. Informaalsetes tekstides võidakse kasutada rohkem kõnekeelseid või lihtsustatud väljendeid."
"kargama"	"(riigist, vangistusest, kinnipidamisasutusest vm) põgenema"	"informaalsetes"	"Sõna ""kargama"" tähenduses ""(riigist, vangistusest, kinnipidamisasutusest vm) põgenema"" on pigem slängilik ja kõnekeelne väljend, mida kasutatakse tihti mitteametlikes kontekstides. Selline väljend sobib hästi igapäevasesse kõnepruuki, näiteks sõpradevahelistesse vestlustesse, sotsiaalmeediasse või foorumitesse, kuid ametlikes dokumentides või formaalsetes tekstides eelistatakse tõenäoliselt neutraalsemaid väljendeid nagu ""põgenema"" või ""lahkuma""."
"kargama"	"suguakti sooritama (isasloomade, ka mehe kohta)"	"informaalsetes"	"Sõna ""kargama"" tähenduses ""suguakti sooritama"" on üsna otsene ja võib-olla isegi vulgaarne, mistõttu on tõenäolisem, et seda kasutatakse pigem mitteametlikes kontekstides nagu vestlused, blogid või foorumid. Selline sõnakasutus ei sobi hästi neutraalsetesse või formaalsetesse tekstidesse, kus eelistatakse tavaliselt viisakamat ja neutraalsemat keelt."
"kits"	"inimene, kes teis(t)e peale kaebab või teise(d) üles annab"	"informaalsetes"	"Sõna ""kits"" tähenduses ""inimene, kes teiste peale kaebab või teised üles annab"" on slängi või kõnekeele väljend, mida kasutatakse pigem mitteametlikes olukordades. Selline väljend on tõenäolisemalt kasutusel noorte seas, sotsiaalmeedias, foorumites või igapäevases vestluses, kus keelekasutus on vabam ja vähem formaalne. Neutraalses või formaalses kontekstis eelistatakse tõenäoliselt täpsemaid ja ametlikumaid väljendeid nagu ""kaebaja"" või ""informeerija""."
"paralleel"	"üks kooli sama astme klassidest"	"neutraalsetes/formaalsetes"	"Sõna ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" on haridussüsteemiga seotud termin, mida kasutatakse sageli ametlikes ja hariduslikel teemadel, nagu koolide dokumentatsioon, õppekavad ja õpetajate arutelud. Selline kontekst eeldab tavaliselt neutraalset või formaalset keelekasutust, kuna see puudutab institutsionaalseid ja struktuurseid teemasid."
"sisse ajama"	"palju või ahnelt sööma või jooma"	"informaalsetes"	"Väljend ""sisse ajama"" tähenduses ""palju või ahnelt sööma või jooma"" on oma olemuselt kõnekeelne ja veidi familiaarne, mis sobib pigem igapäevasesse kõnepruuki. Selliseid väljendeid kasutatakse sageli mitteametlikes olukordades, nagu sõpradevahelised vestlused, sotsiaalmeedia postitused või foorumid, kus keelekasutus on vabam ja vähem formaalne. Neutraalses või formaalses kontekstis eelistatakse tavaliselt täpsemat ja neutraalsemat sõnavara."
"kärakas"	"viin vm hrl kangem alkohoolne jook"	"informaalsetes"	"Sõna ""kärakas"" kasutatakse sageli kõnekeeles ja see on seotud lõdva, mitteametliku suhtlemisega. Seda tüüpi väljendid on tavalised sõpradevahelistes vestlustes, sotsiaalmeedias ja muudes mitteametlikes kontekstides, kus kasutatakse vabamat keelekasutust. Neutraalsetes või formaalsetes tekstides eelistatakse tõenäoliselt neutraalsemaid termineid nagu ""viin"" või ""alkohoolne jook""."
"luhvt"	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	"informaalsetes"	"Sõna ""luhvt"" on kõnekeelne ja seda kasutatakse pigem igapäevastes vestlustes ja mitteametlikes kontekstides. Sellised sõnad on tavaliselt levinud suulises kõnes, sotsiaalmeedias, blogides ja foorumites, kus keelekasutus on vabam ja vähem formaalne. Formaalsetes tekstides, nagu teadusartiklid või ametlikud dokumendid, eelistatakse tõenäoliselt täpsemaid ja standardsemaid termineid, nagu ""lõhn""."
"luhvt"	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	"informaalsetes"	"Sõna ""luhvt"" on slängi või kõnekeele väljend, mida kasutatakse mitteametlikes olukordades. See ei ole standardne termin atmosfääri või õhu kohta ning seetõttu esineb pigem igapäevases kõnepruugis, näiteks sõprade vahelises vestluses, sotsiaalmeedias või muudes mitteametlikes kontekstides. Neutraalses või formaalses tekstis kasutatakse tõenäolisemalt sõna ""õhk"" või ""atmosfäär""."
"peale minema"	"meeldima, sobima"	"informaalsetes"	"Väljend ""peale minema"" tähenduses ""meeldima, sobima"" on pigem kõnekeelne ja seda kasutatakse tihti igapäevastes vestlustes, sotsiaalmeedias ja muudes mitteametlikes kontekstides. See väljend ei ole tavapärane neutraalsetes või formaalsetes tekstides, kus eelistatakse kasutada täpsemaid ja ametlikumaid väljendeid."
"pooletoobine"	"väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel"	"informaalsetes"	"Sõna ""pooletoobine"" kannab endas hinnangulist ja veidi halvustavat varjundit, mis on iseloomulik informaalsetele tekstidele. Seda tüüpi väljendid on tavaliselt levinud kõnekeeles, kus kasutatakse värvikamaid ja otsesemaid väljendeid, et kirjeldada inimesi või olukordi. Formaalsetes ja neutraalsetes tekstides eelistatakse tavaliselt neutraalsemaid ja vähem hinnangulisi väljendeid."
"putk"	"karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus"	"informaalsetes"	"Sõna ""putk"" kasutatakse sageli igapäevases kõnekeeles ja mitteametlikes kontekstides, et viidata karuputkele ja sarnastele taimedele. Selline lühendatud ja lihtsustatud terminoloogia on iseloomulik mitteametlikule suhtlusele, kus täpsus ja teaduslikkus ei ole esmatähtsad. Formaalsetes tekstides, nagu teadusartiklid või ametlikud dokumendid, eelistatakse tõenäoliselt täpsemaid ja spetsiifilisemaid termineid."
"sell"	"(mehe kohta)"	"informaalsetes"	"Sõna ""sell"" mehe kohta on pigem kõnekeelne ja seda kasutatakse tihti mitteametlikus kontekstis, näiteks vestlustes, blogides või sotsiaalmeedias. See ei ole tavapärane sõna formaalsetes või ametlikes tekstides, kus eelistatakse neutraalsemaid ja täpsemaid termineid."
"sitt"	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	"informaalsetes"	"Sõna ""sitt"" on kõnekeelne ja sageli peetakse seda vulgaarseks või ebaviisakaks väljendiks, mistõttu kasutatakse seda peamiselt mitteametlikes olukordades, nagu sõpradevahelised vestlused, sotsiaalmeedia postitused või foorumid. Formaalsetes ja neutraalsetes tekstides eelistatakse tavaliselt kasutada sõnu nagu ""väljaheide"" või ""sõnnik""."
"sott"	"(rahaline) arvestus, arvepidamine millegi kohta"	"informaalsetes"	"Sõna ""sott"" kasutatakse sageli kõnekeeles ja mitteametlikes olukordades, et viidata rahalisele arvestusele või arvepidamisele. See väljend on pigem slängilik ja seda võib kohata vestlustes, kus inimesed räägivad igapäevastest rahalistest asjadest mitteametlikus toonis. Formaalsetes või neutraalsetes tekstides eelistatakse tõenäoliselt täpsemaid ja ametlikumaid termineid nagu ""arvestus"" või ""arvepidamine""."
"suts"	"lühiajaline sooritus, eriti väike teatri- või filmiroll"	"informaalsetes"	"Sõna ""suts"" oma tähenduses ""lühiajaline sooritus, eriti väike teatri- või filmiroll"" on pigem slängilik ja kõnekeelne väljend. Seda kasutatakse sageli mitteametlikes kontekstides, nagu vestlused, blogid või sotsiaalmeedia postitused, kus keelekasutus on vabam ja vähem formaalne. Formaalsetes tekstides eelistatakse tavaliselt täpsemaid ja neutraalsemaid väljendeid."
"vurts"	"hoog, energia"	"informaalsetes"	"Sõna ""vurts"" tähenduses ""hoog, energia"" on kõnekeelne ja seda kasutatakse sageli mitteametlikes olukordades, näiteks sõpradevahelises vestluses või mitteametlikes kirjutistes nagu blogid ja sotsiaalmeedia postitused. Selline väljend on tavaliselt seotud elava ja energilise suhtlemisega, mis on iseloomulik informaalsetele tekstidele."
"kah"	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	"informaalsetes"	"Sõna ""kah"" kasutatakse eesti keeles sageli kõnekeelsetes ja mitteametlikes olukordades, näiteks vestlustes, sotsiaalmeedias ja foorumites. See on lühendatud ja lihtsustatud vorm sõnast ""ka"", mis on neutraalsem ja formaalsem. ""Kah"" lisab lausele tihti kõnekeelse ja mitteametliku tooni, mistõttu on see pigem levinud informaalsetes tekstides."
