"Katsesõna","Tähendus","vastus","põhjendus"
"põrutama","löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima, tugevasti lööma, tugevat hoopi andma","informaalsetes","Sõna ""põrutama"" antud tähenduses kannab sageli emotsionaalset või rõhutatud varjundit, mis sobib pigem kõnekeelsesse või mitteametlikku konteksti. See ei ole tavapärane ametlikes või formaalsetes tekstides, kus eelistatakse neutraalsemaid või täpsemaid väljendeid nagu ""lööma"", ""tabama"" või ""mõjutama"". Näiteks lausetes nagu ""Ta põrutas ukse kinni"" või ""Põrutas rusikaga lauale"" on sõna kasutuses kõnekeelne ja ekspressiivne toon, mis viitab pigem informaalsele keelekasutusele."
"ribi","rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge","neutraalsetes","Sõna ""ribi"" antud tähenduses on anatoomiline termin, mida kasutatakse nii igapäevases keeles kui ka meditsiinilistes ja teaduslikes kontekstides. See ei ole seotud kindla registri ega stiiliga, vaid on neutraalne, sobides kasutamiseks nii formaalsetes kui ka informaalseks olukordades. Näiteks võib seda kohata nii arsti jutust (""Üks ribi on murdunud"") kui ka tavavestluses (""Löök ribidesse tegi valu""). Seetõttu ei ole vajadust lisada registrimärgendit, kuna sõna kasutus ei ole piiratud kindla keelelis-stiililise tasandiga."
"kargama","(riigist, vangistusest, kinnipidamisasutusest vm) põgenema","informaalsetes","Sõna ""kargama"" kasutamine tähenduses ""põgenema"" (nt riigist või vangistusest) on pigem kõnekeelne ja mitteametlik. See kannab sageli emotsionaalset või kujundlikku varjundit ning ei ole tavapärane ametlikes või formaalsetes kontekstides, kus eelistatakse neutraalsemaid või täpsemaid väljendeid nagu ""põgenema"" või ""evakueeruma"". Sõna ""kargama"" võib esineda argivestlustes või ilukirjanduses, kuid mitte ametlikes dokumentides või uudistekstides."
"kargama","suguakti sooritama (isasloomade, ka mehe kohta)","informaalsetes","Sõna ""kargama"" kasutamine tähenduses ""suguakti sooritama"" on pigem kõnekeelne ja mitteametlik, kuna see võib kanda kaudset või slängilikku varjundit, eriti inimeste kohta kasutades. Formaalses või neutraalses kontekstis eelistatakse täpsemaid ja vähem emotsionaalseid väljendeid, nagu ""paaritumine"" loomade puhul või meditsiinilisi termineid inimeste kohta. Seetõttu sobib see sõna pigem informaalsetesse tekstidesse või kõnekeelde."
"kits","inimene, kes teis(t)e peale kaebab või teise(d) üles annab","informaalsetes","Sõna ""kits"" tähenduses ""inimene, kes teiste peale kaebab või üles annab"" on kõnekeelne ja pigem halvustava varjundiga. See ei ole neutraalne ega formaalne väljend, vaid pigem kasutatav igapäevases, mitteametlikus suhtluses, näiteks sõprade vahel või emotsionaalses kontekstis. Formaalses või ametlikes tekstides kasutatakse selle asemel pigem neutraalseid või täpseid termineid, nagu ""kaebaja"" või ""informant"". Seetõttu sobib sellele sõnale registrimärgend ""informaalne""."
"paralleel","üks kooli sama astme klassidest","informaalsetes","Sõna ""paralleel"" tähenduses ""üks kooli sama astme klassidest"" (nt ""meie paralleel"") on kasutusel pigem kõnekeeles ja mitteametlikes kontekstides, näiteks õpilaste omavahelises suhtluses. See ei ole tavapärane ametlikes dokumentides või formaalsetes tekstides, kus eelistatakse täpsemaid ja neutraalsemaid väljendeid nagu ""klass"" või ""klassikomplekt"". Seetõttu sobib sellele sõnale registrimärgend ""informaalne""."
"sisse ajama","palju või ahnelt sööma või jooma","informaalsetes","Väljend ""sisse ajama"" tähenduses ""palju või ahnelt sööma või jooma"" on kõnekeelne ja pigem argine. See ei sobi ametlikesse või formaalsetesse kontekstidesse, kuna kannab endas emotsionaalset või hinnangulist varjundit ning võib tunduda liiga otsekohene või labane. Neutraalsetes tekstides eelistatakse täpsemaid ja formaalsemaid väljendeid, nagu ""palju sööma"" või ""ahnelt tarbima"". Seetõttu sobib see väljend pigem vabamas, sõbralikus või argises suhtluses, mis viitab informaalsetele kontekstidele."
"kärakas","viin vm hrl kangem alkohoolne jook","informaalsetes","Sõna ""kärakas"" on kõnekeelne ja pigem slängiväljend, mida kasutatakse igapäevases, vabas suhtluses. See ei sobi ametlikesse või formaalsetesse kontekstidesse, kuna kannab endas familiaarset ja kohati naljakat või kergemeelset tooni. Neutraalsetes tekstides eelistatakse pigem sõnu nagu ""viin"" või ""alkohoolne jook"". Seetõttu on sobiv lisada registrimärgend, mis viitab sõna kasutamisele informaalses keeles."
"luhvt","aine omadus, mida sa tunned nina kaudu, paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)","informaalsetes","Sõna ""luhvt"" on eesti keeles pigem kõnekeelne ja mitteametlik väljend lõhna või haisu tähistamiseks. See ei ole neutraalne ega formaalne termin, nagu näiteks ""lõhn"" või ""aroom"", mida kasutatakse ametlikes ja kirjakeelsetes kontekstides. ""Luhvt"" kannab sageli emotsionaalset või argist varjundit, mistõttu sobib see pigem vabas, sõbralikus või familiaarses suhtluses."
"luhvt","Maad ümbritsev gaaside segu, mida me hingame, maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas","informaalsetes","Sõna ""luhvt"" on eesti keeles pigem kõnekeelne ja mitteametlik väljend õhu tähenduses. See ei ole tavapärane termin ametlikes või teaduslikes tekstides, kus kasutatakse sõna ""õhk"". ""Luhvt"" võib esineda pigem igapäevases kõnes või naljatlevas kontekstis, mistõttu sobib see kasutamiseks informaalsetes tekstides."
