katsesõna;valimisse_sai_märgendiga;ÜSis_tähendusi_kokku;ÜSis_tähenduste_küljes_olevad_ja_õigeks_loetavad_märgendid;SkE_2023_sagedus;vektoriseerimine;korp_tähenduse_nr;korp_tähendus;korp_koond_tähendus_olemas_ja_adekvaatne;korp_tähenduste_arv_kokku;korps_sagedus;korp_näited;korp_tekstiregister;korp_registri_adekvaatsus;korp_registri_põhjendus;korp_registri_kindlus;korp_märgend;korp_märgendi_adekvaatsus;korp_märgendi_põhjendus;treening_tähenduse_nr;treening_tähendus;treening_koond_tähendus_olemas_ja_adekvaatne;treening_tähenduste_arv_kokku;treening_sagedus;treening_näited;treening_tekstiregister;treening_registri_adekvaatsus;treening_registri_põhjendus;treening_registri_kindlus;treening_märgend;treening_märgendi_adekvaatsus;treening_märgendi_põhjendus
idioot;halvustav;2;muu täh vananenud;36060;jah;1;meditsiiniline/vaimse alaarengu tähendus;jah;3;vähene;4 aastase lapse tasemel olev täiskasvanu. | Idioot on täiesti konkreetne meditsiiniline termin, mis tähistab et inimese IQ on alla 20, geeniusel aga ... | Idiootia ehk idiootsus ehk idiotism on traditsioonilises psühhiaatrias vaimse alaarengu sügavaim vorm. | Juriidilisest aspektist on idioot piiratud teovõimega, kuna ta ei saa aru oma tegude tähendusest ega ole võimeline neid juhtima. | Lühidalt, idioot on inimene, kelle areng jääb paari aastase lapse tasemele.;neutraalsetes/formaalsetes;jah;Meditsiiniline tähendus esineb peamiselt entsüklopeedilistes ja selgitavates tekstides, kus defineeritakse termini teaduslik sisu. Kasutatakse neutraalses toonis faktide esitamiseks. Leidub ka aruteludes, kus selgitatakse sõna algupärast tähendust. Puuduvad emotsionaalsed või ekspressiivsed markerid. Kontekst on sageli hariv või informatiivne.;väga kindel;vananenud;jah;Meditsiinilise terminina on sõna vananenud, kuna tänapäeva meditsiinis ja eripedagoogikas on sellest loobutud stigmatiseeriva mõju tõttu. Tekstides mainitakse korduvalt, et termin on aegunud. ;1;meditsiiniline termin vaimse alaarengu kohta;jah;2;vähene;Varasemas meditsiinilises klassifikatsioonis eristati idioote, imbeetsille ja debiilseid. | 19. sajandi psühhiaatrias kasutati terminit idioot kindla diagnoosina. | Idioodi mõiste tähistab ajalooliselt sügava vaimupuudega inimest. | Meditsiinilises kirjanduses on idioot vananenud termin. | Tänapäeval ei kasutata enam terminit idioot meditsiinilises kontekstis.;neutraalsetes/formaalsetes;jah;Meditsiinilises tähenduses esineb sõna peamiselt ajaloolistes, teadusajaloolistes või hariduslikel eesmärkidel kirjutatud tekstides. See on neutraalne termin, kui seda kasutatakse ajaloolise meditsiinilise mõistena. Tänapäeval on see küll vananenud, kuid ajaloolises kontekstis säilitab neutraalse tooni. Sõna esineb teadustekstides, entsüklopeediates ja meditsiiniajaloo käsitlustes. Register on formaalne või neutraalne, sest tegemist on terminiga, mitte emotsionaalse väljendusega.;väga kindel;vananenud;jah;Meditsiinilises tähenduses on termin tänapäeval vananenud ja seda ei kasutata enam kaasaegses meditsiinis ega psühholoogias. See kuulub ajaloolisse terminoloogiasse ja on asendatud täpsemate ja vähem stigmatiseerivate terminitega. Sõna kasutamine meditsiinilises kontekstis piirdub ajalooliste tekstide tsiteerimise või meditsiiniajaloo käsitlemisega. Tänapäeva meditsiinis peetakse seda ebakorrekteks ja sobimatuks. Termin on säilinud ainult ajaloolise konteksti jaoks.
;;;;;;1;meditsiiniline/vaimse alaarengu tähendus;;3;vähene;Idioot on vaimselt 3-4 aastase lapse tasemel olev täiskasvanu. | Idioot on täiesti konkreetne meditsiiniline termin, mis tähistab et inimese IQ on alla 20, geeniusel aga ... | Idiootia ehk idiootsus ehk idiotism on traditsioonilises psühhiaatrias vaimse alaarengu sügavaim vorm. | Juriidilisest aspektist on idioot piiratud teovõimega, kuna ta ei saa aru oma tegude tähendusest ega ole võimeline neid juhtima. | Lühidalt, idioot on inimene, kelle areng jääb paari aastase lapse tasemele.;neutraalsetes/formaalsetes;;Meditsiiniline tähendus esineb peamiselt entsüklopeedilistes ja selgitavates tekstides, kus defineeritakse termini teaduslik sisu. Kasutatakse neutraalses toonis faktide esitamiseks. Leidub ka aruteludes, kus selgitatakse sõna algupärast tähendust. Puuduvad emotsionaalsed või ekspressiivsed markerid. Kontekst on sageli hariv või informatiivne.;väga kindel;harv;jah;Esineb harva, peamiselt selgitavas kontekstis. Asendatud tänapäevastes tekstides neutraalsemate terminitega. Kasutatakse peamiselt ajaloolises või selgitavas võtmes.;2;rumal või arutu inimene;jah;2;sage;Sa oled täielik idioot, kui arvad, et see plaan töötab! | Ära ole idioot, mõtle enne järele! | See idioot sõitis punase tulega üle. | Ma tunnen end idioodina, et ma teda uskusin. | Ainult idioot teeks midagi nii rumalat.;informaalsetes;jah;"Rumaluse või arutuse tähenduses on sõna selgelt informaalne ja emotsionaalselt laetud. Seda kasutatakse peamiselt kõnekeeles, argivestlustes ja mitteametlikes tekstides. Sõna on tugev solvang ja seda välditakse formaalsetes tekstides. See esineb sageli emotsionaalsetes väljaütlemistes, vihases kõnes või frustratsioonist tingitud reaktsioonides. Formaalsetes tekstides kasutatakse selle asemel neutraalsemaid väljendeid nagu ""arutu"", ""mõtlematu"" või ""ebamõistlik"".";väga kindel;halvustav;jah;Rumaluse tähenduses on sõna selgelt halvustav, sest see on mõeldud kellegi intelligentsuse või mõistusvõime mahategemiseks. See on tugev solvang, mis väljendab põlgust või viha. 
;;;;;;2;rumal/totter/taipamatu inimene (sõimusõna);jah;3;sage;Oh ma igavene idioot! | Oled idiootide idioot, et ennast pehmeks rääkida lasksid. | Sa oled idioot - selle sõna kõige parimas tähenduses! | Idioot on siuke inimene, kelle mõtlemisprotsessid ei sobi mulle. | Ääretult kena. 'Julgen ikka.' Idioot. Idioot. Idioot.;informaalsetes;jah;Sõimusõna tähendus domineerib selgelt informaalsetes tekstides nagu foorumid, blogid ja kommentaarid. Kasutatakse emotsionaalses kontekstis, sageli hüüatustega ja korduvalt. Esineb vaidlustes, tülides ja isiklikes pöördumistes. Stiil on kõnekeelne, sageli grammatiliselt lihtsustatud. Puudub formaalne distants.;väga kindel;halvustav;jah;Selgelt halvustav kasutus domineerib materjalis. Kasutatakse teiste inimeste solvamiseks, mahategemiseks ja laitimiseks. ;2;rumal või arutu inimene;;2;sage;Sa oled täielik idioot, kui arvad, et see plaan töötab! | Ära ole idioot, mõtle enne järele! | See idioot sõitis punase tulega üle. | Ma tunnen end idioodina, et ma teda uskusin. | Ainult idioot teeks midagi nii rumalat.;informaalsetes;;"Rumaluse või arutuse tähenduses on sõna selgelt informaalne ja emotsionaalselt laetud. Seda kasutatakse peamiselt kõnekeeles, argivestlustes ja mitteametlikes tekstides. Sõna on tugev solvang ja seda välditakse formaalsetes tekstides. See esineb sageli emotsionaalsetes väljaütlemistes, vihases kõnes või frustratsioonist tingitud reaktsioonides. Formaalsetes tekstides kasutatakse selle asemel neutraalsemaid väljendeid nagu ""arutu"", ""mõtlematu"" või ""ebamõistlik"".";väga kindel;kõnekeelne;jah;Sõna on ka kõnekeelne, sest seda kasutatakse peamiselt mitteametlikus suhtluses ja argikeeles. Formaalsetes tekstides välditakse seda sõna ja kasutatakse neutraalsemaid väljendeid. Sõna emotsionaalne laetus ja solvav iseloom muudavad selle sobimatuks ametlikus keelekasutuses.
;;;;;;2;rumal/totter/taipamatu inimene (sõimusõna);;3;sage;Oh ma igavene idioot! | Oled idiootide idioot, et ennast pehmeks rääkida lasksid. | Sa oled idioot - selle sõna kõige parimas tähenduses! | Idioot on siuke inimene, kelle mõtlemisprotsessid ei sobi mulle. | Ääretult kena. 'Julgen ikka.' Idioot. Idioot. Idioot.;informaalsetes;;Sõimusõna tähendus domineerib selgelt informaalsetes tekstides nagu foorumid, blogid ja kommentaarid. Kasutatakse emotsionaalses kontekstis, sageli hüüatustega ja korduvalt. Esineb vaidlustes, tülides ja isiklikes pöördumistes. Stiil on kõnekeelne, sageli grammatiliselt lihtsustatud. Puudub formaalne distants.;väga kindel;kõnekeelne;jah;Kõnekeelne register ilmneb mitteformaalsest sõnakasutusest, emotsionaalsetest hüüatustest ja lihtsast süntaksist. Esineb peamiselt suulise kõne imitatsioonis. Sageli korduv ja intensiivistav kasutus. Puudub formaalne distants või viisakus.;;;;;;;;;;;;;
;;;;;;3;kirjandusteose nimetus;ei;3;vähene;Idioot on Fjodor Dostojevski romaan|15. Fyodor M. Dostojevski: Idioot|Dostojevski romaani kohta vaata artiklit Idioot (Dostojevski)|Dostojevski, Fjodor 1975. Idioot. Tlk. Marta Sillaots.|D o s t o j e v s k i , F j o d o r 1975 [1869]. Idioot. (Varamu).;neutraalsetes/formaalsetes;ei;Kirjandusteose nimetusena esineb bibliograafilistes viidetes ja kultuuritekstides. Kasutatakse neutraalses, informatiivses kontekstis. Puudub emotsionaalne laeng. Esitatud faktiliselt ja entsüklopeediliselt. Sobib akadeemilisse ja kultuurilisse diskursusesse.;väga kindel;ei kohaldu;ei;ei kohaldu;;;;;;;;;;;;;
kobima;halvustav;2;muu täh kõnekeelne;8991;jah;1;(aeglaselt, kohmakalt) liikuma, minema, tõusma;jah;3;sage;Mehed kobisid trepist üles. | Õhtul kobisid vanamehed kokku kaarte mängima. | Kobis oma asjad kokku ja läks. | Taat kobis toolilt üles ja läks välja. | Kobi sinna, kust sa tulid!;informaalsetes;jah;Sõna esineb valdavalt kõnekeelsetes kontekstides nagu blogid, foorumid ja argivestlused. Kasutus on selgelt mitteformaalne, sageli käskivas kõneviisis imperatiivis. Tekstid on emotsionaalsed ja vahetu stiili. Puuduvad formaalsed või ametlikud tekstid. Domineerib argikeel ja suhtlussituatsioonid on mitteametlikud.;väga kindel;kõnekeelne;jah;Sõna kasutatakse valdavalt mitteformaalses suhtluses, blogides, foorumites ja argivestlustes. Sageli esineb imperatiivis halvustava varjundiga käskudes. Iseloomulik argikeelele ja kõnekeelele. Puudub ametlikes tekstides. Selgelt kõnekeelne register.;1;kompima, katsuma, sõrmedega uurivalt puudutama;jah;3;sage;Ta kobis pimedas seina, et lülitit leida. | Arst kobis patsiendi kõhtu, et valu asukohta määrata. | Laps kobis uudishimulikult mänguasja pinda. | Pime mees kobis käega üle raamatu lehekülje. | Ta kobis taskus, otsides võtmeid.;neutraalsetes/formaalsetes;jah;Esimene tähendus esineb nii ilukirjanduses kui ka meditsiinilistes ja teaduslikes tekstides. See on neutraalne väljend füüsilise puudutamise või kompimise kohta. Seda kasutatakse kirjeldamaks nii meditsiinilist läbivaatust kui ka igapäevast tegevust. Sõna on selles tähenduses stilistiliselt neutraalne ega kanna mingit emotsionaalset varjundit. See sobib kasutamiseks nii ametlikes kui ka mitteametlikes kontekstides.;väga kindel;ei kohaldu;jah;ei kohaldu
;;;;;;2;kompama, katsuma, kobama;jah;3;vähene;Kobib taskuid, taskud läbi. | sirutab käe ja kobib Marta mantli serva. | Kobib taskuid, taskud läbi. | sirutab käe ja kobib Marta mantli serva. | Kobib taskuid, taskud läbi.;ei kohaldu;jah;Liiga vähe tekstimaterjali registri kindlaks määramiseks. Olemasolevad näited ei võimalda teha kindlaid järeldusi kasutuskonteksti formaalsuse kohta. Materjal on ebapiisav. Näiteid on vaid kaks. Registri määramine pole võimalik.;väga ebakindel;harv;jah;Tekstimaterjalis on väga vähe näiteid selle tähenduse kohta. Ainult kaks näidet kogu materjalis. Kasutus on harv. Materjali vähesus viitab harva esinevale tähendusele. Vajaks märgendit harv.;2;otsima, sorima, tuhnima;ei;3;keskmine;Mari kobis kapis sobivat kleiti. | Poiss kobis mänguasjade kastis oma lemmikautot. | Ta kobis paberite vahel vajalikku dokumenti. | Ema kobis kotis rahakotti. | Lapsed kobisid kommikarbis meelepäraseid maiustusi.;informaalsetes;ei;"Teine tähendus on pigem kõnekeelne ja esineb sagedamini argikeeles. See väljendab otsimist või sorimist viisil, mis on vähem formaalne kui näiteks ""otsima"" või ""uurima"". Seda kasutatakse tihti koduste olukordade kirjeldamisel. Sõna kannab endas teatavat familiaarsust ja argipäevasust. Formaalsetes tekstides eelistatakse tavaliselt neutraalsemaid väljendeid nagu ""otsima"" või ""läbi vaatama"".";pigem kindel;kõnekeelne;ei;Tähendus on selgelt kõnekeelne, kuna seda kasutatakse peamiselt argisuhtluses ja mitteformaalsetes tekstides. See on vabama registri väljend, mis sobib pigem suulisse kõnesse kui ametlikesse dokumentidesse. Sõna kannab endas teatavat familiaarsust, mis on iseloomulik just kõnekeelele. Neutraalsemas keelekasutuses eelistatakse täpsemaid ja formaalsemaid väljendeid. See tähendus on levinud just argises suhtluses ja koduste olukordade kirjeldamisel.
;;;;;;3;nottima, koksama, tapma;jah;3;vähene;Poiss kobib kitse surnuks. |(Rohkem näiteid tekstis ei leidu);ei kohaldu;jah;Tekstimaterjalis on vaid üks näide murdekontekstis. Materjal on liiga piiratud registri määramiseks. Murdeline kontekst viitab küll rahvapärasele kasutusele, kuid ühe näite põhjal ei saa teha üldistusi. Registri määramine pole võimalik. Vajaks rohkem näiteid.;väga ebakindel;murdekeelne;jah;Esineb vaid murdekontekstis M. J. Eiseni tekstis. Selgelt murdekeelne kasutus. Väga piiratud esinemine tekstimaterjalis. Ainult üks näide. Murdekeelne ja harv tähendus.;3;aeglaselt või kohmakalt liikuma;jah;3;vähene;Vana mees kobis aeglaselt üle tänava. | Väsinud loom kobis metsa poole. | Ta kobis pimedas trepist üles. | Haige kobis voodist välja. | Laps kobis neljakäpakil mööda põrandat.;informaalsetes;jah;"Kolmas tähendus on selgelt kõnekeelne ja mitteformaalne. See kirjeldab aeglast, kohmakat liikumist viisil, mis on iseloomulik pigem suulisele kõnele. Seda kasutatakse harva ja peamiselt argikeeles või ilukirjanduses tegelaste liikumise kirjeldamisel. Formaalsetes tekstides kasutatakse pigem neutraalsemaid väljendeid nagu ""aeglaselt liikuma"" või ""lonkima"". Sõna kannab endas teatavat ekspressiivsust ja kujundlikkust.";pigem kindel;kõnekeelne;jah;"Märgend ""kõnekeelne"" sobib, kuna tähendust kasutatakse peamiselt mitteformaalsetes kontekstides ja argikeeles. See on ekspressiivne väljend, mis kirjeldab liikumist kujundlikult. "
;;;;;;3;nottima, koksama, tapma;;3;vähene;Poiss kobib kitse surnuks. |(Rohkem näiteid tekstis ei leidu);ei kohaldu;;Tekstimaterjalis on vaid üks näide murdekontekstis. Materjal on liiga piiratud registri määramiseks. Murdeline kontekst viitab küll rahvapärasele kasutusele, kuid ühe näite põhjal ei saa teha üldistusi. Registri määramine pole võimalik. Vajaks rohkem näiteid.;väga ebakindel;harv;jah;Esineb vaid murdekontekstis M. J. Eiseni tekstis. Selgelt murdekeelne kasutus. Väga piiratud esinemine tekstimaterjalis. Ainult üks näide. Murdekeelne ja harv tähendus.;3;aeglaselt või kohmakalt liikuma;;3;vähene;Vana mees kobis aeglaselt üle tänava. | Väsinud loom kobis metsa poole. | Ta kobis pimedas trepist üles. | Haige kobis voodist välja. | Laps kobis neljakäpakil mööda põrandat.;informaalsetes;;"Kolmas tähendus on selgelt kõnekeelne ja mitteformaalne. See kirjeldab aeglast, kohmakat liikumist viisil, mis on iseloomulik pigem suulisele kõnele. Seda kasutatakse harva ja peamiselt argikeeles või ilukirjanduses tegelaste liikumise kirjeldamisel. Formaalsetes tekstides kasutatakse pigem neutraalsemaid väljendeid nagu ""aeglaselt liikuma"" või ""lonkima"". Sõna kannab endas teatavat ekspressiivsust ja kujundlikkust.";pigem kindel;harv;ei;"Märgend ""harv"" on põhjendatud, kuna see tähendus esineb treeningandmetes vähe võrreldes teiste tähendustega. Seda kasutatakse spetsiifilistes kontekstides, peamiselt aeglase või kohmaka liikumise kirjeldamisel. Formaalsetes tekstides seda tähendust praktiliselt ei kohta, mis kinnitab selle kõnekeelsust ja harvust."
parasiit;halvustav;3;teised tähendused registrita;25031;jah;1;organism, kes elab teise organismi sees või peal ning toitub tema arvelt;jah;2;sage;Parasiit on organism, kes elab teise organismi, peremehe arvel. | Parasiit on organism, mis elab linnu sees või peal ja võtab oma toitu peremeesorganismist. | Parasiidid jaotatakse obligatoorseteks ja fakultatiivseteks ning välis- ja siseparasiitideks. | Parasiit kasutab peremeest kas ajutiselt (nt voodilutikas), perioodiliselt või kogu elu vältel ning kahjustab teda. | Parasiit on näiteks puuk või kaan, kes imeb verd oma peremeesorganismilt või lutikas või paeluss.;neutraalsetes/formaalsetes;jah;Seda tähendust kasutatakse peamiselt teaduslikes ja populaarteaduslikes tekstides, meditsiinilistes kontekstides ning õppematerjalides. Tekstides esineb palju terminoloogiat, definitsioonilisi lauseid ja faktipõhist informatsiooni. Keelekasutus on neutraalne ja informatiivne, puuduvad emotsionaalsed või hinnangulised väljendid. Esineb ametlikes allikates nagu meditsiinisõnastikes ja teadusartiklites.;väga kindel;ei kohaldu;jah;ei kohaldu;1;Organism, kes elab teise organismi kulul, toitudes tema kudedest või kehavedeikest;jah;2;sage;Puuk on ohtlik parasiit, kes võib levitada puukentsefaliiti ja borrelioosi. | Sooleparasiidid võivad põhjustada kõhuvalu ja seedehäireid. | Malaaria tekitaja on üherakuline parasiit, mis elab punalibledes. | Veterinaararst leidis koera karvkattelt kirpe ja teisi parasiite. | Parasiidid kohanevad evolutsiooni käigus oma peremeesorganismiga.;neutraalsetes/formaalsetes;jah;Bioloogiline tähendus on neutraalne teaduslik termin, mida kasutatakse meditsiinis, bioloogias ja veterinaarias. See esineb õpikutes, teadusartiklites ja ametlikes tekstides. Sõna pole selles tähenduses emotsionaalselt laetud ega hinnanguline. See on faktipõhine kirjeldus organismide vahelisest suhtest. Terminit kasutavad spetsialistid ja see on üldtunnustatud teaduslik mõiste.;väga kindel;ei kohaldu;jah;ei kohaldu
