katsesõna;valimisse_sai_märgendiga;ÜSis_tähendusi_kokku;ÜSis_tähenduste_küljes_olevad_ja_õigeks_loetavad_märgendid;SkE_2023_sagedus;vektoriseerimine;korp_tähenduse_nr;korp_tähendus;korp_koond_tähendus_olemas_ja_adekvaatne;korp_tähenduste_arv_kokku;korps_sagedus;korp_näited;korp_tekstiregister;korp_registri_adekvaatsus;korp_registri_põhjendus;korp_registri_kindlus;korp_märgend;korp_märgendi_adekvaatsus;korp_märgendi_põhjendus;treening_tähenduse_nr;treening_tähendus;treening_koond_tähendus_olemas_ja_adekvaatne;treening_tähenduste_arv_kokku;treening_sagedus;treening_näited;treening_tekstiregister;treening_registri_adekvaatsus;treening_registri_põhjendus;treening_registri_kindlus;treening_märgend;treening_märgendi_adekvaatsus;treening_märgendi_põhjendus
idioot;halvustav;2;halvustav;36060;jah;1;vaimse alaarenguga isik;jah;3;vähene;Idioot on vaimselt 3-4 aastase lapse tasemel olev täiskasvanu. | Idioot on täiesti konkreetne meditsiiniline termin, mis tähistab et inimese IQ on alla 20. | Idiootia ehk idiootsus ehk idiotism on traditsioonilises psühhiaatrias vaimse alaarengu sügavaim vorm. | Idioot on inimene, kelle areng jääb paari aastase lapse tasemele. | Sügava vaimse alaarenguga ehk idiootiaga on tegu siis, kui inimese IQ jääb alla 20.;neutraalsetes/formaalsetes;jah;Seda tähendust kasutatakse peamiselt meditsiinilises ja teaduslikus kontekstis, kus täpsus ja neutraalsus on olulised. Vaimse alaarengu kirjeldamine nõuab täpset ja neutraalset keelekasutust, et vältida stigmatiseerimist ja väärarusaamu. Seetõttu on see tähendus pigem neutraalne ja formaalne. Seda kinnitab ka asjaolu, et eripedagoogika ja sotsiaalteadused on loobunud selle kasutamisest, et vältida stigmatiseerivat mõju. Olen väga kindel, et see tähendus on neutraalne ja formaalne.;väga kindel;harv;jah;See tähendus on harv, kuna seda kasutatakse peamiselt meditsiinilises kontekstis ja see on tänapäeval vähem levinud. Paljud teadusvaldkonnad on loobunud selle kasutamisest, et vältida stigmatiseerimist.;1;rumal või mõistmatu inimene;jah;3;sage;Ta on täielik idioot, kui ta arvab, et see plaan töötab. | Miks sa käitud nagu idioot, kui sa tead, et see on vale? | Ära ole idioot ja kuula, mida ma sulle räägin. | Ta käitus nagu idioot, kui ta selle otsuse tegi. | Ma ei suuda uskuda, et ta on nii idioot, et ta seda ei mõista.;informaalsetes;jah;"Sõna ""idioot"" kasutatakse sageli igapäevases kõnepruugis, et väljendada kellegi rumalust või mõistmatust. See on levinud sõim või halvustav väljend, mida kasutatakse mitteametlikes olukordades. Selline kasutus on tavaline sõprade vahelises vestluses või emotsionaalsetes olukordades, kus väljendatakse pettumust või viha. Kuna sõna on oma olemuselt halvustav, ei sobi see ametlikesse või neutraalsetesse tekstidesse. Seetõttu on selle tähenduse kasutus selgelt informaalne. Olen väga kindel, et see tähendus on informaalne, kuna see on levinud igapäevases keelekasutuses ja mitte ametlikes dokumentides.";väga kindel;halvustav;jah;"Sõna ""idioot"" selles tähenduses on selgelt halvustav, kuna see on mõeldud kellegi rumaluse või mõistmatuse väljendamiseks. See on ka kõnekeelne, kuna seda kasutatakse peamiselt mitteametlikes olukordades ja igapäevases kõnepruugis. Selline kasutus on tavaline emotsionaalsetes olukordades, kus väljendatakse pettumust või viha. Märgendid ""halvustav"" ja ""kõnekeelne"" sobivad hästi, kuna need kirjeldavad täpselt sõna kasutust ja konteksti. Olen väga kindel, et need märgendid on sobivad, kuna need kajastavad sõna levinud kasutust ja tähendust."
;;;vananenud;;;2;ülimal määral rumal või taipamatu inimene;jah;3;sage;Oh ma igavene idioot! | Nii võib teha ainult viimane idioot! | Oled idiootide idioot, et ennast pehmeks rääkida lasksid. | Idioot on see kes loodab homme paremaid tulemusi kui täna tehes täna samu asju mida eile. | Idioot on inimene, kes tehes ühte ja sama asja ühel ja samal viisil, ootab erinevaid tulemusi.;informaalsetes;jah;See tähendus on laialdaselt kasutusel igapäevases kõnekeeles, sageli emotsionaalse väljendusena, et väljendada pettumust või pahameelt kellegi rumaluse või taipamatuse üle. Seda kasutatakse sageli sõimusõnana, mis viitab selle informaalsetele kasutusviisidele. Kuna see on tihti seotud emotsionaalsete reaktsioonidega ja mitte formaalse suhtlusega, olen pigem kindel, et see tähendus on informaalne.;pigem kindel;kõnekeelne;jah;See tähendus on kõnekeelne, kuna seda kasutatakse sageli igapäevases suhtluses emotsionaalse väljendusena. Samuti on see halvustav, kuna seda kasutatakse sageli kellegi rumaluse või taipamatuse väljendamiseks negatiivses kontekstis.;1;rumal või mõistmatu inimene;;3;sage;Ta on täielik idioot, kui ta arvab, et see plaan töötab. | Miks sa käitud nagu idioot, kui sa tead, et see on vale? | Ära ole idioot ja kuula, mida ma sulle räägin. | Ta käitus nagu idioot, kui ta selle otsuse tegi. | Ma ei suuda uskuda, et ta on nii idioot, et ta seda ei mõista.;informaalsetes;;"Sõna ""idioot"" kasutatakse sageli igapäevases kõnepruugis, et väljendada kellegi rumalust või mõistmatust. See on levinud sõim või halvustav väljend, mida kasutatakse mitteametlikes olukordades. Selline kasutus on tavaline sõprade vahelises vestluses või emotsionaalsetes olukordades, kus väljendatakse pettumust või viha. Kuna sõna on oma olemuselt halvustav, ei sobi see ametlikesse või neutraalsetesse tekstidesse. Seetõttu on selle tähenduse kasutus selgelt informaalne. Olen väga kindel, et see tähendus on informaalne, kuna see on levinud igapäevases keelekasutuses ja mitte ametlikes dokumentides.";väga kindel;kõnekeelne;jah;"Sõna ""idioot"" selles tähenduses on selgelt halvustav, kuna see on mõeldud kellegi rumaluse või mõistmatuse väljendamiseks. See on ka kõnekeelne, kuna seda kasutatakse peamiselt mitteametlikes olukordades ja igapäevases kõnepruugis. Selline kasutus on tavaline emotsionaalsetes olukordades, kus väljendatakse pettumust või viha. Märgendid ""halvustav"" ja ""kõnekeelne"" sobivad hästi, kuna need kirjeldavad täpselt sõna kasutust ja konteksti. Olen väga kindel, et need märgendid on sobivad, kuna need kajastavad sõna levinud kasutust ja tähendust."
;;; ;;;2;ülimal määral rumal või taipamatu inimene;;3;sage;Oh ma igavene idioot! | Nii võib teha ainult viimane idioot! | Oled idiootide idioot, et ennast pehmeks rääkida lasksid. | Idioot on see kes loodab homme paremaid tulemusi kui täna tehes täna samu asju mida eile. | Idioot on inimene, kes tehes ühte ja sama asja ühel ja samal viisil, ootab erinevaid tulemusi.;informaalsetes;;See tähendus on laialdaselt kasutusel igapäevases kõnekeeles, sageli emotsionaalse väljendusena, et väljendada pettumust või pahameelt kellegi rumaluse või taipamatuse üle. Seda kasutatakse sageli sõimusõnana, mis viitab selle informaalsetele kasutusviisidele. Kuna see on tihti seotud emotsionaalsete reaktsioonidega ja mitte formaalse suhtlusega, olen pigem kindel, et see tähendus on informaalne.;pigem kindel;halvustav;jah;See tähendus on kõnekeelne, kuna seda kasutatakse sageli igapäevases suhtluses emotsionaalse väljendusena. Samuti on see halvustav, kuna seda kasutatakse sageli kellegi rumaluse või taipamatuse väljendamiseks negatiivses kontekstis.;2;meditsiiniline termin, mis viitab vaimse alaarenguga isikule;jah;3;vähene;Idioot oli vanasti meditsiiniline termin vaimse alaarenguga isikute kohta. | Meditsiinilises kontekstis kasutati sõna idioot, et kirjeldada teatud vaimse seisundiga inimesi. | Idioot on nüüdseks vananenud meditsiiniline termin. | Varem kasutati sõna idioot meditsiinilises kirjanduses. | Meditsiinis tähendas idioot inimest, kellel oli raske vaimne alaareng.;neutraalsetes/formaalsetes;jah;"Sõna ""idioot"" kui meditsiiniline termin on nüüdseks vananenud ja seda ei kasutata enam kaasaegses meditsiinilises kirjanduses. Varem oli see neutraalne termin, mida kasutati vaimse alaarenguga isikute kirjeldamiseks. Kuna see oli osa meditsiinilisest terminoloogiast, esines see formaalsetes ja neutraalsetes tekstides. Tänapäeval on see tähendus peaaegu kadunud ja asendatud täpsemate ja vähem stigmatiseerivate terminitega. Olen väga kindel, et see tähendus oli neutraalsetes/formaalsetes tekstides, kuna see oli osa meditsiinilisest sõnavarast.";väga kindel;vananenud;jah;"Sõna ""idioot"" kui meditsiiniline termin on nüüdseks vananenud ja seda ei kasutata enam kaasaegses meditsiinilises kirjanduses. Varem oli see osa meditsiinilisest terminoloogiast, kuid tänapäeval on see tähendus peaaegu kadunud. Märgend ""vananenud"" sobib hästi, kuna see kirjeldab täpselt sõna ajaloolist kasutust ja praegust staatust. Olen väga kindel, et see märgend on sobiv, kuna see kajastab sõna ajaloolist kasutust ja tähendust."
;;; ;;;3;ajalooline tähendus Vana-Kreekas;ei;3;vähene;"Kreekas-Sõna 'idioot' tähendas algselt (juba Vana-Kreekas) sõna 'erapooletu'. | Idioot tähendab kreeka keeles ""tavakodanik"". | Sõna ""idioot"" tähendas algselt (juba Vana-Kreekas) sõna 'erapooletu'. | Idioot oli selline linnriigi kodanik, kes ei osale poliitikas. | Sõna ""idioot"" on pärit Vanast Roomast ja tähendas senati liiget, kes ei olnud võimeline otsust vastu võtma ja jäi erapooletuks.";ei kohaldu;ei;See tähendus on ajalooline ja harva kasutatav tänapäeva kontekstis. Seda kasutatakse peamiselt ajaloolistes või hariduslikes tekstides, kus selgitatakse sõna algupärast tähendust. Kuna see ei ole seotud tänapäevase keelekasutusega, ei kohaldu see otseselt informaalsetesse ega formaalsetesse tekstidesse. Olen pigem ebakindel, kas see tähendus on seotud konkreetse registriga.;pigem ebakindel;vananenud;ei;See tähendus on vananenud, kuna see viitab sõna algupärasele tähendusele, mis ei ole enam tänapäeva keelekasutuses levinud. Seda kasutatakse peamiselt ajaloolistes või hariduslikes kontekstides.;3;kõnekeelne väljend, mis viitab kellegi käitumise või tegevuse rumalusele;ei;3;keskmine;Miks sa selle idiootse asja tegid? | See oli idiootne otsus, mida sa tegid. | Ära tee midagi nii idiootset uuesti. | See oli täiesti idiootne käitumine. | Tema idiootsed teod ajavad mind hulluks.;informaalsetes;ei;Seda tähendust kasutatakse sageli igapäevases kõnepruugis, et kirjeldada kellegi rumalat või läbimõtlematut käitumist. See on levinud mitteametlikes olukordades, kus inimesed väljendavad oma arvamust kellegi tegevuse kohta. Selline kasutus on tavaline sõprade vahelises vestluses või emotsionaalsetes olukordades. Kuna see väljend on oma olemuselt mitteametlik ja sageli emotsionaalne, ei sobi see ametlikesse tekstidesse. Olen pigem kindel, et see tähendus on informaalne, kuna see on levinud igapäevases keelekasutuses.;pigem kindel;kõnekeelne;ei;"Seda tähendust kasutatakse sageli igapäevases kõnepruugis, et kirjeldada kellegi rumalat või läbimõtlematut käitumist. See on levinud mitteametlikes olukordades ja on oma olemuselt kõnekeelne. Märgend ""kõnekeelne"" sobib hästi, kuna see kirjeldab täpselt sõna kasutust ja konteksti. Olen pigem kindel, et see märgend on sobiv, kuna see kajastab sõna levinud kasutust ja tähendust."
kobima;halvustav;2;halvustav;8991;jah;1;Aeglaselt ja kohmitsedes kuhugi minema või tõusma;jah;7;sage;Mehed kobisid trepist üles. | Kobisime paati, paadist kaldale. | Mehed kobisid lavalt alla. | Voodisse, sängi, asemele, koikusse kobima. | Kobiti varakult magama, teki alla.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli igapäevastes olukordades, kus inimesed kirjeldavad oma liikumist või tegevust, mis ei nõua formaalset keelekasutust. Sõna „kobima"" annab edasi liikumise aeglust ja kohmakust, mis sobib hästi kõnekeelseks väljenduseks. Selline keelekasutus on levinud sõprade vahelises suhtluses või mitteametlikes kirjutistes, kus täpsus ja formaalsus pole esmatähtsad.";väga kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli igapäevases kõnekeeles, kus täpsus ja formaalsus pole esmatähtsad. Sõna „kobima"" annab edasi liikumise aeglust ja kohmakust, mis sobib hästi kõnekeelseks väljenduseks.";1;Liikuma või minema kuhugi, tavaliselt aeglaselt või vaevaliselt;jah;2;sage;Ta kobis voodist välja ja läks kööki. | Lapsed kobisid pärast mängimist tuppa. | Väsinud mees kobis diivanile puhkama. | Peale pikka päeva kobis ta lõpuks koju. | Koer kobis oma pessa magama.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Sõna „kobima"" viitab sageli igapäevastele tegevustele ja olukordadele, mis ei nõua formaalset keelekasutust. Näiteks kasutatakse seda sõna sageli kodustes või sõpradevahelistes vestlustes, kus keelekasutus on vabam ja vähem ametlik. See väljendab liikumist või tegevust, mis on pigem argine ja mitteformaalse iseloomuga.";pigem kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli igapäevases kõnekeeles, kus inimesed kirjeldavad oma liikumist või tegevusi. See on levinud sõpradevahelistes vestlustes ja kodustes olukordades, kus keelekasutus on vabam ja vähem ametlik. Sõna „kobima"" annab edasi liikumise või tegevuse, mis on pigem argine ja mitteformaalse iseloomuga."
;;;kõnekeelne;;;2;Kogunema või kokku tulema;jah;7;keskmine;Õhtul kobisid vanamehed kokku kaarte mängima. | Söögiajaks kobisid kõik koju (tagasi). | Poisid kobisid kiiresti minema, minekule. | Koer kobis laua alla. | Kobis kärmesti laua tagant püsti.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli kirjeldamaks mitteametlikke kogunemisi või kohtumisi, nagu sõprade või pereliikmete kokkusaamised. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja spontaansust, mis sobib hästi igapäevases suhtluses. Selline keelekasutus on levinud mitteametlikes olukordades, kus formaalsus pole vajalik.";pigem kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli mitteametlikes olukordades, kus formaalsus pole vajalik. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja spontaansust, mis sobib hästi igapäevases suhtluses.";2;Midagi kobama või kompama, katsuma;jah;2;vähene;Ta kobis pimedas seina, et leida lülitit. | Mees kobis taskust võtmeid. | Pimedas toas kobis ta mööda seina edasi. | Ta kobis käega laua peal, otsides prille. | Laps kobis pimedas oma mänguasju.;ei kohaldu;ei;See tähendus ei kohaldu selgelt informaalsetesse ega neutraalsetesse/formaalsetesse tekstidesse. Kuna see tähendus on vähem levinud ja spetsiifilisem, ei ole selle kasutusala nii selgelt määratletud. Seda võib kohata nii igapäevastes kui ka neutraalsetes kontekstides, kuid andmete vähesuse tõttu ei saa kindlat järeldust teha.;pigem ebakindel;harv;ei;See tähendus on vähem levinud ja spetsiifilisem, mistõttu on selle kasutusala piiratud. Kuna andmeid on vähe, võib seda pidada harvaks kasutuseks. See ei ole nii tuntud või laialt kasutatav kui esimene tähendus.
;;; ;;;3;Koguma või korjama;jah;7;keskmine;Kobis oma asjad kokku ja läks. | Kobisime kõik vajalikud asjad kokku ja asusime teele. | Ta kobis kiiresti oma riided kokku ja lahkus. | Kobis kõik oma mänguasjad kokku ja pani kasti. | Kobisime kõik toidud lauale ja hakkasime sööma.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli kirjeldamaks igapäevaseid tegevusi, nagu asjade kokku korjamine või kogumine. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, mis sobib hästi kõnekeelseks väljenduseks. Selline keelekasutus on levinud mitteametlikes olukordades, kus täpsus ja formaalsus pole esmatähtsad.";pigem kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli igapäevastes olukordades, kus täpsus ja formaalsus pole esmatähtsad. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, mis sobib hästi kõnekeelseks väljenduseks.";;;;;;;;;;;;;
;;; ;;;4;Käskivalt minema saatma või liikuma sundima;jah;7;sage;Kobi sinna, kust sa tulid! | Kui talle ei meeldi siin, kobigu minema! | Aga nüüd kobi koju! | Kobi ManU teemasse tagasi. | Kobi välja, ütlesin ma.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli käskude või soovituste andmiseks, mis on mitteametlikud ja sageli emotsionaalsed. Sõna „kobima"" annab edasi käskluse või soovituse mitteametlikkust ja otsesust, mis sobib hästi kõnekeelseks väljenduseks. Selline keelekasutus on levinud mitteametlikes olukordades, kus formaalsus pole vajalik.";väga kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli käskude või soovituste andmiseks, mis on mitteametlikud ja sageli emotsionaalsed. Sõna „kobima"" annab edasi käskluse või soovituse mitteametlikkust ja otsesust, mis sobib hästi kõnekeelseks väljenduseks.";;;;;;;;;;;;;
;;; ;;;5;Magama või puhkama minema;jah;7;sage;Nüüd aga on aeg koos koerte-kassidega pikali kobida. | Ma kobin puhkama. | Aga. Mul on paha. Which means, et ma kobin magama. | Olin esimene kes magama ka kobis. | Ma peaksin oma kolme ja poole tunnise ööunega magama kobima.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli kirjeldamaks igapäevaseid tegevusi, nagu magama või puhkama minek. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, mis sobib hästi kõnekeelseks väljenduseks. Selline keelekasutus on levinud mitteametlikes olukordades, kus täpsus ja formaalsus pole esmatähtsad.";pigem kindel;kõnekeelne;jah;"Seda tähendust kasutatakse sageli igapäevastes olukordades, kus täpsus ja formaalsus pole esmatähtsad. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, mis sobib hästi kõnekeelseks väljenduseks.";;;;;;;;;;;;;
;;; ;;;6;Korduvalt kompama või kobama;jah;7;vähene;Kobib taskuid, taskud läbi. | Sirutab käe ja kobib Marta mantli serva. | Ta kobis oma taskud läbi, et leida võtmeid. | Kobis korduvalt oma koti põhja, et midagi leida. | Kobis pimedas toas ringi, otsides lülitit.;informaalsetes;jah;"Seda tähendust kasutatakse pigem informaalsetes tekstides. Näiteks kasutatakse seda sageli kirjeldamaks tegevusi, mis on mitteametlikud ja sageli seotud igapäevaste olukordadega. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, mis sobib hästi kõnekeelseks väljenduseks. Selline keelekasutus on levinud mitteametlikes olukordades, kus täpsus ja formaalsus pole esmatähtsad.";pigem ebakindel;harv;jah;"Seda tähendust kasutatakse harva ja see esineb pigem spetsiifilistes kontekstides, kus tegevus on seotud kompamise või kobamisega. Sõna „kobima"" annab edasi tegevuse mitteametlikkust ja lihtsust, kuid selle kasutus on harv.";;;;;;;;;;;;;
