Katsesõna	ÜS_definitsioon
kasutajaskond	"Rühm inimesi, kes kasutavad või on huvitatud mingist konkreetsest teenusest, tootest või platvormist. Näitena ""Google'i kasutajaskond"" viitab inimestele, kes kasutavad Google'i tooteid ja teenuseid."
peoloom	Inimene, kes armastab pidutseda ja osaleda erinevatel üritustel koos sõpradega. Peoloom on tavaliselt seltskondlik ja hea suhtleja, kellel on palju sõpru ning ta naudib pidude nautimist.
pesakond	"Rühm loomi, kes on sündinud samast emasloomast või kuuluvad sama rühma. Näiteks ""koerasportlase pesakond"" viitab kutsikatele, kelle sünnitas koer ja kes on mõeldud kasvatamiseks ning kasutamiseks teatud spordialadel."
suitsetama	Tegevus, mille käigus hingatakse sisse ja välja suitsu, mis tekib tubaka või mõne muu aine põletamisel. Suitsetamine on väga kahjulik tervisele ning võib põhjustada tõsiseid terviseprobleeme, sealhulgas kopsuvähki, südame-veresoonkonna haigusi ja hingamisteede haigusi.
sugupuu	Sugupuust saab lugeda inimese või looma esivanemate kohta. See näitab, kuidas inimesed on seotud omavahel ning oma vanemate ja vanavanematega. Näiteks võib sugupuu sisaldada teavet inimeste sünni- ja surmadaatumite, nende elukohtade ja ametite kohta.
kategooriline	Kategooriline on isik, kes on väga kindel oma arvamuses või arvamustes ning ei luba alternatiive ega muudatusi. Ta nõuab, et teised järgiksid tema seisukohti, ilma eriarvamuste või küsimisteta. See võib olla nii positiivne kui ka negatiivne omadus, sõltuvalt olukorrast ja kontekstist.
personal	Personal viitab töötajatele ettevõttes, asutuses või organisatsioonis. See hõlmab kõiki töötajaid, alates juhtidest kuni tavatöötajateni, kes on osa organisatsiooni struktuurist ja aitavad kaasa selle toimimisele.
perspektiivitu	Perspektiivitu tähendab midagi, mis ei näe tulevikus head tulemust või edu. See võib viidata tegevusele, projektile või olukorrale, mis tõenäoliselt ei too oodatavat kasu või positiivseid tulemusi. Näiteks võib öelda, et mõni äriprojekt on perspektiivitu, kui sellel pole piisavalt tugevaid eeldusi edukaks toimimiseks.
pesto	Pesto on Itaalia päritolu maitseaine, mis põhineb basiilikulehedel, küüslaugul, oliiviõli, pinoleemutteritel (kõrvitsaseemned) ja sool. Seda kasutatakse tavaliselt pasta, risotto või teiste roogade maitsestamiseks. Pesto on populaarne kogu maailmas ja seda saab kasutada erinevat tüüpi toitude maitsestamiseks.
summaarne	Summaarne tähendab lühikokkuvõtet või kokkuvõtlikku ülevaadet mingist teemast, sündmusest või olukorrast. See võib viidata sellele, et andmeid on esitatud lihtsustatud ja kiire vormis, ilma üksikasjadeta. Näiteks võib öelda, et aruanne on tehtud summaariliselt, kui see sisaldab ainult peamisi fakte ja mõjutusi, kuid mitte kõiki üksikasju.
transport	Transport viitab inimeste või kaupade vedamisele ühest kohast teise. See hõlmab mitmesuguseid transpordiliike, nagu autotransport, rongitransport, õhutransport, veetransport ja muud. Transporti kasutatakse tavaliselt selleks, et inimesed saaksid liikuda ühest punktist teise või et kaubad jõuaksid sihtkohta.
transs	Transs on seisund, kus inimene on piiratud teadvusega või täielikult teadvuse kaotanud. See võib olla põhjustatud mitmetest teguritest, nagu näiteks unetus, vaimne häire või muud põhjused. Kui inimesel on transis, ei pruugi ta reageerida välistele stiimulitele ja tema tegevus on piiratud. Transs on erinev seisund võrreldes tavalise une või teadvusekaotusega.
akne	Akne on nahahaigus, mille tunnused on komedoonid (mustad täpid ja valged punktid), punased sõlmed ja mädavillid. See tekib tavaliselt puberteedieas, kui rasunäärmed toodavad rohkem rasu, mis ummistab poorid ja põhjustab põletikku ning infektsiooni. Akne võib olla põhjustatud mitmetest teguritest, sealhulgas geneetiline eelsoodumus, hormonaalsed muutused, toitumine, stress või muud põhjused. Akne on levinud nahahaigus, mida saab ravida erinevate meetoditega, nagu näiteks ravimite kasutamine, kosmeetilised protseduurid ja muud.
aktiivsüsi	Aktiivsüsi on süsinikmaterjal, mis sisaldab suurt hulka poore. Neid auke kasutatakse adsorptsiooniks - protsessiks, mille käigus aine seob ennast aktiivsöega ja eemaldatakse keskkonnast. Aktiivsütt kasutatakse tavaliselt kahjulike ainete filtreerimiseks, näiteks toiduainetes või õhufiltrides. See on ka populaarne vahend toksiinide eemaldamiseks kehast ja seedetraktis.
aktsent	Aktsent on helivärv, mida inimene kasutab teatud keele rääkimiseks või hääldamisel konkreetses piirkonnas. See sisaldab kõiki individuaalseid helisid ja rütme, mis eristavad kõnelejat teistest. Aktsent võib olla iseloomulik teatud piirkonnale, rahvale või rahvusele. Näiteks on ameerika inglise aktsent erinev briti inglise aktsendist. Samuti võivad inimesed rääkida oma kodumaal omapärase aktsendiga, kuid võõrastes piirkondades võivad nad omandada uue aktsendi.
debatt	Debatt on avalik arutelu või vaidlus, mille eesmärk on kaaluda erinevaid seisukohti ja argumente mõne küsimuse või probleemi kohta. Osalejad võivad esitada oma arvamusi ja väiteid ning neid kaitsta, kasutades fakte, statistikat, näiteid ja muid tõendeid. Debatit juhib tavaliselt moderaator, kes korraldab arutelu ja tagab selle reeglitele vastavuse. Debatt võib toimuda kas kirjalikult või suuliselt, näiteks ülekandena või otseülekandena. Debati eesmärk on tavaliselt saavutada üksmeel või otsus, kuid see võib olla ka meelelahutuslik eesmärk.
deegu	Deeg on väikeste mõõtmetega loom, kes kuulub näriliste hulka. See on levinud kogu maailmas ja seda peetakse lemmikloomana või lemmiklinnuna. Deed saavad hästi kohaneda erinevate keskkondadega ja neid hoitakse tavaliselt puuris või akvaariumis. Deed võivad olla erinevat värvi ja kuju, kuid neil on üldiselt sarnased tunnused, nagu näiteks pikk saba ja suured kõrvad. Neid peetakse sõbralikeks loomadeks, kes suudavad hästi kohaneda inimestega ja õppida trikke tegema. Deege saab toita mitmesuguste toiduainetega, sealhulgas teravilja, puu- ja köögiviljadega.
defekt	Defekt on viga või puudus, mis võib esineda materjalis, toote disainis või funktsioonis. See võib olla põhjustatud erinevatest teguritest, nagu näiteks tootmisprotsessi kõrvalekalded, kasutusvead või muud põhjused. Defekti saab tuvastada visuaalselt või spetsiaalsete testide abil. Sõltuvalt defekti raskusastmest ja tüübist võib seda parandada või asendada. Defektid võivad olla ohtlikud, kui need ei ole õigesti tuvastatud ja parandatud, näiteks tööstuslike seadmete või sõidukite puhul.
filosofeerima	Filosofeerima on tegevus, mille käigus inimesed arutavad erinevaid filosoofilisi teemasid, nagu näiteks elu mõte, inimloomuse olemus, teadmiste päritolu ja tähendus. See võib hõlmata mitmesuguseid küsimusi ja probleeme, mis puudutavad maailma ja inimese kohta selles maailmas. Filosofeerimine võib toimuda kas suuliselt või kirjalikult, näiteks kirjade vahetuses, foorumites või muudes suhtluskeskkondades. Filosofeerimist peetakse sageli meeldivaks ja huvitavaks tegevuseks, mis aitab inimestel paremini mõista ennast ja maailma enda ümber. See võib samuti aidata arendada kriitilist mõtlemist, analüüsivõimet ja loovust.
huligaan	Huligaan on isik, kes teeb ebaseaduslikke või ebasoovitavaid asju, näiteks murrab seadusi, tekitab konflikte teiste inimestega või kahjustab vara. See võib hõlmata mitmesuguseid tegevusi, nagu näiteks vandalism, vargus, vägivald või muu kuritegelik käitumine. Huligaanid võivad olla nii üksikisikud kui ka rühmitused, kes tegutsevad koos eesmärgiga kahjustada teisi inimesi või ühiskonda. Hulklemist peetakse tavaliselt negatiivseks ja ebaseaduslikuks tegevuseks, mis võib põhjustada tõsiseid tagajärgi nii huligaanile endale kui ka teistele inimestele. Huligaanid võivad olla ka ohtlikud, kuna nad võivad kasutada vägivalda või muid ebaseaduslikke meetodeid oma eesmärkide saavutamiseks.
