Katsesõna	ÕS_definitsioon
kasutajaskond	mingi toote, teenuse, süsteemi või keskkonna tarbijate või rakendajate kogum
peoloom	pidutsemist ja seltskondlikku meelelahutust armastav, pidudel sageli käiv ja seal aktiivne inimene
pesakond	ühest pesakonnast sündinud või koorunud järglased; samasse pessa kuuluvad linnupojad, loomapojad vm järglased
suitsetama	tubakat või muud suitsetatavat ainet põletades selle suitsu sisse hingama ja välja puhuma
sugupuu	skemaatiline joonis või kirjalik ülevaade, mis näitab perekonnaliikmete omavahelisi sugulussuhteid ja põlvnemist läbi mitme põlvkonna
kategooriline	kindel, otsustav, tingimusteta ja vastuväiteid mittesalliv, kompromissitu
personal	asutuse või ettevõtte koosseisulised töötajad, kes täidavad seal ametikohustusi; töötajaskond
perspektiivitu	tulevikuvõimalusi, edasimineku- või arenemisvõimalusi mittepakkuv, lootusetu
pesto	basiilikust, küüslaugust, oliiviõlist, parmesani juustust ja männiseemnetest valmistatud pastataoline kaste või määre
summaarne	kõiki osi või üksikasju kokku võttev, kogu hulka hõlmav, kokkuvõtlik
transport	inimeste, kaupade või muu vedu ühest kohast teise erinevate liiklusvahendite abil
transs	teadvuse muutunud seisund, milles inimene on välismaailmast osaliselt või täielikult eraldunud ning keskendunud oma sisemaailmale
akne	noorukieas nahale, eriti näole tekkiv põletikuline haigusseisund, mis avaldub punaste muhukeste ja vistrike näol
aktiivsüsi	suure poorsusega süsinikurikas aine, mida kasutatakse mürgiste või kahjulike ainete filtreerimiseks ja sidumiseks
aktsent	võõrapärane hääldusviis või kõnemaneer, mis tuleneb emakeele või muu keele mõjust; rõhk või pearõhk kõnes, muusikas või kunstis
debatt	avalik arutelu või vaidlus kindlal teemal, kus eri seisukohti esindavad pooled esitavad oma argumente ja vastuargumente
deegu	Lõuna-Ameerika päritolu väike näriline, kes on kasvult hamstri ja merisea vahepealne, hallikas-pruuni karvaga ning pika koheva sabaga lemmikloom
defekt	puudus, viga või rike eseme, seadme või organismi normaalses seisundis või toimimises
filosofeerima	mõtisklema ja arutlema üldiste eluliste või abstraktsete küsimuste üle, sageli teoreetiliselt ja süvitsi minnes
huligaan	avalikus kohas teisi häiriv ja korda rikkuv isik, kes käitub vägivaldselt või ebaviisakalt ning eirab ühiskondlikke norme
