Katsesõna	ÜS_definitsioon
kasutajaskond	mingi toote, teenuse, süsteemi vms kasutajate kogum või rühm
peoloom	inimene, kes armastab pidutseda, on seltskonnas aktiivne, lõbus ja energiline, sageli pidude keskpunkt
pesakond	ühest pesakonnast pärit loomade, lindude või putukate järglaste kogum; ka lasterohke pere kohta
suitsetama	tubakat, kanepit vm taimset ainet põletades tekkivat suitsu sisse hingama, tavaliselt naudingu saamiseks või harjumusest
sugupuu	skemaatiline joonis või kirjalik ülevaade, mis kujutab perekonna või suguvõsa liikmete omavahelisi sugulussuhteid mitme põlvkonna lõikes
kategooriline	kindel, tingimusteta, eranditeta, vaieldamatult kehtiv või esitatud, kompromisse välistav
personal	asutuse, ettevõtte vm organisatsiooni töötajaskond, ametnikud või teenistujad; isiklik, üksikisikut puudutav või temale kuuluv
perspektiivitu	tulevikuväljavaateta, edasise arengu või edu võimaluseta, lootusetu
pesto	basiilikust, küüslaugust, parmesanist, männiseemnetest ja oliiviõlist valmistatud pastataoline kaste, mida kasutatakse pastaroogade maitsestamiseks või leivakattena
summaarne	kõiki osi või üksikasju kokku võttev, koondav; kogu hulka, kogumit või tervikut hõlmav
transport	inimeste, kaupade, materjalide vm liikumine või vedamine ühest kohast teise, kasutades selleks erinevaid liiklusvahendeid või -viise
transs	teadvuse muutunud seisund, milles inimene on eraldunud tavapärasest reaalsustajust, olles sügavalt keskendunud või mõjutatud välisest stiimulust (nt muusikast, rütmist, meditatsioonist); ka selline seisund, mille tekitab šamaan või meedium üleloomulike jõududega suhtlemiseks
akne	naha rasunäärmete põletikuline haigus, mis avaldub näol, rinnal või seljal esinevate vistrike või punnilistena
aktiivsüsi	poorne süsinikurikas materjal, mida kasutatakse mürgiste ainete või ebameeldivate lõhnade imamiseks, filtreerimiseks või puhastamiseks
aktsent	kõnes avalduvad häälduslikud iseärasused, mis on tingitud kõneleja emakeelest või murdest; rõhk, rõhuasetus
debatt	avalik arutelu, kus erinevate seisukohtadega osalejad esitavad oma argumente mingi küsimuse või probleemi kohta
deegu	Tšiilist pärit väike näriline, kes on hallikas-pruunikat värvi, pika saba ja suurte kõrvadega ning keda peetakse lemmikloomana
defekt	ese, seade, toode vm, millel on puudus, viga või rike, mis takistab selle normaalset toimimist või kasutamist
filosofeerima	mõtisklema, arutlema filosoofiliste küsimuste üle, püüdes jõuda sügavama arusaamani maailma, inimese või elu olemusest
huligaan	avalikus kohas teisi häiriv, ühiskondlikke norme eirav ja korda rikkuv isik, kes käitub jõhkralt, agressiivselt või lugupidamatult
