"Katsesõna"	"ÜS_definitsioon"
"kasutajaskond"	"inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi"
"peoloom"	"inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda"
"pesakond"	"ühest pesast pärit loomapojad, kes on sündinud või koorunud samal ajal"
"suitsetama"	"tubakat või muud taolist ainet suitsetamise teel sisse hingama"
"sugupuu"	"ühe isiku või suguvõsa esivanemaid ja järeltulijaid põlvkondade kaupa näitav skeem või loetelu"
"kategooriline"	"ilma kahtluse või kõhkluseta, tingimusteta ja kindlalt väitev või otsustav"
"personal"	"ühes asutuses, ettevõttes vm töötavad inimesed tervikuna"
"perspektiivitu"	"ilma arengu-, edu- või tulevikuvõimaluseta; lootusetu"
"pesto"	"paks, tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust valmistatud külm kaste või määre"
"summaarne"	"kokkuvõtlik, kõiki osi või andmeid hõlmav ja üldistav"
"transport"	"inimeste, kaupade või esemete ühest kohast teise viimine või vedamine"
"transs"	"Määramata definitsioon"
"akne"	"nahahaigus, mille korral rasunäärmed ja karvafolliikulid ummistuvad ning tekivad vistrikud, komedoonid ja põletikulised sõlmed"
"aktiivsüsi"	"poorne ja väga suure pindalaga süsi, mida kasutatakse peamiselt ainete, eriti gaaside ja vedelike puhastamiseks ning filtreerimiseks"
"aktsent"	"Määramata definitsioon"
"debatt"	"avalik arutelu mingi küsimuse või probleemi üle, kus eri seisukohtade esindajad esitavad oma argumente ja vastuväiteid"
"deegu"	"Lõuna-Ameerikast pärit väike näriline, keda sageli peetakse lemmikloomana"
"defekt"	"mingi eseme, seadme, organismi vms puudus, viga või kahjustus, mis takistab selle normaalset toimimist või vähendab väärtust"
"filosofeerima"	"filosoofilisi mõtteid arendama või arutlema, abstraktseid ja üldisi küsimusi mõtisklevalt käsitlema"
"huligaan"	"inimene, kes käitub tahtlikult pahatahtlikult, häirivalt või vägivaldselt, rikub avalikku korda ja tekitab teistele kahju või ebamugavust"
