"Katsesõna"	"ÜS_definitsioon"
"kasutajaskond"	"ühte ja sedasama toodet, teenust, süsteemi vms kasutavate inimeste kogum"
"peoloom"	"pidusid, lõbutsemist ja seltskonda armastav inimene, kes käib sageli ning meelsasti pidudel"
"pesakond"	"ühe ja sama emase korraga sündinud või koorunud järglaste kogum"
"suitsetama"	"suitsevast tubakast või muust põlevast ainest tekkivat suitsu sisse hingates tarvitama ja välja puhuma"
"sugupuu"	"põlvkondade kaupa järjestatud ülevaade inimese või perekonna esivanematest ja järeltulijatest, sageli graafilise skeemi või loeteluna kujutatud põlvnevusjärjestus"
"kategooriline"	"igasugust kõhklust või erandit välistavalt kindel ja lõplik, tingimusteta (nt eituse, otsuse või väite puhul)"
"personal"	"mingis asutuses, ettevõttes või organisatsioonis töötavate inimeste kogum, töötajaskond"
"perspektiivitu"	"ÜSi definitsioon - ilma tuleviku- ja arenguväljavaadeteta, edulootuseta; lootusetu, väljavaateta"
"pesto"	"Itaaliast pärit paks toorelt kokku hõõrutud basiiliku, küüslaugu, pähklite, oliiviõli ja kõva juustu baasil valmistatud maitse- ehk ürdikaste"
"summaarne"	"üksikasju eritlemata tervikuna, kogusummana arvestatav või esitatav"
"transport"	"inimeste, kaupade või muude esemete vedamine ühest kohast teise, samuti sellega seotud korraldus ja teenindus"
"transs"	"muutunud, sügavalt keskendunud teadvusseisund, kus välisärritajad tajutakse ähmaselt ja tähelepanu koondub sisemistele kogemustele või hüpnootilisele mõjutusele"
"akne"	"rasunäärmete põletikust tingitud mädapunne tekitav krooniline nahalööve, mis esineb peamiselt näol, seljal ja rinnal"
"aktiivsüsi"	"kõrge poorsuse ja väga suure adsorbeerimisvõimega, spetsiaalselt töödeldud süsi, mida kasutatakse gaaside ja vedelike puhastamiseks ning mürkainete sidumiseks"
"aktsent"	"iseloomulik hääldus- ja rõhuviis, mis viitab kõneleja keele- või murdelisele päritolule, ühtlasi silbi või sõna esiletõstmiseks kasutatav hääle- või kirjamärk"
"debatt"	"kahe või enama osapoole avalik ja argumenteeritud arutelu mõne küsimuse või teema üle, kus vastandlikke seisukohti esitatakse ja võrreldakse kindlate reeglite või kokkulepitud korra alusel"
"deegu"	"väike Lõuna-Ameerikast pärit seltsilembene päevaliine näriline, keda peetakse sageli lemmikloomana"
"defekt"	"ettenähtud või normaalsetest omadustest kõrvalekalduv puudus, viga või kahjustus, mis vähendab eseme, organismi, seadme vms terviklikkust, välimust või toimimist"
"filosofeerima"	"abstraktselt ja teoreetiliselt arutlema ning mõtisklema eluküsimuste, maailma olemuse jms üle"
"huligaan"	"avalikus kohas üldtunnustatud käitumisnorme rikkuv ja lärmi, vandaalitsemist või vägivalda põhjustav korrarikkuja"
