"Katsesõna"	"ÜS_definitsioon"
"kasutajaskond"	"mingi teenuse, toote või süsteemi kasutajatest koosnev kogum"
"peoloom"	"seltskonnas meeleolu loov ja tähelepanu keskmes olev inimene"
"pesakond"	"samal ajal koorunud või sündinud lindude või loomade poegade rühm"
"suitsetama"	"tubaka või muu suitsutava aine põletamisest eralduva suitsu sisse- ja väljahingamine"
"sugupuu"	"perekonna sugulussuhete skeem, mis kujutab eri põlvkondade kaupa pärilussidemeid"
"kategooriline"	"selgesõnaliselt ja otsustavalt väljendatud, mis ei jäta ruumi kahtlusele, vahevariantidele ega eranditele"
"personal"	"konkreetse asutuse, ettevõtte või organisatsiooni töötajatest koosnev kogu"
"perspektiivitu"	"millegi arenguvõimalust ega lootust mitte pakkuv"
"pesto"	"Itaalia päritolu roheline kaste, mis koosneb peenestatud basiilikulehtedest, küüslaugust, piniaseemnetest, Parmesani juustust ja oliiviõlist"
"summaarne"	"mitme osa või näitaja summana moodustuv või nii esitatud; kokkuvõtlikult kogu hulka või üldpilti näitav"
"transport"	"inimeste, kaupade või esemete ühest paigast teise liigutamine või selleks kasutatav vahend"
"transs"	"muudetud teadvuseseisund, mille korral inimene kaotab osaliselt või täielikult kontakti välismaailmaga ja keskendub sisemisele kogemusele"
"akne"	"naha haigus, mida iseloomustab rasunäärmete ummistumine ja põletik, põhjustades vistrike, komedoonide ja mädasõlmede teket"
"aktiivsüsi"	"kõrgel temperatuuril töötlemise teel saadav mikropoorne süsinikmaterjal, mille suured pindalad võimaldavad gaasidest ja vedelikest saasteaineid neelata; kasutatakse filtrimaterjalina ja puhastusainena"
"aktsent"	"sõna või fraasi silp, mille hääldamisel on teistega võrreldes tugevam rõhk, või kõneleja murde- või võõrkeelset päritolu paljastav hääldusomadus"
"debatt"	"kahe või enama osapoole vahel toimuv argumenteeritud arutelu, kus vahetatakse ja põhjendatakse erinevaid seisukohti"
"deegu"	"poolvedel või pastataoline jahu- ja vedelikusegu, mida sõtkutakse ja vormitakse taignana erinevate pagari- ja kondiitritoodete valmistamiseks"
"defekt"	"eseme, seadme või muu objekti terviklikkuses või toimimises esinev viga või rike"
"filosofeerima"	"mõtlikult või teoreetiliselt arutlema elu, maailma, teadmiste ja väärtuste olemuslike küsimuste üle"
"huligaan"	"avalikus kohas lärmi, vägivalda või korratust tekitav isik"
