Katsesõna	ÜS_definitsioon
kasutajaskond	mingi toote, teenuse, süsteemi vm kõigi kasutajate kogum, hulk
peoloom	Innukas ja sage pidutseja.
pesakond	loomade (hrl imetajate, lindude) samal poegimis- või haudumiskorral ilmale tulnud järglased
suitsetama	põlevast ainest (hrl tubakast) suitsu suhu ja kopsudesse tõmbama
sugupuu	ühe isiku v suguvõsa põlvnemist (esivanemaid ja/või järglasi) kajastav skeem v loetelu
kategooriline	tingimusteta, kindel
personal	asutuse, ettevõtte vms töötajaskond v. teenistujad
perspektiivitu	Arengu- või tulevikuväljavaadeteta
pesto	peamiselt basiilikust, pähklitest v seemnetest, küüslaugust, juustust ja õlist valmistatud paks (hrl roheline) kaste v maitselisand
summaarne	Kogusummat esitav või moodustav; koond-; üld-
transport	kaupade või reisijate edasitoimetamine ühest kohast teise
transs	eriline teadvusseisund, milles reaktsioon välisärritustele on nõrgenenud või puudub
akne	vistrikke tekitav rasunäärmete põletikuline nahahaigus
aktiivsüsi	suure adsorbeerimisvõimega poorne süsi
aktsent	võõrkeele v murde mõjuline hääldusviis
debatt	avalik v korraldatud vaidlus, arutelu
deegu	väike Tšiili päritolu näriline, keda sageli peetakse lemmikloomana
defekt	viga, rike vm puudus; ebatäiuslikkus
filosofeerima	Sügavalt, abstraktselt v kaalutlevalt mõtisklema v arutlema.
huligaan	avalikku korda rikkuv, teisi häiriv või vara lõhkuv isik
