Katsesõna	ÜS_definitsioon	ÕS_definitsioon	KÕ_definitsioon
transport	inimeste või kaupade vedamine ühest kohast teise, kasutades selleks erinevaid vahendeid	veondus	inimeste või asjade ühest kohast teise viimine
transs	teadvuse eriline seisund, milles on nõrgenenud kontakt väliskeskkonnaga ning tähelepanu on koondunud sisemistele aistingutele, mõtetele või kujutlustele	teadvuse eriline seisund	eriline seisund, kus sa ei saa päriselt aru, mis su ümber toimub
akne	rasunäärmete põletik, mis väljendub nahal esinevate punetavate sõlmekestena ja mädavistrikutena	vistrikuline nahapõletik	nahalööve, mis näeb välja nagu punased täpid ja vistrikud
aktiivsüsi	poorne, suure eripinnaga süsinikmaterjal, mida saadakse orgaaniliste ainete kuumutamisel hapnikuvabas keskkonnas ja aktiveerimisel ning mida kasutatakse adsorbendina gaaside ja vedelike puhastamiseks	poorne süsinikmaterjal, adsorbent	poorne aine, mis imeb endasse gaase ja vedelikke
aktsent	hääldusviis, mis on omane mingile keelelisele piirkonnale, sotsiaalsele grupile või isikule	hääldusviis	viis, kuidas keegi mingit keelt hääldab
debatt	avalik arutelu, väitlus, kus osapooled kaitsevad oma seisukohti mingi kindla teema või küsimuse kohta	avalik väitlus	arutelu, kus räägitakse erinevatel seisukohtadel põhinevatest mõtetest
deegu	Lõuna-Ameerikast pärinev näriline (Octodon degus), keda peetakse lemmikloomana, iseloomulik pika saba ja pruunika karvaga.	Tšiili näriline	väike näriline, mida peetakse lemmikloomana
defekt	millegi (tavaliselt eseme, süsteemi vms) ehituses, struktuuris, toimimises või väljanägemises esinev viga või puudus, mis muudab selle mittetäiuslikuks või mittesobilikuks	puudus, viga	asi, mis on katki või valesti tehtud
filosofeerima	sügavamalt, laiemalt mõtisklema, maailma või mingi konkreetse küsimuse üle arutlema	mõtisklema, arutlema	mõtlema elu, maailma või millegi muu üle sügavuti
huligaan	avaliku korra rikkumise, vägivalla ja vandalismi kaudu silma paistev isik	huligaansusega tegeleja	pahandust tegev ja korda rikkuv inimene
