"Katsesõna"	"definitsioon ÜS"	"definitsioon ÕS"	"definitsioon KÕ"
"kasutajaskond"	"Kasutajate suur ja organiseeritud kogum, kes kasutavad konkreetset toodet, teenust, tarkvara või platvormi ning kelle vajadused ja käitumine mõjutavad selle toote või teenuse arendamist ja pakkumist."	"Suur grupi kasutajaid, kes kasutavad mingit toodet, teenust või süsteemi."	"See, kui suur rühm inimesi kasutab mingit toodet või teenust."
"peoloom"	"Inimene, kes naudib sotsiaalseid üritusi ja osaleb sageli peol, olles nende keskmes ning aktiivselt suhtlemas teistega."	"Inimene, kes armastab pidutseda ja sageli peol käia."	"Keegi, kes alati peol käib."
"pesakond"	"kanade pesitsimiseks ja kasvatamiseks mõeldud hoone või struktuur, mis tagab neile turvalise ja sobiva keskkonna munemise ning elamiseks"	"kanade hoidmiseks mõeldud hoone"	"koht, kus kanad pesitsevad"
"suitsetama"	"tegevus, mille käigus suitsuvahendi, näiteks sigarett, sigar, püss või nõu kasutades põletatakse tubakat või muid suitsutavaid aineid, et suitsu sisse hingata ja väljahingatada, sageli sõltuvust tekitava harjumusena."	"tubaka või muu suitsuvahendi suitsetamine."	"sigaretti või muu vahendi lõhkumine ja suitsu sissehingamine."
"sugupuu"	"perekondade, sugulaspersoonide ja põlvkondadevaheliste suhete ning pärilikkuse graafiliseks kujutamiseks kasutatav detailne diagramm"	"sugulaaste vahelise seoseid näitav diagramm"	"puu kujuline skeem, mis kuvab perekonna liikmete omavahelisi suhteid"
"kategooriline"	"täiesti kindel ja selge, ilma kõhklusteta tehtud otsus, väide või seisukoht; seotud kategooriate või klassifikatsioonidega."	"täiesti kindel ja selge väide või otsus."	"väga kindel vastus või otsus."
"personal"	"omadused või asjad, mis on seotud konkreetse isiku eraelu, isiklike omaduste või identiteediga."	"isiklik"	"seotud inimese enda asjadega või eraeluga"
"perspektiivitu"	"olukord või seisund, kus puuduvad pikaajalised eesmärgid, plaanid või lootused, mis piiravad arenguvõimalusi ja tulevikuperspektiive."	"ilma tuleviku eesmärkideta"	"midagi, millel puuduvad tulevikuplaanid või edasivõimalused"
"pesto"	"rohelise basiilikupõhise kastesegu, mis sisaldab tavaliselt basiilikut, küüslauku, pähkleid, oliiviõli ja parmesaani juustu, pärineb Itaaliast ja kasutatakse pastaroogade maitsestamiseks"	"pestokaste"	"roheline maitseaine, mida kasutatakse toitude maitsestamiseks"
"summaarne"	"kogunenud summa, mis hõlmab kõiki üksikosi või elemente, moodustades tervikliku koguse"	"kogusumma, kõik kokku"	"see, kui midagi on kogu kokkuvõttes"
"transport"	"inimeste, kaupade või muude objektide liigutamine ühistranspordi, maanteetranspordi, raudteetranspordi, õhu- või veetranspordi vahendusel ühest kohast teise"	"inimeste või kaupade transport ühistranspordi abil"	"asjade või inimeste viimine ühistranspordi vahenditega"
"transs"	"inimene, kelle sooline identiteet erineb nende sünnis määratud soost; transs võib hõlmata erinevaid soolisi identiteete ja väljendusviise, sealhulgas transsoost inimesi, kes võivad valida sooperioodi läbimise või muid soolise identiteedi väljendamise viise"	"inimene, kes tunneb end teise sooga kui sünnis määratud"	"inimene, kelle sugu erineb sünnist määratud soost"
"akne"	"nahahaigus, mida iseloomustavad mustarinnad, sarved ja põletikulised pimpekotud, mis tekkivad rasunäärmete liigse aktiivsuse ja bakterite kasvu tõttu nahal."	"naha põletikuline seisund mustarinnade ja pimpekotudega"	"nahaprobleem, kus tekivad mustarinnad ja pimpekotud"
"aktiivsüsi"	"süsinikmaterjal, mida on läbi töötatud kõrgete temperatuuride või kemikaalidega, et suurendada selle pindala ja absorptsioonivõimet, kasutades seda vedelike või gaaside filtreerimiseks, puhastamiseks ja saasteainete eemaldamiseks."	"aktiveeritud süsinik, mida kasutatakse filtrites saasteainete imamiseks."	"puhastav süsinik, mida kasutatakse vee või õhu filtreerimiseks tahma või saasteainete eemaldamiseks."
"aktsent"	"keelelise kõne eripära, mis väljendab kõneleja päritolu, sotsiaalset tausta või keelelist kogemust, hõlmates häälduse, intonatsiooni ja rütmi iseloomulikke tunnuseid"	"kõne iseloomulik hääldusviis"	"kõnestiil, mis näitab, kust keegi on pärit"
"debatt"	"struktureeritud arutelu, kus erinevad pooled esitavad ja kaitsevad oma seisukohti kindla teema üle, kasutades argumente ja tõendusmaterjale."	"avalik arutelu erinevate vaadete esitlemiseks ja arutamiseks."	"arutelu erinevate seisukohtade üle."
"deegu"	"jahus olevate teraviljatermete, vee ja teiste koostisosade mass, mida kasutatakse leivate, saiade ja teiste pagaritoodete valmistamiseks."	"taigen."	"taigen, mida pannakse küpsetamiseks."
"defekt"	"mingi objekti, süsteemi või protsessi korral esinev ebatäiuslikkus või puudus, mis takistab selle normaalset toimimist või vastab ettenähtud standarditele"	"puudus või viga"	"(millegi) puudus või tõrge"
"filosofeerima"	"sügav ja süsteemne mõtlemine ning arutamine elu, eksistentsi, teadmiste, väärtuste või reaalsuse olemuse üle"	"sügava mõtlemise ja arutamisega tegelemine elu või teadmiste teemadel"	"sügavalt mõelda või arutada filosoofilisi teemasid"
"huligaan"	"Isik, kes osaleb vägivaldsetes või häirivates tegevustes, sageli rühmitunult, näiteks spordivõistlustel või rahutustel."	"Vägivaldseid või häirivaid tegevusi tegelev isik."	"Vägivaldsetena käituv inimene."
