Katsesõna	ÜS_definitsioon
€	Euroopa Liidu suurem rahaühik, Euroopa ühisraha
®	toodet või teenust märgistav, intellektuaalomandi registrisse kantud, seadusega kaitstav kujutis
°C	Celsiuse 100-kraadise temperatuuriskaala ühik
°F	Fahrenheiti temperatuuriskaala ühik
°R	Réaumuri temperatuuriskaala ühik
3D	kolme mõõtmega, ruumilise efektiga
3D-printer	masin, mis loob ruumilisest raalmudelist kiht kihi haaval printides reaalse objekti
3D-printima	3D-printeriga digitaalsest mudelist kolmemõõtmelist eset tekitama
a	365 või 366 päeva pikkune periood, mis on jagatud 12 kuuks ja algab 1. jaanuaril ning lõpeb 31. detsembril
a	(väljendab eitust, millegi puudumist)
A	elektrivoolu tugevuse mõõtühik, SI-süsteemi üks põhiühikuid
A-vitamiin	toidust (nt maksast, porgandist, tomatist jt kollastest ja oranžidest puu- ja köögiviljadest) saadav või sünteetiline aine, mis reguleerib kudede taastootmist, luude kasvu ja nägemisteravust
A Coruña	linn Hispaanias
a. D.	Kristuse sünnist arvestatava ajaarvamise järgi
Aa	küla Ida-Viru maakonnas Lüganuse vallas (Lüganuse kihelkonnas)
aabe	kirjas hääliku või häälikuühendi tähistamise märk, nii suur- kui ka väiketäht
aabits	raamat kirjaoskuse algete omandamiseks
aabitsatõde	algteadmine millegi kohta, üldtuntud tõde
Aabla	külad Harju maakonnas Kuusalu vallas (Kuusalu kihelkonnas): Kiiu-Aabla ja Kolga-Aabla
Aabra	küla Võru maakonnas Rõuge vallas (Rõuge kihelkonnas)
Aachen	linn Saksamaal Nordrhein-Westfalenis
aadam	(naljatamisi mehe, mõnikord ka üldse inimese kohta)
Aadami	küla Tartu maakonnas Kastre vallas (Kambja kihelkonnas)
aade	ülev, paleuslik juhtmõte või idee
aadel	"(keskajal valitsenud) eesõigustatud kõrgem seisus	 inimesed, kes sünni järgi sellesse seisusesse kuuluvad"
aadeldama	aadliseisusse tõstma
aadelkond	teatud riigi või piirkonna (organiseeritud) kõrgem seisus, aadlikud
aadellik	"aadlile või aadlikule omane	 aadlisoost, aadliseisusest"
aadlisugu	"inimesed, kes sünni järgi sellesse seisusesse kuuluvad	 (keskajal valitsenud) eesõigustatud kõrgem seisus"
aadliürik	aadliseisusse kuulumist tõendav dokument
Aadma	küla Hiiu maakonnas Hiiumaa vallas (Käina kihelkonnas)
aadress	isiku elupaiga või asutuse asukoha andmed (nt postisaadetise sihtkohana)
Aadria	Vahemere osa Apenniini ja Balkani poolsaare vahel
Aadria meri	Vahemere osa Apenniini ja Balkani poolsaare vahel
aadrit laskma	veenist (või arterist) verd välja laskma (endisaegse ravivõttena)
Aadumäe	paik (küla) Lääne-Viru maakonnas Vinni vallas (Simuna kihelkonnas)
Aafrika	maailmajagu ja mander, mis läänes piirneb Atlandi ja idas India ookeaniga ning mis laiub mõlemal pool ekvaatorit
Aafrika elevant	India elevandist kogukam, suuremate võhkade ja kõrvadega Aafrikas elav elevant
Aafrika kannike	Aafrikast pärit madal igihaljas kannikesele sarnanev rohttaim, Eestis toalill
Aafrika punane tee	Lõuna-Aafrikas kasvava tee-punapõõsa lehtedest valmistatud kofeiinivaba tee
Aafrika pühvel	Aafrika troopikametsade ja savannide suur veislane
Aafrika Sarv	täpsemalt piiritlemata ala Aafrika idaosas, mille tuumala on Somaali poolsaar
Aafrika säga	Aafrikast ja Lähis-Idast pärit, pika, peaaegu angerjalaadse kehaga tumehalli või musta seljaga suur kala, kes elutseb järvedes, jõgedes ja soodes
aafrikalik	"Aafrikale või aafriklastele omane	 Aafrika kultuurile, elulaadile vms omane"
Aakaru	küla Tartu maakonnas Kambja vallas (Kambja kihelkonnas)
Aakre	küla Tartu maakonnas Elva vallas (Rõngu kihelkonnas)
aaloe	Lõuna-Aafrikast pärinev lihakate ogaservaliste lehtedega taim, Eestis kasvuhoone- või toataim
aampalk	lage kandev ning vastasseinu ühendav jäme palk, tala (hrl taluhoonetes)
Aamse	küla Lääne maakonnas Haapsalu linna halduspiirkonnas (Ridala kihelkonnas)
Aandu	küla Rapla maakonnas Kohila vallas (Hageri kihelkonnas)
aapestik	mingis keeles kasutatavate tähtede kogum, mis esitatakse kindlas järjestuses
aar	pindalaühik, 100 mÂ²
aardejaht	vabas õhus mängitav rahvusvaheline mäng, milles osalejad kasutavad GPS-i, täpseid maakaarte vms, et peita ja otsida teatud esemeid, mida nimetatakse aareteks
Aardla	küla Tartu maakonnas Kastre vallas (Kambja kihelkonnas)
Aardlapalu	küla Tartu maakonnas Kastre vallas (Kambja kihelkonnas)
aare	väärtuslik (peidetud või peidus olev) vara
aaria keeled	indoeuroopa keelte haru, kuhu kuuluvad India keeled, Iraani keeled ja Nuristani keeled
aarialane	mõne varast indoiraani keelt kõnelnud hõimu liige
aarja keeled	indoeuroopa keelte haru, kuhu kuuluvad India keeled, Iraani keeled ja Nuristani keeled
aarjalane	mõne varast indoiraani keelt kõnelnud hõimu liige
Aarla	küla Lääne-Viru maakonnas Vinni vallas (Viru-Nigula kihelkonnas)
Aarna	küla Põlva maakonnas Põlva vallas (Põlva kihelkonnas)
aas	nööri, traadi vms suletud keerd, (lihtsam või kokkutõmbamata) sõlm või selle osa
aas	looduslik rohumaa (heina- või karjamaa)
Aasa	küla Pärnu maakonnas Põhja-Pärnumaa vallas (Pärnu-Jaagupi kihelkonnas)
aasaline	"aasadega varustatud	 aasadest koosnev või moodustunud"
Aasia	maailmajagu valdavalt põhjapoolkeral, ühtse Euraasia mandri põhiosa
